i,side,reason,confluence,agreement,taken,quality,dist_atr
204,1,bounce_support,-0.222,conflict,True,88.54,0.4584850614378239
217,1,bounce_support,-0.222,conflict,True,85.23,0.2395258653046733
299,1,bounce_support,0.222,partial,True,95.12,0.1934049121731073
315,1,bounce_support,0.222,partial,True,93.13,0.4446308090327171
319,1,bounce_support,0.222,partial,True,95.81,0.1271734581376561
379,-1,bounce_resistance,0.222,partial,True,94.94,0.23948872571249324
389,-1,bounce_resistance,0.222,partial,True,87.84,0.11478976827039676
449,-1,bounce_resistance,0.222,partial,True,77.29,0.3010417723799986
486,-1,bounce_resistance,0.222,partial,True,96.96,0.44857160565880627
541,-1,bounce_resistance,0.222,partial,True,89.83,0.16368952433368
560,-1,bounce_resistance,0.222,partial,True,95.01,0.2239761065674581
663,1,bounce_support,-0.222,conflict,True,71.08,0.39433181800613004
674,1,bounce_support,-0.222,conflict,True,89.77,0.38903657122725277
719,1,bounce_support,0.222,partial,True,95.58,0.1851254785673989
759,1,bounce_support,0.222,partial,True,81.92,0.4493891055826506
795,1,bounce_support,0.222,partial,True,97.08,0.26466359280678525
808,1,bounce_support,-0.111,conflict,True,96.24,0.23114508759979777
852,-1,bounce_resistance,0.111,partial,True,98.65,0.3451312428458829
951,1,bounce_support,-0.111,conflict,True,86.78,0.13845019960368823
1000,-1,bounce_resistance,0.111,partial,True,83.54,0.337300350736703
1001,-1,bounce_resistance,0.111,partial,True,84.1,0.3583615385854009
1044,-1,bounce_resistance,0.111,partial,True,95.96,0.27345310057058425
1120,-1,bounce_resistance,0.556,partial,True,78.31,0.3964678909646346
1129,-1,bounce_resistance,0.556,partial,True,79.46,0.33825131639398687
1204,-1,bounce_resistance,0.556,partial,True,67.83,0.24818884336217506
1259,1,bounce_support,-0.556,conflict,True,97.35,0.16440611137943628
1317,1,bounce_support,-0.556,conflict,True,85.75,0.048483706726448014
1364,-1,bounce_resistance,0.556,partial,True,84.74,0.23038450604720198
1383,-1,bounce_resistance,0.556,partial,True,85.28,0.031491347458792354
1389,-1,bounce_resistance,0.556,partial,True,97.93,0.08807198487484251
1390,-1,bounce_resistance,0.556,partial,True,90.37,0.2155073642234037
1504,1,bounce_support,-0.556,conflict,True,99.31,0.2815866152656697
1538,-1,bounce_resistance,0.556,partial,True,70.6,0.016813402683843758
1570,-1,bounce_resistance,0.556,partial,True,96.35,0.05876415543039163
1622,-1,bounce_resistance,0.556,partial,True,93.77,0.06217583619405539
1635,-1,bounce_resistance,0.556,partial,True,94.75,0.3096236206260885
1692,-1,bounce_resistance,0.556,partial,True,84.9,0.27166147787021583
1729,-1,bounce_resistance,0.556,partial,True,91.31,0.027637141318479972
1762,1,bounce_support,-0.556,conflict,True,87.43,0.16306755855664207
1764,1,bounce_support,-0.556,conflict,True,77.7,0.22799433322798587
1796,-1,bounce_resistance,0.556,partial,True,70.77,0.36237616588767435
1815,-1,bounce_resistance,0.556,partial,True,92.8,0.4637835041187359
1835,1,bounce_support,-0.556,conflict,True,81.86,0.02628204377897235
1838,1,bounce_support,-0.556,conflict,True,84.62,0.057244628136168735
1856,-1,bounce_resistance,0.556,partial,True,82.91,0.43068967054947965
1878,-1,bounce_resistance,0.556,partial,True,82.45,0.014108437462966078
1910,-1,bounce_resistance,0.556,partial,True,95.24,0.09387935844098223
1938,1,bounce_support,-0.556,conflict,True,85.4,0.27675245375187296
2001,1,bounce_support,-0.111,conflict,True,66.94,0.42989801944139094
2029,1,bounce_support,-0.111,conflict,True,97.64,0.16438265833767118
2051,-1,bounce_resistance,0.111,partial,True,78.63,0.32176000736740934
2100,1,bounce_support,-0.111,conflict,True,84.47,0.4258860674327061
2171,-1,bounce_resistance,0.111,partial,True,85.73,0.2429757981294162
2188,-1,bounce_resistance,0.111,partial,True,89.79,0.09699181314651228
2288,-1,bounce_resistance,0.222,partial,True,81.38,0.33652647363436344
2363,-1,bounce_resistance,0.556,partial,True,81.24,0.4968173311858379
2379,-1,bounce_resistance,0.556,partial,True,81.66,0.29735411728162914
2459,-1,bounce_resistance,0.556,partial,True,92.98,0.4449197624088673
2481,-1,bounce_resistance,0.556,partial,True,83.23,0.19506820746155512
2497,-1,bounce_resistance,0.556,partial,True,93.4,0.39924749122356895
2562,-1,bounce_resistance,0.556,partial,True,87.83,0.208946618443847
2582,-1,bounce_resistance,0.556,partial,True,95.8,0.49051607963024685
2640,-1,bounce_resistance,0.556,partial,True,90.92,0.14490587601366278
2754,-1,bounce_resistance,0.556,partial,True,85.24,0.22645668451156267
2782,1,bounce_support,-0.556,conflict,True,92.81,0.36136228307102997
2823,-1,bounce_resistance,0.556,partial,True,93.18,0.22752538799689595
2879,-1,bounce_resistance,0.556,partial,True,84.98,0.266840670992975
2955,-1,bounce_resistance,0.556,partial,True,70.94,0.46987752374667746
2987,-1,bounce_resistance,0.556,partial,True,93.08,0.42076509079038443
3027,1,bounce_support,-0.556,conflict,True,80.34,0.3907364667707589
3076,-1,bounce_resistance,0.556,partial,True,86.88,0.2217068473244039
3148,-1,bounce_resistance,0.556,partial,True,97.17,0.36374287154626794
3198,-1,bounce_resistance,0.556,partial,True,95.74,0.47586102515005196
3200,-1,bounce_resistance,0.556,partial,True,88.22,0.40051401832376793
3218,-1,bounce_resistance,0.556,partial,True,92.35,0.27831798422706744
3273,-1,bounce_resistance,0.556,partial,True,93.42,0.34880468313780355
3338,-1,bounce_resistance,0.556,partial,True,96.3,0.480327327233081
3370,1,bounce_support,-0.556,conflict,True,79.49,0.40332281586501956
3373,1,bounce_support,-0.556,conflict,True,85.66,0.4757654406562197
3403,-1,bounce_resistance,0.556,partial,True,98.58,0.014877730757000133
3421,-1,bounce_resistance,0.556,partial,True,93.93,0.12126987585118153
3433,1,bounce_support,-0.556,conflict,True,100.0,0.3890885314122098
3515,1,bounce_support,-0.556,conflict,True,86.99,0.370721364966448
3544,1,bounce_support,-0.111,conflict,True,87.23,0.1571807173769325
3550,1,bounce_support,-0.111,conflict,True,86.87,0.045961306187252936
3593,-1,bounce_resistance,0.111,partial,True,100.0,0.3176588452659291
3609,-1,bounce_resistance,0.111,partial,True,100.0,0.3724469041310056
3635,1,bounce_support,-0.111,conflict,True,79.46,0.18566264252866557
3638,1,bounce_support,-0.111,conflict,True,85.96,0.13228057984111338
3684,1,bounce_support,-0.111,conflict,True,84.89,0.2711534245361297
3744,1,bounce_support,-0.111,conflict,True,99.34,0.3275705887995706
3798,1,bounce_support,0.222,partial,True,96.89,0.12800648648986993
3802,1,bounce_support,0.222,partial,True,99.91,0.4820761126237683
3843,1,bounce_support,0.556,partial,True,100.0,0.47150288878958474
