i,side,reason,confluence,agreement,taken,quality
202,1,retest,-0.222,conflict,True,73.26
267,1,retest,0.0,none,True,71.65
329,-1,retest,-0.222,conflict,True,79.34
427,-1,retest,0.222,partial,True,77.4
476,-1,retest,0.222,partial,True,85.96
528,-1,retest,0.222,partial,True,81.2
551,-1,retest,0.222,partial,True,95.89
574,-1,retest,0.222,partial,True,85.76
613,1,retest,-0.222,conflict,True,91.6
649,1,retest,-0.222,conflict,True,81.46
745,1,retest,0.222,partial,True,61.88
807,1,retest,-0.111,conflict,True,72.97
871,-1,retest,0.111,partial,True,83.26
895,1,retest,-0.111,conflict,True,76.89
923,1,retest,-0.111,conflict,True,91.92
977,1,retest,-0.111,conflict,True,73.45
1019,1,retest,-0.111,conflict,True,75.38
1070,-1,retest,0.333,partial,True,85.2
1080,-1,retest,0.556,partial,True,75.01
1111,-1,retest,0.556,partial,True,70.41
1128,-1,retest,0.556,partial,True,78.57
1195,-1,retest,0.556,partial,True,84.04
1275,1,retest,-0.556,conflict,True,77.74
1298,1,retest,-0.556,conflict,True,70.75
1414,-1,retest,0.556,partial,True,77.24
1430,1,retest,-0.556,conflict,True,81.52
1486,-1,retest,0.556,partial,True,85.56
1496,1,retest,-0.556,conflict,True,78.41
1565,-1,retest,0.556,partial,True,72.47
1573,-1,retest,0.556,partial,True,92.58
1612,-1,retest,0.556,partial,True,99.94
1678,-1,retest,0.556,partial,True,79.36
1834,1,retest,-0.556,conflict,True,85.04
1947,1,retest,-0.556,conflict,True,84.43
1962,1,retest,-0.556,conflict,True,80.34
1979,1,retest,-0.333,conflict,True,80.13
2077,1,retest,-0.111,conflict,True,89.98
2083,1,retest,-0.111,conflict,True,59.51
2227,-1,retest,-0.222,conflict,True,77.23
2248,-1,retest,-0.222,conflict,True,75.92
2269,-1,retest,0.0,none,True,95.77
2286,-1,retest,0.222,partial,True,77.82
2317,-1,retest,0.556,partial,True,72.8
2371,-1,retest,0.556,partial,True,67.39
2391,-1,retest,0.556,partial,True,81.97
2473,-1,retest,0.556,partial,True,91.17
2535,-1,retest,0.556,partial,True,79.77
2540,-1,retest,0.556,partial,True,75.62
2590,-1,retest,0.556,partial,True,71.99
2615,-1,retest,0.556,partial,True,69.9
2720,-1,retest,0.556,partial,True,79.57
2750,-1,retest,0.556,partial,True,79.17
2774,1,retest,-0.556,conflict,True,89.69
2813,-1,retest,0.556,partial,True,80.71
2819,-1,retest,0.556,partial,True,80.81
2874,-1,retest,0.556,partial,True,76.9
2939,-1,retest,0.556,partial,True,79.05
2948,-1,retest,0.556,partial,True,80.43
3044,1,retest,-0.556,conflict,True,69.25
3141,-1,retest,0.556,partial,True,84.78
