i,side,reason,confluence,agreement,taken,quality,dist_atr
200,-1,bounce_resistance,0.222,partial,True,84.45,0.06946606643714474
214,-1,bounce_resistance,0.222,partial,True,81.64,0.366608994791945
233,1,bounce_support,-0.222,conflict,True,92.52,0.3898469638556044
244,-1,bounce_resistance,0.222,partial,True,94.22,0.38238601081578144
284,1,bounce_support,-0.222,conflict,True,83.11,0.14237305175569895
288,1,bounce_support,-0.222,conflict,True,98.76,0.25285104000405023
327,1,bounce_support,0.222,partial,True,97.33,0.2372503047608945
354,1,bounce_support,0.222,partial,True,99.53,0.1087386030117358
375,1,bounce_support,0.222,partial,True,97.95,0.4095065354177692
388,1,bounce_support,0.222,partial,True,98.97,0.4627896354406748
412,-1,bounce_resistance,0.0,none,True,84.3,0.2958703027263718
442,1,bounce_support,0.222,partial,True,75.16,0.39367948343888964
509,1,bounce_support,0.222,partial,True,85.47,0.4694485489800176
539,1,bounce_support,0.222,partial,True,90.86,0.4717661908876476
556,1,bounce_support,0.222,partial,True,97.79,0.4675720846015377
596,1,bounce_support,0.222,partial,True,86.95,0.317637094887888
647,1,bounce_support,0.222,partial,True,95.92,0.4852396866442056
675,-1,bounce_resistance,-0.222,conflict,True,81.77,0.45671378570775767
694,1,bounce_support,0.222,partial,True,84.14,0.1322633415378815
758,1,bounce_support,0.222,partial,True,97.22,0.2953180560019071
793,1,bounce_support,0.222,partial,True,85.17,0.3179227332410773
808,1,bounce_support,0.556,partial,True,90.06,0.0661382872707192
836,1,bounce_support,0.556,partial,True,95.07,0.473057436440864
850,1,bounce_support,0.556,partial,True,94.3,0.061565713559680296
883,-1,bounce_resistance,-0.556,conflict,True,87.59,0.3682475183077461
931,-1,bounce_resistance,-0.556,conflict,True,94.48,0.4515377276224889
989,1,bounce_support,0.556,partial,True,95.23,0.12215486176276669
991,1,bounce_support,0.556,partial,True,81.39,0.4403699284211535
1004,1,bounce_support,0.556,partial,True,83.15,0.4326379858309204
1063,1,bounce_support,0.556,partial,True,85.26,0.043428718440517045
1070,1,bounce_support,0.556,partial,True,92.25,0.49958367098167955
1171,1,bounce_support,0.556,partial,True,84.16,0.2010923340013794
1202,-1,bounce_resistance,-0.556,conflict,True,84.04,0.4765541858135853
1288,-1,bounce_resistance,-0.111,conflict,True,95.13,0.11615734543312622
1315,1,bounce_support,0.111,partial,True,85.72,0.14437732973135473
1341,-1,bounce_resistance,-0.111,conflict,True,74.97,0.2404927016712684
1346,-1,bounce_resistance,-0.111,conflict,True,82.44,0.446466514511389
1381,1,bounce_support,0.111,partial,True,72.34,0.3344084172617374
1385,1,bounce_support,0.111,partial,True,85.06,0.3546819604457438
1396,1,bounce_support,0.111,partial,True,87.42,0.3801030596025272
1401,1,bounce_support,0.111,partial,True,88.4,0.27156646231022835
1436,-1,bounce_resistance,-0.111,conflict,True,95.48,0.3697956142514088
1459,-1,bounce_resistance,-0.111,conflict,True,83.13,0.3240171282591421
1476,-1,bounce_resistance,-0.111,conflict,True,83.3,0.07878971091123965
1493,-1,bounce_resistance,-0.111,conflict,True,90.35,0.05184497688782759
1535,-1,bounce_resistance,-0.111,conflict,True,84.45,0.3565857025349385
1640,-1,bounce_resistance,0.556,partial,True,86.12,0.34542435753290696
1706,-1,bounce_resistance,0.556,partial,True,84.68,0.23363794569138455
1825,1,bounce_support,-0.556,conflict,True,97.27,0.33503311713661504
1833,1,bounce_support,-0.556,conflict,True,85.03,0.038013857989879926
1861,1,bounce_support,-0.333,conflict,True,96.65,0.3800771467596408
1895,-1,bounce_resistance,0.333,partial,True,97.68,0.223314866439203
