i,side,reason,confluence,agreement,taken,quality
229,1,break_up,-0.222,conflict,True,88.92
277,1,break_up,-0.222,conflict,True,93.23
307,1,break_up,0.0,none,True,82.04
333,1,break_up,0.222,partial,True,82.95
357,1,break_up,0.222,partial,True,96.01
372,1,break_up,0.222,partial,True,71.48
389,-1,break_dn,-0.222,conflict,True,90.57
420,1,break_up,0.0,none,True,85.04
435,1,break_up,0.222,partial,True,78.51
488,1,break_up,0.222,partial,True,69.16
603,1,break_up,0.222,partial,True,86.3
623,1,break_up,0.222,partial,True,88.61
666,-1,break_dn,-0.222,conflict,True,77.78
714,1,break_up,0.222,partial,True,80.55
775,1,break_up,0.222,partial,True,73.75
791,1,break_up,0.222,partial,True,69.94
829,1,break_up,0.556,partial,True,72.81
869,-1,break_dn,-0.556,conflict,True,73.76
909,-1,break_dn,-0.556,conflict,True,74.44
990,1,break_up,0.556,partial,True,90.41
1022,1,break_up,0.556,partial,True,67.78
1060,1,break_up,0.556,partial,True,81.18
1089,1,break_up,0.556,partial,True,96.76
1124,-1,break_dn,-0.556,conflict,True,90.68
1159,1,break_up,0.556,partial,True,75.69
1204,1,break_up,0.556,partial,True,74.8
1257,1,break_up,0.556,partial,True,89.59
1282,-1,break_dn,-0.111,conflict,True,82.83
1317,-1,break_dn,-0.111,conflict,True,75.51
1408,-1,break_dn,-0.111,conflict,True,87.45
1442,-1,break_dn,-0.111,conflict,True,93.85
1446,-1,break_dn,-0.111,conflict,True,66.71
1452,-1,break_dn,-0.111,conflict,True,79.31
1510,-1,break_dn,-0.111,conflict,True,73.14
1530,-1,break_dn,-0.111,conflict,True,77.01
1567,1,break_up,0.111,partial,True,74.08
1604,-1,break_dn,0.222,partial,True,87.47
1621,-1,break_dn,0.556,partial,True,90.45
1637,-1,break_dn,0.556,partial,True,74.86
1676,-1,break_dn,0.556,partial,True,88.05
1739,-1,break_dn,0.556,partial,True,66.8
1758,1,break_up,-0.556,conflict,True,90.01
1797,1,break_up,-0.556,conflict,True,77.47
1869,-1,break_dn,0.333,partial,True,94.5
1889,1,break_up,-0.333,conflict,True,85.89
1897,1,break_up,-0.333,conflict,True,84.18
1927,-1,break_dn,0.556,partial,True,92.67
1979,-1,break_dn,0.556,partial,True,94.69
1991,-1,break_dn,0.556,partial,True,76.75
2026,1,break_up,-0.556,conflict,True,98.29
2076,-1,break_dn,0.333,partial,True,72.44
2098,-1,break_dn,0.556,partial,True,71.36
2163,-1,break_dn,0.556,partial,True,90.17
2200,1,break_up,-0.556,conflict,True,91.82
2223,1,break_up,-0.556,conflict,True,73.63
2281,1,break_up,-0.111,conflict,True,78.64
2349,1,break_up,-0.111,conflict,True,79.74
2408,1,break_up,0.556,partial,True,85.09
2468,1,break_up,0.556,partial,True,73.99
2527,-1,break_dn,-0.556,conflict,True,89.96
2542,-1,break_dn,-0.556,conflict,True,84.18
2562,-1,break_dn,-0.556,conflict,True,79.89
2588,-1,break_dn,-0.556,conflict,True,68.71
2598,-1,break_dn,-0.556,conflict,True,81.32
2656,-1,break_dn,-0.333,conflict,True,95.22
2693,1,break_up,0.111,partial,True,87.56
2738,1,break_up,0.556,partial,True,69.94
2758,1,break_up,0.556,partial,True,79.23
2814,1,break_up,0.556,partial,True,80.58
2825,1,break_up,0.556,partial,True,92.51
2850,1,break_up,0.556,partial,True,95.64
2909,-1,break_dn,-0.556,conflict,True,71.3
2950,-1,break_dn,-0.111,conflict,True,82.19
2975,1,break_up,0.111,partial,True,87.62
2987,1,break_up,0.111,partial,True,77.69
3043,-1,break_dn,-0.111,conflict,True,77.27
3078,1,break_up,0.111,partial,True,85.86
3080,-1,break_dn,-0.111,conflict,True,73.46
3100,1,break_up,0.111,partial,True,87.78
3139,1,break_up,0.556,partial,True,97.19
3179,-1,break_dn,-0.556,conflict,True,88.05
3262,1,break_up,0.333,partial,True,82.54
3279,1,break_up,0.556,partial,True,82.6
3301,1,break_up,0.556,partial,True,77.73
3313,1,break_up,0.556,partial,True,79.39
3333,1,break_up,0.556,partial,True,80.45
3371,1,break_up,0.556,partial,True,63.75
3395,1,break_up,0.556,partial,True,78.96
3397,1,break_up,0.556,partial,True,73.51
3508,-1,break_dn,-0.556,conflict,True,68.16
3543,-1,break_dn,-0.556,conflict,True,85.05
3570,-1,break_dn,-0.556,conflict,True,71.84
3592,-1,break_dn,-0.556,conflict,True,85.17
3630,-1,break_dn,-0.111,conflict,True,81.56
3668,-1,break_dn,-0.111,conflict,True,72.31
3690,-1,break_dn,-0.111,conflict,True,96.19
3714,-1,break_dn,-0.111,conflict,True,79.17
3798,1,break_up,0.111,partial,True,75.33
3810,1,break_up,0.111,partial,True,81.11
3848,-1,break_dn,-0.111,conflict,True,74.61
3867,-1,break_dn,0.222,partial,True,81.37
3931,-1,break_dn,0.556,partial,True,72.57
3956,-1,break_dn,0.556,partial,True,85.87
3980,-1,break_dn,0.556,partial,True,78.99
4003,-1,break_dn,0.556,partial,True,85.72
4026,-1,break_dn,0.556,partial,True,84.19
4068,1,break_up,-0.556,conflict,True,90.63
4122,1,break_up,-0.556,conflict,True,75.84
4196,-1,break_dn,0.556,partial,True,78.79
4318,1,break_up,-0.556,conflict,True,77.14
4356,-1,break_dn,0.556,partial,True,87.88
4391,-1,break_dn,0.556,partial,True,95.2
4411,-1,break_dn,0.556,partial,True,82.26
4444,-1,break_dn,0.556,partial,True,91.63
4462,-1,break_dn,0.556,partial,True,75.21
4512,-1,break_dn,0.556,partial,True,81.33
4544,-1,break_dn,0.556,partial,True,68.34
4578,-1,break_dn,0.556,partial,True,92.56
4598,-1,break_dn,0.556,partial,True,69.72
4612,-1,break_dn,0.556,partial,True,71.72
4635,1,break_up,-0.556,conflict,True,75.71
4692,1,break_up,-0.333,conflict,True,78.21
4725,1,break_up,-0.111,conflict,True,74.03
4751,1,break_up,-0.111,conflict,True,82.18
4791,-1,break_dn,0.111,partial,True,80.12
