i,side,reason,confluence,agreement,taken,quality,dist_atr
214,1,bounce_support,0.222,partial,True,81.81,0.2895088450976761
237,1,bounce_support,0.222,partial,True,83.3,0.025912114663432205
269,-1,bounce_resistance,-0.222,conflict,True,73.38,0.4254496918356419
295,-1,bounce_resistance,-0.222,conflict,True,71.7,0.3310378701884788
331,1,bounce_support,0.222,partial,True,89.72,0.3943811598544997
360,1,bounce_support,0.222,partial,True,95.11,0.22475745885108905
397,1,bounce_support,0.222,partial,True,98.0,0.4380940465180518
420,-1,bounce_resistance,-0.222,conflict,True,89.68,0.2590124398306867
451,-1,bounce_resistance,-0.222,conflict,True,78.96,0.05092823157670771
468,-1,bounce_resistance,0.222,partial,True,94.78,0.35317121618026165
510,-1,bounce_resistance,0.222,partial,True,86.32,0.05584968002574154
532,-1,bounce_resistance,0.222,partial,True,85.41,0.14897382606621906
548,-1,bounce_resistance,0.222,partial,True,86.77,0.24741299792379487
553,1,bounce_support,-0.222,conflict,True,67.96,0.2250076690885296
574,-1,bounce_resistance,0.222,partial,True,95.72,0.1727278939566154
579,-1,bounce_resistance,0.222,partial,True,93.96,0.08124713540804643
632,1,bounce_support,-0.222,conflict,True,84.56,0.45316593085754
669,1,bounce_support,0.0,none,True,95.64,0.34232940912211196
693,-1,bounce_resistance,0.222,partial,True,84.45,0.33367448460715965
699,-1,bounce_resistance,0.222,partial,True,93.23,0.10336592605599215
758,-1,bounce_resistance,0.222,partial,True,74.0,0.319119290729956
787,1,bounce_support,-0.556,conflict,True,73.58,0.26632844239799547
801,1,bounce_support,-0.556,conflict,True,96.81,0.47318410654197735
853,1,bounce_support,-0.556,conflict,True,87.05,0.23676050717476615
868,1,bounce_support,-0.111,conflict,True,86.9,0.3481092358092503
922,1,bounce_support,-0.111,conflict,True,95.24,0.2493203659884667
928,1,bounce_support,-0.111,conflict,True,93.49,0.34644152472733264
981,1,bounce_support,-0.111,conflict,True,91.38,0.23058549318936314
1002,-1,bounce_resistance,0.111,partial,True,95.88,0.4849510687059912
1046,1,bounce_support,-0.111,conflict,True,82.09,0.3354644922873807
1071,1,bounce_support,0.222,partial,True,93.9,0.4414718545809642
1104,1,bounce_support,0.222,partial,True,87.85,0.3646231809176717
1149,1,bounce_support,0.556,partial,True,83.32,0.257977643928485
1166,1,bounce_support,0.556,partial,True,94.86,0.44347154882242423
1204,1,bounce_support,0.556,partial,True,87.62,0.3907325055432097
1230,-1,bounce_resistance,-0.556,conflict,True,83.25,0.12238474786482348
1234,-1,bounce_resistance,-0.556,conflict,True,82.79,0.3424489081162478
1247,-1,bounce_resistance,-0.333,conflict,True,95.88,0.3386379331289921
1338,1,bounce_support,0.111,partial,True,95.74,0.37591071066091036
1393,1,bounce_support,0.556,partial,True,89.13,0.28027662469947406
1394,1,bounce_support,0.556,partial,True,94.17,0.3441319623897879
1422,-1,bounce_resistance,-0.111,conflict,True,83.91,0.12835375083003206
1458,1,bounce_support,0.556,partial,True,84.03,0.42855931129401015
1466,1,bounce_support,0.556,partial,True,98.1,0.48079880657478014
1499,-1,bounce_resistance,-0.556,conflict,True,84.5,0.07270103191466981
1500,-1,bounce_resistance,-0.556,conflict,True,83.87,0.23230033054056135
1501,-1,bounce_resistance,-0.556,conflict,True,83.92,0.17243040224092934
1539,1,bounce_support,0.556,partial,True,82.63,0.4087822339145449
1543,1,bounce_support,0.556,partial,True,82.76,0.2545595760213425
1551,1,bounce_support,0.556,partial,True,73.38,0.2636834272951083
1574,1,bounce_support,0.556,partial,True,94.25,0.3420287624450212
1625,1,bounce_support,0.556,partial,True,82.93,0.4019706161346681
1734,-1,bounce_resistance,-0.111,conflict,True,90.97,0.1500222187702944
1760,-1,bounce_resistance,-0.111,conflict,True,84.99,0.13449610390247413
1773,-1,bounce_resistance,-0.111,conflict,True,85.62,0.24964381086742832
1790,1,bounce_support,0.111,partial,True,94.87,0.24063482775376865
1792,1,bounce_support,0.111,partial,True,95.1,0.05320676370500475
1832,1,bounce_support,0.556,partial,True,79.43,0.3640204826277308
1876,1,bounce_support,0.556,partial,True,97.29,0.3262138641939672
1881,1,bounce_support,0.556,partial,True,97.34,0.49241124472998
1928,-1,bounce_resistance,-0.556,conflict,True,84.97,0.45923609624790784
1933,-1,bounce_resistance,-0.556,conflict,True,80.33,0.2685805223781202
1972,1,bounce_support,0.556,partial,True,81.93,0.47111644294877664
2010,1,bounce_support,0.556,partial,True,98.37,0.2788696249876854
2015,1,bounce_support,0.556,partial,True,92.89,0.4654708010261121
2037,-1,bounce_resistance,-0.556,conflict,True,95.62,0.48521217293920726
2055,-1,bounce_resistance,-0.556,conflict,True,84.86,0.2794102106607153
2095,-1,bounce_resistance,-0.333,conflict,True,85.3,0.3159302723654376
2182,-1,bounce_resistance,-0.111,conflict,True,91.32,0.07696982894075514
2208,-1,bounce_resistance,0.556,partial,True,92.33,0.16121688199923553
2252,-1,bounce_resistance,0.556,partial,True,84.13,0.35725405329188836
2261,-1,bounce_resistance,0.556,partial,True,84.4,0.3206826848237104
2344,1,bounce_support,-0.556,conflict,True,84.04,0.4721083301054345
2444,1,bounce_support,-0.111,conflict,True,94.76,0.19156887749496654
2468,1,bounce_support,-0.111,conflict,True,84.55,0.13216547689722127
2518,1,bounce_support,0.222,partial,True,85.72,0.05406517952606483
2532,1,bounce_support,0.222,partial,True,98.36,0.002425881994713872
2554,1,bounce_support,0.556,partial,True,95.0,0.1747581170974015
2594,-1,bounce_resistance,-0.556,conflict,True,88.93,0.09237306754102768
2602,-1,bounce_resistance,-0.556,conflict,True,100.0,0.48899601803799675
2671,-1,bounce_resistance,0.222,partial,True,93.81,0.022684841324119548
2698,-1,bounce_resistance,0.222,partial,True,90.47,0.2696961092274796
2742,1,bounce_support,-0.222,conflict,True,72.8,0.4277973416328327
2769,1,bounce_support,0.222,partial,True,81.46,0.4070402703952298
2775,1,bounce_support,0.222,partial,True,82.38,0.47887628216680717
2781,1,bounce_support,0.222,partial,True,97.61,0.26949435048423526
2791,1,bounce_support,0.556,partial,True,97.51,0.26664997315575617
2828,1,bounce_support,0.556,partial,True,90.9,0.4809057961653624
2946,1,bounce_support,0.556,partial,True,91.34,0.23014674672724714
2978,-1,bounce_resistance,-0.556,conflict,True,93.29,0.3146911588262314
3000,1,bounce_support,0.556,partial,True,93.83,0.48787890446930393
3031,1,bounce_support,0.556,partial,True,91.8,0.38689713948790444
3052,1,bounce_support,0.556,partial,True,83.61,0.2587656574025199
3097,1,bounce_support,0.556,partial,True,96.13,0.36385972389704546
3157,1,bounce_support,0.556,partial,True,91.92,0.06836821443542591
3167,1,bounce_support,0.556,partial,True,92.35,0.45626711324779495
3195,1,bounce_support,0.556,partial,True,90.77,0.37280510308055675
3198,1,bounce_support,0.556,partial,True,89.16,0.273359462003236
3213,1,bounce_support,0.556,partial,True,98.44,0.28153334128182833
3265,1,bounce_support,0.556,partial,True,85.23,0.15762857596548135
3287,1,bounce_support,0.556,partial,True,90.91,0.16998425625734312
3332,1,bounce_support,0.556,partial,True,83.68,0.47853858209168426
3335,1,bounce_support,0.556,partial,True,95.82,0.06741641541797666
3369,1,bounce_support,0.556,partial,True,87.3,0.32642237165211996
3390,1,bounce_support,0.556,partial,True,87.12,0.16734182471502737
3426,1,bounce_support,0.556,partial,True,86.83,0.07500718559717849
3448,1,bounce_support,0.556,partial,True,98.0,0.08566882879165175
3476,-1,bounce_resistance,-0.556,conflict,True,80.34,0.20001187183046806
3481,-1,bounce_resistance,-0.556,conflict,True,86.08,0.10224530542442933
3551,-1,bounce_resistance,-0.556,conflict,True,84.95,0.30192554483067857
3578,-1,bounce_resistance,-0.111,conflict,True,89.82,0.1494006726006063
3590,-1,bounce_resistance,-0.111,conflict,True,97.09,0.48268670026218674
3602,1,bounce_support,0.111,partial,True,80.02,0.19636788355407114
3611,1,bounce_support,0.111,partial,True,82.84,0.02169874601826198
3674,1,bounce_support,0.333,partial,True,83.27,0.40765084538757623
3682,1,bounce_support,0.333,partial,True,86.67,0.2104869930096535
3691,1,bounce_support,0.333,partial,True,96.4,0.4451636187446484
3722,1,bounce_support,0.556,partial,True,94.99,0.3648523693639033
3745,-1,bounce_resistance,-0.333,conflict,True,97.92,0.1244239367624214
3839,-1,bounce_resistance,-0.111,conflict,True,86.67,0.29158149929558197
3854,-1,bounce_resistance,0.222,partial,True,84.45,0.29382866138410146
3891,1,bounce_support,-0.222,conflict,True,75.87,0.2720306155379553
4044,1,bounce_support,-0.111,conflict,True,83.19,0.39072189013388253
4087,1,bounce_support,0.556,partial,True,91.87,0.4037121657145638
4117,-1,bounce_resistance,-0.556,conflict,True,89.53,0.3635481535491911
4144,1,bounce_support,0.556,partial,True,90.49,0.010334760272481994
4202,1,bounce_support,0.556,partial,True,84.3,0.04120067979231595
4210,1,bounce_support,0.556,partial,True,93.77,0.0351823294328776
4214,1,bounce_support,0.556,partial,True,91.01,0.07711149085085199
4298,1,bounce_support,0.556,partial,True,94.25,0.09012767000092614
4350,-1,bounce_resistance,-0.556,conflict,True,93.82,0.4308231560851582
4438,-1,bounce_resistance,-0.111,conflict,True,88.53,0.3471006906249074
4484,-1,bounce_resistance,-0.111,conflict,True,82.86,0.42181866051465877
4521,1,bounce_support,0.111,partial,True,95.86,0.18186314430006395
4542,1,bounce_support,0.111,partial,True,95.56,0.11533486393869842
4545,1,bounce_support,0.111,partial,True,95.76,0.04812580828485095
4571,-1,bounce_resistance,-0.556,conflict,True,72.18,0.18369406558287377
4667,-1,bounce_resistance,0.111,partial,True,86.72,0.31661711780869967
4687,-1,bounce_resistance,0.111,partial,True,99.6,0.04009440185325807
4699,-1,bounce_resistance,0.111,partial,True,99.82,0.13427073767286668
4727,1,bounce_support,-0.111,conflict,True,99.43,0.12273777131628988
4750,-1,bounce_resistance,0.111,partial,True,86.41,0.3508993550580465
4780,-1,bounce_resistance,0.111,partial,True,85.84,0.4474257501474136
4837,-1,bounce_resistance,0.111,partial,True,84.23,0.4273643546865101
4903,-1,bounce_resistance,0.111,partial,True,93.28,0.4207684478145603
4941,1,bounce_support,-0.111,conflict,True,82.8,0.12357133737641768
4994,-1,bounce_resistance,0.111,partial,True,98.1,0.031561717477324724
5002,-1,bounce_resistance,0.111,partial,True,96.28,0.4647119967959483
5037,-1,bounce_resistance,0.111,partial,True,97.72,0.46802844999971255
5095,-1,bounce_resistance,0.111,partial,True,94.55,0.024692296969798962
5100,-1,bounce_resistance,0.111,partial,True,93.33,0.3524330866851773
5128,-1,bounce_resistance,0.111,partial,True,94.21,0.010250966054408592
5168,1,bounce_support,-0.111,conflict,True,76.86,0.38308299792832357
5207,-1,bounce_resistance,0.111,partial,True,94.94,0.35448592561664605
5212,-1,bounce_resistance,0.111,partial,True,96.89,0.00946026722748583
5246,1,bounce_support,-0.333,conflict,True,97.35,0.3526825792471709
5248,1,bounce_support,-0.333,conflict,True,96.3,0.4545237579437713
5262,-1,bounce_resistance,0.333,partial,True,97.04,0.021199686451530156
5302,1,bounce_support,-0.111,conflict,True,73.52,0.42616994085827303
5326,1,bounce_support,-0.111,conflict,True,81.27,0.2215857056003437
5395,1,bounce_support,-0.111,conflict,True,91.86,0.25323541119861187
5429,-1,bounce_resistance,-0.556,conflict,True,84.72,0.38064615074847813
5444,-1,bounce_resistance,-0.556,conflict,True,84.41,0.32569969588528463
5472,1,bounce_support,0.556,partial,True,94.67,0.4919084754973994
5525,-1,bounce_resistance,-0.556,conflict,True,86.84,0.44480213252721146
