i,side,reason,confluence,agreement,taken,quality
201,1,break_up,0.222,partial,True,70.22
232,1,break_up,0.222,partial,True,74.23
279,-1,break_dn,-0.222,conflict,True,81.32
311,1,break_up,0.222,partial,True,74.57
328,1,break_up,0.222,partial,True,81.08
348,1,break_up,0.222,partial,True,85.12
389,1,break_up,0.222,partial,True,70.95
424,-1,break_dn,-0.222,conflict,True,92.52
489,-1,break_dn,0.222,partial,True,81.74
490,-1,break_dn,0.222,partial,True,71.05
509,-1,break_dn,0.222,partial,True,82.1
564,-1,break_dn,0.222,partial,True,79.54
636,1,break_up,-0.222,conflict,True,93.64
668,1,break_up,0.0,none,True,80.73
673,-1,break_dn,0.0,none,True,95.55
724,-1,break_dn,0.222,partial,True,73.88
744,-1,break_dn,0.222,partial,True,72.08
799,1,break_up,-0.556,conflict,True,96.22
814,1,break_up,-0.556,conflict,True,90.57
855,1,break_up,-0.556,conflict,True,81.92
887,1,break_up,-0.111,conflict,True,80.57
906,1,break_up,-0.111,conflict,True,97.71
971,1,break_up,-0.111,conflict,True,74.42
982,-1,break_dn,0.111,partial,True,79.52
986,-1,break_dn,0.111,partial,True,94.41
1019,-1,break_dn,0.111,partial,True,76.57
1031,1,break_up,-0.111,conflict,True,76.98
1065,1,break_up,-0.111,conflict,True,95.33
1087,1,break_up,0.222,partial,True,79.92
1124,1,break_up,0.222,partial,True,82.45
1171,1,break_up,0.556,partial,True,85.1
1190,1,break_up,0.556,partial,True,83.34
1238,-1,break_dn,-0.556,conflict,True,75.87
1265,-1,break_dn,-0.333,conflict,True,66.08
1366,1,break_up,0.333,partial,True,81.57
1399,-1,break_dn,-0.556,conflict,True,78.41
1434,1,break_up,0.333,partial,True,79.7
1467,1,break_up,0.556,partial,True,78.59
1491,-1,break_dn,-0.556,conflict,True,81.33
1511,-1,break_dn,-0.556,conflict,True,82.46
1520,1,break_up,0.556,partial,True,95.33
1588,1,break_up,0.556,partial,True,69.87
1672,-1,break_dn,-0.556,conflict,True,77.49
1692,-1,break_dn,-0.556,conflict,True,79.28
1706,-1,break_dn,-0.556,conflict,True,80.88
1797,1,break_up,0.111,partial,True,96.41
1831,1,break_up,0.333,partial,True,93.68
1891,1,break_up,0.556,partial,True,78.99
1925,-1,break_dn,-0.556,conflict,True,72.63
1979,1,break_up,0.556,partial,True,83.47
2040,-1,break_dn,-0.556,conflict,True,95.87
2043,-1,break_dn,-0.556,conflict,True,85.13
2065,-1,break_dn,-0.556,conflict,True,70.09
2089,-1,break_dn,-0.333,conflict,True,70.65
2109,-1,break_dn,-0.111,conflict,True,71.3
2127,-1,break_dn,-0.111,conflict,True,75.28
2175,-1,break_dn,-0.111,conflict,True,80.75
2225,1,break_up,-0.556,conflict,True,75.19
2235,-1,break_dn,0.556,partial,True,73.07
2269,1,break_up,-0.556,conflict,True,91.23
2305,-1,break_dn,0.556,partial,True,77.76
2367,1,break_up,-0.111,conflict,True,94.53
2419,1,break_up,-0.111,conflict,True,94.22
2439,1,break_up,-0.111,conflict,True,79.06
2529,1,break_up,0.222,partial,True,67.89
2565,-1,break_dn,-0.556,conflict,True,81.81
2573,-1,break_dn,-0.556,conflict,True,82.57
2627,-1,break_dn,-0.556,conflict,True,76.57
2654,-1,break_dn,-0.111,conflict,True,79.61
2679,-1,break_dn,0.222,partial,True,82.71
2723,1,break_up,-0.222,conflict,True,79.93
2748,1,break_up,-0.222,conflict,True,74.42
2880,1,break_up,0.556,partial,True,73.8
2895,1,break_up,0.556,partial,True,77.65
3005,-1,break_dn,-0.556,conflict,True,83.23
3012,1,break_up,0.556,partial,True,79.75
3064,1,break_up,0.556,partial,True,77.44
3093,1,break_up,0.556,partial,True,79.34
3134,1,break_up,0.556,partial,True,91.16
3185,1,break_up,0.556,partial,True,77.17
3237,1,break_up,0.556,partial,True,87.15
3259,1,break_up,0.556,partial,True,93.64
3282,1,break_up,0.556,partial,True,70.09
3314,1,break_up,0.556,partial,True,60.5
3337,1,break_up,0.556,partial,True,84.62
3339,1,break_up,0.556,partial,True,80.87
3387,1,break_up,0.556,partial,True,68.25
3495,-1,break_dn,-0.556,conflict,True,79.82
3516,-1,break_dn,-0.556,conflict,True,78.78
3553,-1,break_dn,-0.333,conflict,True,64.91
3595,1,break_up,0.111,partial,True,94.82
3617,-1,break_dn,-0.111,conflict,True,80.6
3657,1,break_up,0.111,partial,True,91.44
3715,1,break_up,0.556,partial,True,79.55
3726,-1,break_dn,-0.556,conflict,True,80.39
3734,-1,break_dn,-0.333,conflict,True,94.68
3761,-1,break_dn,-0.111,conflict,True,69.68
3775,-1,break_dn,-0.111,conflict,True,76.66
3834,-1,break_dn,-0.111,conflict,True,69.47
3861,1,break_up,-0.222,conflict,True,80.18
3873,1,break_up,-0.222,conflict,True,94.11
3894,-1,break_dn,0.556,partial,True,75.71
3911,-1,break_dn,0.556,partial,True,85.67
3947,1,break_up,-0.556,conflict,True,80.7
3972,1,break_up,-0.556,conflict,True,78.28
3990,1,break_up,-0.556,conflict,True,78.27
4108,-1,break_dn,-0.556,conflict,True,78.03
4112,-1,break_dn,-0.556,conflict,True,91.22
4141,1,break_up,0.556,partial,True,85.22
4150,1,break_up,0.556,partial,True,81.58
4163,1,break_up,0.556,partial,True,78.79
4186,1,break_up,0.556,partial,True,78.52
4244,1,break_up,0.556,partial,True,71.6
4392,-1,break_dn,-0.556,conflict,True,82.0
4449,-1,break_dn,-0.111,conflict,True,84.8
4470,-1,break_dn,-0.111,conflict,True,75.99
4529,1,break_up,0.111,partial,True,83.22
4546,-1,break_dn,-0.111,conflict,True,73.71
4627,-1,break_dn,-0.556,conflict,True,78.05
4675,-1,break_dn,0.111,partial,True,69.74
4701,1,break_up,-0.111,conflict,True,100.0
4720,1,break_up,-0.111,conflict,True,81.63
4728,-1,break_dn,0.111,partial,True,93.24
4732,-1,break_dn,0.111,partial,True,78.91
4766,-1,break_dn,0.111,partial,True,71.6
4840,-1,break_dn,0.111,partial,True,81.94
4847,-1,break_dn,0.111,partial,True,79.15
4937,1,break_up,-0.111,conflict,True,82.26
4983,-1,break_dn,0.111,partial,True,81.31
5011,-1,break_dn,0.111,partial,True,81.8
5049,-1,break_dn,0.111,partial,True,80.62
5081,-1,break_dn,0.111,partial,True,93.72
5110,-1,break_dn,0.111,partial,True,73.19
5150,1,break_up,-0.111,conflict,True,76.45
5155,1,break_up,-0.111,conflict,True,79.35
5161,1,break_up,-0.111,conflict,True,93.04
5216,-1,break_dn,0.333,partial,True,88.74
5270,1,break_up,-0.333,conflict,True,86.27
5317,1,break_up,-0.111,conflict,True,99.46
5354,1,break_up,-0.111,conflict,True,97.77
5383,1,break_up,-0.111,conflict,True,86.86
5447,1,break_up,0.556,partial,True,83.24
5488,1,break_up,0.556,partial,True,86.53
5503,-1,break_dn,-0.556,conflict,True,89.46
5547,1,break_up,0.556,partial,True,77.17
5618,-1,break_dn,-1.0,conflict,True,95.58
5645,-1,break_dn,-1.0,conflict,True,90.42
5673,-1,break_dn,-1.0,conflict,True,88.21
5771,-1,break_dn,-1.0,conflict,True,79.21
5809,-1,break_dn,-0.778,conflict,True,93.48
5814,-1,break_dn,-0.556,conflict,True,89.44
5839,-1,break_dn,-0.556,conflict,True,76.89
5850,-1,break_dn,-0.556,conflict,True,84.63
5885,-1,break_dn,-0.556,conflict,True,75.55
5948,1,break_up,0.556,partial,True,89.7
5973,-1,break_dn,-0.556,conflict,True,72.41
6028,1,break_up,1.0,full,True,94.61
6033,1,break_up,1.0,full,True,85.81
6080,1,break_up,1.0,full,True,99.66
6096,1,break_up,1.0,full,True,80.23
6124,1,break_up,1.0,full,True,79.25
6165,1,break_up,1.0,full,True,80.01
6212,1,break_up,1.0,full,True,92.23
6242,1,break_up,1.0,full,True,69.61
6287,-1,break_dn,-1.0,conflict,True,83.57
6307,-1,break_dn,-1.0,conflict,True,76.58
6319,-1,break_dn,-1.0,conflict,True,91.56
6404,-1,break_dn,-1.0,conflict,True,89.58
6441,1,break_up,1.0,full,True,78.66
6447,1,break_up,1.0,full,True,91.02
6467,1,break_up,1.0,full,True,82.12
6485,1,break_up,1.0,full,True,93.57
6501,1,break_up,1.0,full,True,85.81
6650,1,break_up,1.0,full,True,75.75
6699,-1,break_dn,-1.0,conflict,True,90.85
6758,-1,break_dn,-1.0,conflict,True,79.2
6827,1,break_up,1.0,full,True,85.23
6832,1,break_up,1.0,full,True,91.53
6852,-1,break_dn,-1.0,conflict,True,95.69
6900,-1,break_dn,-0.556,conflict,True,82.99
6916,-1,break_dn,-0.556,conflict,True,71.74
6949,-1,break_dn,-0.556,conflict,True,76.44
7023,1,break_up,0.556,partial,True,82.35
7080,-1,break_dn,-0.556,conflict,True,87.1
7088,1,break_up,0.556,partial,True,91.03
7151,1,break_up,0.556,partial,True,89.49
7183,1,break_up,0.556,partial,True,87.15
7190,1,break_up,0.556,partial,True,84.43
7213,1,break_up,1.0,full,True,82.9
7278,1,break_up,1.0,full,True,76.84
7351,-1,break_dn,-1.0,conflict,True,94.78
7357,-1,break_dn,-1.0,conflict,True,89.84
7379,1,break_up,1.0,full,True,86.66
7399,-1,break_dn,-1.0,conflict,True,84.85
7444,-1,break_dn,-1.0,conflict,True,96.51
7485,-1,break_dn,-0.778,conflict,True,98.57
7600,1,break_up,0.556,partial,True,91.45
7617,1,break_up,0.556,partial,True,73.74
7655,-1,break_dn,-0.556,conflict,True,87.84
7665,-1,break_dn,-0.556,conflict,True,90.16
7728,1,break_up,1.0,full,True,75.56
7769,-1,break_dn,-0.778,conflict,True,71.37
7820,-1,break_dn,-0.222,conflict,True,75.64
7857,1,break_up,-0.111,conflict,True,79.34
7984,-1,break_dn,-0.333,conflict,True,83.76
8028,-1,break_dn,-0.111,conflict,True,78.34
8051,1,break_up,0.111,partial,True,82.37
8115,-1,break_dn,-0.667,conflict,True,82.99
8123,-1,break_dn,-0.667,conflict,True,80.7
8177,-1,break_dn,0.111,partial,True,71.19
8212,1,break_up,-0.111,conflict,True,89.2
8226,1,break_up,-0.111,conflict,True,96.96
8297,1,break_up,1.0,full,True,93.89
8329,-1,break_dn,-1.0,conflict,True,87.64
8387,-1,break_dn,-1.0,conflict,True,81.11
8433,-1,break_dn,-0.556,conflict,True,71.39
8463,1,break_up,0.222,partial,True,76.46
8471,1,break_up,0.222,partial,True,91.74
8496,1,break_up,0.222,partial,True,83.41
8577,1,break_up,0.444,partial,True,84.02
8582,1,break_up,0.444,partial,True,93.25
8609,1,break_up,1.0,full,True,94.22
8645,1,break_up,1.0,full,True,79.33
8679,1,break_up,1.0,full,True,78.9
8769,1,break_up,1.0,full,True,84.88
8780,1,break_up,1.0,full,True,83.89
8799,1,break_up,1.0,full,True,70.72
8831,1,break_up,1.0,full,True,72.43
8920,-1,break_dn,-0.778,conflict,True,73.38
8928,-1,break_dn,-0.778,conflict,True,87.0
8946,-1,break_dn,-0.556,conflict,True,76.67
8958,1,break_up,0.556,partial,True,80.07
9065,1,break_up,1.0,full,True,91.69
9088,-1,break_dn,-1.0,conflict,True,77.67
9096,-1,break_dn,-1.0,conflict,True,79.88
9141,-1,break_dn,-0.556,conflict,True,79.58
9209,1,break_up,0.556,partial,True,86.73
9226,1,break_up,0.556,partial,True,69.76
9231,1,break_up,0.556,partial,True,81.22
9270,-1,break_dn,-0.556,conflict,True,78.0
9356,1,break_up,0.556,partial,True,77.21
9382,-1,break_dn,-0.556,conflict,True,93.83
9452,-1,break_dn,0.111,partial,True,82.54
9484,-1,break_dn,0.111,partial,True,77.72
9535,1,break_up,-0.111,conflict,True,78.75
9567,1,break_up,-0.111,conflict,True,84.58
9640,1,break_up,0.333,partial,True,86.15
9653,1,break_up,0.333,partial,True,94.48
9666,1,break_up,0.333,partial,True,83.2
9680,1,break_up,0.333,partial,True,83.66
9730,1,break_up,0.667,partial,True,80.26
9800,1,break_up,1.0,full,True,85.38
9834,-1,break_dn,-1.0,conflict,True,91.52
9857,1,break_up,1.0,full,True,90.97
9897,-1,break_dn,-0.556,conflict,True,80.29
9919,-1,break_dn,-0.556,conflict,True,94.76
9929,-1,break_dn,-0.556,conflict,True,80.45
9947,-1,break_dn,-0.556,conflict,True,93.3
9987,-1,break_dn,0.111,partial,True,79.13
10015,-1,break_dn,0.111,partial,True,76.94
10030,1,break_up,-0.111,conflict,True,80.14
10057,1,break_up,-0.111,conflict,True,80.16
10078,1,break_up,-0.111,conflict,True,71.9
10094,-1,break_dn,0.111,partial,True,89.87
10121,-1,break_dn,0.111,partial,True,96.59
10160,-1,break_dn,0.111,partial,True,70.75
10192,1,break_up,-0.111,conflict,True,93.95
10230,1,break_up,-0.111,conflict,True,86.15
10239,1,break_up,-0.111,conflict,True,79.75
10315,1,break_up,0.333,partial,True,74.09
10414,1,break_up,0.333,partial,True,85.91
10433,1,break_up,0.333,partial,True,84.23
10502,1,break_up,1.0,full,True,80.91
10525,-1,break_dn,-1.0,conflict,True,75.15
10572,1,break_up,1.0,full,True,80.22
10591,1,break_up,1.0,full,True,88.6
10614,-1,break_dn,-1.0,conflict,True,97.95
10625,-1,break_dn,-1.0,conflict,True,60.58
10653,-1,break_dn,-1.0,conflict,True,83.04
10656,-1,break_dn,-1.0,conflict,True,82.5
10683,-1,break_dn,-0.556,conflict,True,81.99
10705,1,break_up,0.556,partial,True,90.0
10819,1,break_up,0.778,partial,True,82.65
10840,1,break_up,0.778,partial,True,83.68
10851,-1,break_dn,-0.778,conflict,True,83.14
10894,1,break_up,0.556,partial,True,89.34
10913,1,break_up,0.778,partial,True,92.03
10943,1,break_up,1.0,full,True,81.23
10955,-1,break_dn,-1.0,conflict,True,93.47
10966,-1,break_dn,-0.778,conflict,True,96.5
11022,1,break_up,0.556,partial,True,81.4
11048,1,break_up,1.0,full,True,97.24
11059,1,break_up,1.0,full,True,77.39
11098,1,break_up,1.0,full,True,78.52
11144,1,break_up,1.0,full,True,96.12
11179,1,break_up,1.0,full,True,71.17
11235,1,break_up,1.0,full,True,85.76
11241,1,break_up,1.0,full,True,88.34
11314,1,break_up,1.0,full,True,89.84
11356,-1,break_dn,-1.0,conflict,True,82.43
11377,-1,break_dn,-1.0,conflict,True,81.16
11412,-1,break_dn,-1.0,conflict,True,95.81
11451,1,break_up,0.778,partial,True,87.97
11474,-1,break_dn,-0.778,conflict,True,79.72
11506,1,break_up,0.778,partial,True,71.32
11514,-1,break_dn,-0.778,conflict,True,90.1
11527,1,break_up,0.556,partial,True,96.87
11667,-1,break_dn,-1.0,conflict,True,72.9
11670,1,break_up,1.0,full,True,77.26
11688,-1,break_dn,-1.0,conflict,True,89.46
11692,-1,break_dn,-1.0,conflict,True,85.88
11703,1,break_up,1.0,full,True,86.44
11729,1,break_up,1.0,full,True,79.22
11828,-1,break_dn,-0.556,conflict,True,71.09
11869,1,break_up,0.556,partial,True,79.58
11880,-1,break_dn,-0.556,conflict,True,84.8
11913,1,break_up,0.778,partial,True,80.46
11927,1,break_up,1.0,full,True,87.94
11949,1,break_up,1.0,full,True,83.95
11967,1,break_up,1.0,full,True,89.36
11989,-1,break_dn,-1.0,conflict,True,80.45
12119,-1,break_dn,-1.0,conflict,True,78.78
12146,1,break_up,1.0,full,True,77.22
12219,1,break_up,1.0,full,True,82.58
12233,1,break_up,1.0,full,True,97.92
12357,-1,break_dn,-1.0,conflict,True,71.62
12407,1,break_up,1.0,full,True,77.73
12431,-1,break_dn,-1.0,conflict,True,93.34
12446,-1,break_dn,-0.778,conflict,True,82.64
12467,1,break_up,0.556,partial,True,84.51
12493,1,break_up,1.0,full,True,96.76
12510,1,break_up,1.0,full,True,76.09
12549,-1,break_dn,-1.0,conflict,True,80.96
12590,-1,break_dn,-0.556,conflict,True,81.06
12621,1,break_up,0.778,partial,True,90.34
12641,1,break_up,1.0,full,True,95.08
12672,1,break_up,1.0,full,True,78.63
12728,1,break_up,1.0,full,True,83.29
12757,-1,break_dn,-1.0,conflict,True,85.84
12766,-1,break_dn,-1.0,conflict,True,77.99
12785,-1,break_dn,-1.0,conflict,True,97.25
12798,-1,break_dn,-0.778,conflict,True,90.32
12801,-1,break_dn,-0.778,conflict,True,81.06
12886,1,break_up,0.556,partial,True,78.11
12909,1,break_up,1.0,full,True,92.83
12952,1,break_up,1.0,full,True,82.81
12991,1,break_up,1.0,full,True,76.55
13036,1,break_up,1.0,full,True,77.23
13079,1,break_up,1.0,full,True,79.39
13097,1,break_up,1.0,full,True,78.31
13105,1,break_up,1.0,full,True,73.8
13142,1,break_up,1.0,full,True,81.02
13162,1,break_up,1.0,full,True,70.98
13225,1,break_up,1.0,full,True,73.79
13227,1,break_up,1.0,full,True,57.25
13255,1,break_up,1.0,full,True,76.0
13276,1,break_up,1.0,full,True,70.48
13337,1,break_up,1.0,full,True,83.91
13385,1,break_up,1.0,full,True,73.37
13409,1,break_up,1.0,full,True,68.84
13467,1,break_up,1.0,full,True,83.75
13498,-1,break_dn,-1.0,conflict,True,89.61
13499,-1,break_dn,-1.0,conflict,True,73.77
13528,1,break_up,1.0,full,True,82.67
13633,1,break_up,1.0,full,True,79.7
13656,1,break_up,1.0,full,True,80.6
13674,-1,break_dn,-1.0,conflict,True,78.82
13711,-1,break_dn,-1.0,conflict,True,77.53
13737,1,break_up,1.0,full,True,80.78
13769,1,break_up,1.0,full,True,83.64
13829,1,break_up,1.0,full,True,87.08
13866,-1,break_dn,-1.0,conflict,True,87.87
13876,-1,break_dn,-1.0,conflict,True,88.39
13891,-1,break_dn,-1.0,conflict,True,79.67
13911,1,break_up,1.0,full,True,97.15
13934,1,break_up,1.0,full,True,81.79
13959,1,break_up,1.0,full,True,79.81
13985,1,break_up,1.0,full,True,78.5
13989,1,break_up,1.0,full,True,85.04
14001,1,break_up,1.0,full,True,76.55
14007,1,break_up,1.0,full,True,79.95
14051,1,break_up,1.0,full,True,79.3
14076,1,break_up,1.0,full,True,96.12
14096,1,break_up,1.0,full,True,73.75
14159,1,break_up,1.0,full,True,78.16
14186,1,break_up,1.0,full,True,66.8
14261,-1,break_dn,-1.0,conflict,True,78.78
14370,-1,break_dn,-0.556,conflict,True,75.31
14411,-1,break_dn,-0.556,conflict,True,79.25
14434,-1,break_dn,-0.556,conflict,True,79.56
14460,-1,break_dn,-0.556,conflict,True,80.78
14488,-1,break_dn,-0.556,conflict,True,79.56
14533,1,break_up,-0.111,conflict,True,86.78
14540,1,break_up,-0.111,conflict,True,78.81
14600,1,break_up,-0.111,conflict,True,90.74
14617,1,break_up,-0.111,conflict,True,86.94
14627,1,break_up,-0.111,conflict,True,80.23
14640,1,break_up,-0.111,conflict,True,95.65
14684,1,break_up,0.111,partial,True,71.01
14728,-1,break_dn,-0.111,conflict,True,94.75
14756,-1,break_dn,0.111,partial,True,71.08
14784,1,break_up,-0.111,conflict,True,94.05
14807,1,break_up,0.333,partial,True,84.45
14853,1,break_up,0.333,partial,True,74.25
14935,1,break_up,1.0,full,True,82.49
14949,-1,break_dn,-1.0,conflict,True,78.68
14985,-1,break_dn,-1.0,conflict,True,71.6
14999,-1,break_dn,-1.0,conflict,True,77.87
15022,-1,break_dn,-0.556,conflict,True,84.35
15064,-1,break_dn,-0.222,conflict,True,73.13
15108,1,break_up,-0.111,conflict,True,77.52
15142,1,break_up,-0.111,conflict,True,79.64
15172,-1,break_dn,0.111,partial,True,65.47
15265,1,break_up,-0.111,conflict,True,84.78
15283,-1,break_dn,0.111,partial,True,96.14
15342,-1,break_dn,0.111,partial,True,80.42
