year,trades,net_acct,win_rate_pct,avg_R,worst_acct
2007,6,149.22,50.0,0.255,-124.58
2008,8,-209.68,25.0,-0.262,-115.63
2009,9,-75.39,33.3,-0.062,-128.13
2010,8,-170.91,25.0,-0.143,-124.93
2011,10,-810.31,20.0,-0.705,-122.77
2012,10,-481.15,10.0,-0.428,-116.53
2013,8,1168.54,25.0,1.604,-91.77
2014,10,15.82,30.0,0.031,-127.1
2015,8,-80.74,25.0,-0.082,-122.41
2016,12,-434.83,25.0,-0.344,-125.28
2017,12,-142.75,41.7,-0.106,-113.7
2018,6,197.62,50.0,0.28,-122.12
2019,10,-312.86,30.0,-0.258,-159.24
2020,10,-971.5,0.0,-0.877,-117.33
2021,9,58.19,33.3,0.126,-112.55
2022,7,653.93,42.9,0.954,-106.78
2023,6,342.52,66.7,0.617,-110.78
2024,8,472.52,50.0,0.517,-112.18
2025,7,-398.16,28.6,-0.476,-123.94
2026,6,-183.68,33.3,-0.214,-118.52
