year,trades,net_acct,win_rate_pct,avg_R,worst_acct
2007,157,2426.21,36.9,0.122,-163.46
2008,183,-819.54,33.9,-0.039,-386.36
2009,163,4180.34,36.8,0.193,-171.16
2010,180,-2361.57,31.7,-0.091,-165.61
2011,187,-7921.12,23.5,-0.348,-151.53
2012,180,121.36,31.7,0.019,-263.38
2013,185,976.57,32.4,0.06,-115.68
2014,182,2697.07,31.9,0.144,-121.08
2015,188,-1421.83,29.8,-0.061,-425.39
2016,181,4295.7,36.5,0.196,-156.78
2017,196,-3623.06,31.1,-0.144,-225.34
2018,198,-2606.12,32.3,-0.118,-143.63
2019,186,-4843.75,26.9,-0.283,-163.06
2020,174,3153.34,34.5,0.222,-116.49
2021,176,4188.52,38.1,0.235,-119.72
2022,169,10173.75,40.2,0.444,-177.26
2023,196,-11.7,34.7,0.003,-238.46
2024,198,829.33,27.3,0.032,-179.15
2025,198,1336.29,35.9,0.044,-358.28
2026,107,-526.66,31.8,-0.019,-345.8
