symbol,tf,side,lots,entry_time,entry_price,exit_time,exit_price,stop_price,target_price,exit_reason,bars_held,gross_ccy,spread_ccy,slippage_ccy,swap_ccy,net_ccy,net_acct,r_multiple,mae_r,mfe_r,tag
XAUUSD.a,4h,-1,0.03,2021-01-08 12:00:00,1891.5370420822192,2021-01-20 04:00:00,1846.5387790214866,1920.869679861134,,signal,45,134.9947891821978,-0.15000000000000002,-1.3126741289191908,0.0,134.9947891821978,174.82295472842833,1.5340680712008314,0.1010123242278162,3.0449713645058782,breakout_dn
XAUUSD.a,4h,1,0.03,2021-01-20 20:00:00,1863.4699625320877,2021-01-22 12:00:00,1838.3004953235816,1838.6243625209454,,stop,10,-75.50840162551845,-0.15000000000000002,-0.9716015920912164,0.0,-75.50840162551845,-97.87727377377756,-1.0130351932422073,1.052901218741186,0.46809243740125217,breakout_up
XAUUSD.a,4h,1,0.04,2021-01-29 16:00:00,1872.2023000781555,2021-01-29 20:00:00,1848.2902296572302,1848.667469051804,,stop,1,-95.6482816837015,-0.2,-1.5089575782948241,0.0,-95.6482816837015,-125.16295905952903,-1.016028982496256,1.3045472917897125,0.14606860435902097,breakout_up
XAUUSD.a,4h,-1,0.04,2021-02-04 04:00:00,1826.8245212098386,2021-02-08 16:00:00,1830.1288923227833,1848.5050087499355,,signal,15,-13.217484451778546,-0.2,-1.8311385822679374,0.0,-13.217484451778546,-17.174709198116588,-0.15241221429330756,0.21334754495750358,1.9360506138161813,breakout_dn
XAUUSD.a,4h,1,0.04,2021-02-09 08:00:00,1840.341799287563,2021-02-11 20:00:00,1826.3153807845476,1818.8861401075405,,signal,15,-56.10567401206117,-0.2,-1.6369537236195313,0.0,-56.10567401206117,-72.3776077969777,-0.6537398075411008,0.8115247889365801,0.7004306223520684,breakout_up
XAUUSD.a,4h,-1,0.04,2021-02-12 12:00:00,1817.5827893738926,2021-02-22 12:00:00,1797.731046927318,1837.222704940466,,signal,35,79.40696978629876,-0.2,-1.6883754185428625,0.0,79.40696978629876,100.81888447004744,1.0107855290560352,0.667885286046371,2.9029039957242535,breakout_dn
XAUUSD.a,4h,1,0.04,2021-02-22 20:00:00,1809.3432129118198,2021-02-24 16:00:00,1790.303610880778,1786.7970696087464,,signal,11,-76.15840812416718,-0.2,-1.811112953775384,0.0,-76.15840812416718,-96.2945645085501,-0.8444726787683617,0.954185938704969,0.2979129067836851,breakout_up
XAUUSD.a,4h,-1,0.04,2021-02-25 20:00:00,1772.9278484552804,2021-03-09 20:00:00,1716.8374916067405,1797.1247821147067,,signal,48,224.36142739415936,-0.2,-1.8999328539244849,0.0,224.36142739415936,290.98545781562484,2.3180770604249203,0.27367730299743254,3.9727285204103566,breakout_dn
XAUUSD.a,4h,1,0.04,2021-03-11 00:00:00,1726.4568623414314,2021-03-12 08:00:00,1704.7969082888026,1705.1094401471753,,stop,8,-86.63981621051516,-0.2,-1.250127433491008,0.0,-86.63981621051516,-111.66507650635421,-1.0146402622072475,1.2782275111780634,0.6287943123259397,breakout_up
XAUUSD.a,4h,1,0.05,2021-03-18 00:00:00,1744.3575378349674,2021-03-18 16:00:00,1725.8362232696645,1726.159771618185,,stop,4,-92.60657282651437,-0.25,-1.61774174260254,0.0,-92.60657282651437,-119.10966420984754,-1.0177795639676976,1.3841005283241197,0.6144964185065671,breakout_up
XAUUSD.a,4h,-1,0.05,2021-03-29 20:00:00,1713.1103337707955,2021-04-01 12:00:00,1716.3944217662186,1729.6802092989724,,signal,16,-16.420439977115393,-0.25,-1.8442176621851882,0.0,-16.420439977115393,-21.70494227210473,-0.198196298447657,0.41277716405134024,2.126771182491368,breakout_dn
XAUUSD.a,4h,1,0.05,2021-04-06 08:00:00,1735.9513832697376,2021-05-11 16:00:00,1826.4470194033095,1720.0433401820915,,signal,152,452.47818066785953,-0.25,-1.8298059669069031,0.0,452.47818066785953,576.016422883734,5.688671801740921,0.7688804463470565,6.878823254837856,breakout_up
XAUUSD.a,4h,-1,0.04,2021-05-13 00:00:00,1814.7879897146615,2021-05-14 08:00:00,1836.6106401899922,1836.2718768826014,,stop,8,-87.29060190132259,-0.2,-1.1550532295632145,0.0,-87.29060190132259,-112.82374323220229,-1.015768250165468,1.0013090330059313,0.2824437527169984,breakout_dn
XAUUSD.a,4h,1,0.05,2021-05-17 08:00:00,1852.951511512368,2021-06-03 16:00:00,1882.0133353415836,1834.7733755911408,,signal,79,145.30911914607827,-0.25,-1.7666465841643806,0.0,145.30911914607827,189.27358821716027,1.598724091136288,0.49353308563897563,3.4980753121874377,breakout_up
XAUUSD.a,4h,-1,0.05,2021-06-03 20:00:00,1870.8105113886133,2021-06-04 16:00:00,1888.9825174252128,1888.646465841644,,stop,5,-90.8600301829972,-0.25,-1.4302579178448598,0.0,-90.8600301829972,-117.43877337270861,-1.0188412447707142,1.422379087039891,0.855603855055843,breakout_dn
XAUUSD.a,4h,-1,0.05,2021-06-14 08:00:00,1865.3190849539658,2021-07-02 16:00:00,1789.7457672125063,1882.1623895729147,,signal,86,377.8665887072975,-0.25,-1.8576721250623962,0.0,377.8665887072975,504.42069750410155,4.486846224727112,0.26366055512872066,6.812148064156204,breakout_dn
XAUUSD.a,4h,1,0.06,2021-07-06 08:00:00,1800.9374578269508,2021-07-16 20:00:00,1815.0148386086785,1785.159926328382,,signal,51,84.46428469036618,-0.30000000000000004,-1.9819366958585762,0.0,84.46428469036618,114.01150679008447,0.8922422866342983,0.6894271025817654,2.105053136865045,breakout_up
XAUUSD.a,4h,-1,0.05,2021-07-19 12:00:00,1804.1366707023756,2021-07-20 12:00:00,1820.9301298566286,1820.6331551287697,,stop,6,-83.96729577126507,-0.25,-1.2348736392952393,0.0,-83.96729577126507,-114.63112050684651,-1.0180023040171984,1.205913259057513,0.5556741949035533,breakout_dn
XAUUSD.a,4h,1,0.06,2021-07-29 08:00:00,1815.971721604656,2021-08-02 12:00:00,1807.187278714671,1800.4953656524233,,signal,13,-52.70665733991018,-0.30000000000000004,-1.7126554239460725,0.0,-52.70665733991018,-71.61717146533077,-0.5676040869761525,0.6210584477587879,1.0828310260546978,breakout_up
XAUUSD.a,4h,-1,0.05,2021-08-06 16:00:00,1776.2875604013097,2021-08-11 16:00:00,1745.044208341973,1792.3142644743298,,signal,18,156.2167602966838,-0.25,-2.2420834197311073,0.0,156.2167602966838,211.8480611563382,1.9494558529930694,0.010759517234774467,5.877537887523963,breakout_dn
XAUUSD.a,4h,1,0.05,2021-08-13 16:00:00,1763.0119436767802,2021-08-25 20:00:00,1789.702820965314,1745.8560655775116,,signal,49,133.45438644266892,-0.25,-1.4717903468591056,0.0,133.45438644266892,183.66462035543876,1.5557861354629008,0.044995870937851824,2.713242426524589,breakout_up
XAUUSD.a,4h,1,0.05,2021-08-27 20:00:00,1817.106386977171,2021-09-07 16:00:00,1808.5122154902444,1798.5198639969833,,signal,40,-42.97085743463299,-0.25,-1.4778450975572999,0.0,-42.97085743463299,-58.11663321742651,-0.46238726286178083,0.8342812151417525,0.9062272185488063,breakout_up
XAUUSD.a,4h,-1,0.06,2021-09-07 20:00:00,1795.715457240941,2021-09-10 12:00:00,1801.9323633416498,1810.6184509755728,,signal,16,-37.3014366042521,-0.30000000000000004,-1.828360099797325,0.0,-37.3014366042521,-50.441428808995404,-0.4171582040098265,0.54784581570924,0.896159354204491,breakout_dn
XAUUSD.a,4h,-1,0.05,2021-09-16 16:00:00,1762.44052992175,2021-09-21 16:00:00,1772.1251608363957,1779.2513930422872,,signal,18,-48.423154573227976,-0.25,-1.651608363956839,0.0,-48.423154573227976,-66.85141587269511,-0.5760936154916588,0.7494838300632907,1.2093685955311428,breakout_dn
XAUUSD.a,4h,-1,0.04,2021-09-24 00:00:00,1742.451860402055,2021-09-30 16:00:00,1761.969144169864,1761.6119567017752,,stop,28,-78.0691350712359,-0.2,-1.2287498723558035,0.0,-78.0691350712359,-108.07211588254921,-1.018642258499192,1.132986977641763,1.0867304671302185,breakout_dn
XAUUSD.a,4h,1,0.04,2021-10-04 20:00:00,1769.244313439295,2021-10-05 16:00:00,1748.6942065209705,1748.9708603836175,,stop,5,-82.20042767329778,-0.2,-1.1066154505877497,0.0,-82.20042767329778,-112.88011380411939,-1.0136461145463085,1.0168131389695316,0.03184886950101099,breakout_up
XAUUSD.a,4h,-1,0.05,2021-10-06 12:00:00,1746.8435958734658,2021-10-06 16:00:00,1764.1026182755418,1763.7865982421547,,stop,1,-86.29511201037985,-0.25,-1.330100166935254,0.0,-86.29511201037985,-119.03266619360781,-1.0186519500210358,1.0332527698211502,0.003163304371891283,breakout_dn
XAUUSD.a,4h,1,0.05,2021-10-08 16:00:00,1776.115070938602,2021-10-08 16:00:00,1758.492061742625,1758.7846681505284,,stop,0,-88.1150459798846,-0.25,-1.463032039516764,0.0,-88.1150459798846,-120.5618591266362,-1.0168839934929104,1.1895321297892092,0.30033514656565624,breakout_up
XAUUSD.a,4h,1,0.04,2021-10-13 20:00:00,1792.8105804730994,2021-10-15 12:00:00,1771.39157888009,1771.6544105892922,,stop,10,-85.67600637203759,-0.2,-1.0513268368081663,0.0,-85.67600637203759,-115.49900426271262,-1.0124234070082465,1.3230457415887573,0.3662959585530578,breakout_up
XAUUSD.a,4h,1,0.06,2021-10-22 12:00:00,1791.2697329014186,2021-10-29 12:00:00,1776.1077487508514,1776.3779952318368,,stop,30,-90.9719049034029,-0.30000000000000004,-1.6214788859129916,0.0,-90.9719049034029,-120.68920878172771,-1.0181474107979633,1.0247113694856802,1.5115943886495828,breakout_up
XAUUSD.a,4h,-1,0.05,2021-10-29 16:00:00,1780.1964617022472,2021-11-04 16:00:00,1792.857308102348,1798.3764320656999,,signal,24,-63.304232000504044,-0.25,-1.7730810234807302,0.0,-63.304232000504044,-85.47579967932386,-0.6964173289057184,0.8907351317968529,1.1769250045237027,breakout_dn
XAUUSD.a,4h,1,0.05,2021-11-05 20:00:00,1814.2801665992472,2021-11-16 20:00:00,1851.9911176890469,1795.5928277733633,,signal,42,188.55475544899832,-0.25,-1.7888231095326137,0.0,188.55475544899832,257.95142816941643,2.0179947204449515,0.09900642442916802,3.3616254291777885,breakout_up
XAUUSD.a,4h,-1,0.05,2021-11-19 20:00:00,1846.8304206847706,2021-11-26 08:00:00,1797.7007822237183,1864.3162339477892,,signal,26,245.64819230526155,-0.25,-1.607822237183922,0.0,245.64819230526155,344.1752375621896,2.8096856418430605,0.21500740392673515,3.906047700350418,breakout_dn
XAUUSD.a,4h,-1,0.04,2021-11-30 20:00:00,1774.1210772126458,2021-12-06 00:00:00,1784.2876559902145,1796.8901463304483,,signal,19,-40.66631511027481,-0.2,-1.5812479217161226,0.0,-40.66631511027481,-58.08975674981403,-0.44650831902564475,0.8981009579950605,0.5406930405872485,breakout_dn
XAUUSD.a,4h,1,0.05,2021-12-08 08:00:00,1790.9573632875642,2021-12-09 12:00:00,1774.504815087099,1774.7239536469276,,stop,7,-82.26274100232672,-0.25,-1.0956927991432277,0.0,-82.26274100232672,-114.9514986827365,-1.0134992318114209,1.0569167948928455,0.13198932078151088,breakout_up
XAUUSD.a,4h,-1,0.06,2021-12-10 12:00:00,1770.6728595043194,2021-12-10 12:00:00,1784.6381487398987,1784.3674379963777,,stop,0,-83.79173541347609,-0.30000000000000004,-1.3242644611258478,0.0,-83.79173541347609,-117.20927053599307,-1.019767730980403,1.0673669513930106,0.023575716806961088,breakout_dn
XAUUSD.a,4h,-1,0.06,2021-12-15 20:00:00,1765.4670188928985,2021-12-15 20:00:00,1779.1747447331254,1778.880273072473,,stop,0,-82.24635504136131,-0.30000000000000004,-1.4668299639138116,0.0,-82.24635504136131,-115.4594084866234,-1.0219537821851428,1.1498314205204134,0.9346739221560114,breakout_dn
XAUUSD.a,4h,1,0.05,2021-12-16 20:00:00,1797.4520370684977,2021-12-21 00:00:00,1790.508542936898,1781.5852387771743,,signal,13,-34.71747065799832,-0.25,-1.3145706310207659,0.0,-34.71747065799832,-48.87512938774699,-0.4376115460796286,0.5780647677051103,1.056795619609765,breakout_up
XAUUSD.a,4h,1,0.07,2021-12-27 04:00:00,1810.9851238870851,2021-12-29 12:00:00,1802.6119189305352,1798.8020429293035,,signal,14,-58.612434695849295,-0.3500000000000001,-1.6531349725076532,0.0,-58.612434695849295,-81.18178187488648,-0.6872814016065238,0.7243753790742273,0.7588290798486377,breakout_up
XAUUSD.a,4h,-1,0.07,2021-12-29 16:00:00,1789.8487818640683,2021-12-29 16:00:00,1801.994934150381,1801.7481069464834,,stop,0,-85.02306600418821,-0.3500000000000001,-1.3777904272821175,0.0,-85.02306600418821,-117.38491254323178,-1.0207429582928425,1.2480723094017299,0.020907224766558995,breakout_dn
XAUUSD.a,4h,1,0.07,2021-12-31 16:00:00,1824.5087435896287,2022-01-03 12:00:00,1811.3295941241547,1811.5476134245878,,stop,5,-92.2540462583179,-0.3500000000000001,-1.5261351030310784,0.0,-92.2540462583179,-127.25222596565085,-1.0168210100243509,1.4511653960825164,0.5579186628242992,breakout_up
XAUUSD.a,4h,-1,0.05,2022-01-06 12:00:00,1794.6769143024712,2022-01-11 04:00:00,1805.0425842206218,1810.3853828107751,,signal,16,-51.82834959075308,-0.25,-1.4258422062195826,0.0,-51.82834959075308,-72.11603160064713,-0.6598778176670157,0.7933991586092919,0.7669057168814909,breakout_dn
XAUUSD.a,4h,1,0.06,2022-01-11 20:00:00,1817.7464108789354,2022-01-18 12:00:00,1810.260114778665,1802.7103668838758,,signal,28,-44.91777660162279,-0.30000000000000004,-1.558622656022457,0.0,-44.91777660162279,-62.509952546895626,-0.4978900103464884,0.5757106644393805,0.7570867127553644,breakout_up
XAUUSD.a,4h,1,0.05,2022-01-19 20:00:00,1840.6634060870088,2022-01-26 20:00:00,1830.1385342402266,1825.502421399064,,signal,30,-52.62435923391081,-0.25,-1.6146575977334705,0.0,-52.62435923391081,-73.60359068759642,-0.6942076694497912,0.8036025586580986,0.867792836929158,breakout_up
XAUUSD.a,4h,-1,0.05,2022-01-27 00:00:00,1819.5900532230676,2022-02-01 08:00:00,1802.928322681676,1835.546575977335,,signal,20,83.30865270695767,-0.25,-1.4832268167599838,0.0,83.30865270695767,117.97585882172012,1.04419558057758,0.15855251271808107,2.464199364021967,breakout_dn
XAUUSD.a,4h,1,0.06,2022-02-02 20:00:00,1810.2591093829838,2022-02-03 16:00:00,1795.7608776819934,1795.975143370963,,stop,5,-86.98939020594207,-0.30000000000000004,-1.2855941338174155,0.0,-86.98939020594207,-121.87826127993677,-1.0150004339683583,1.5149230518172152,0.02596552082973539,breakout_up
XAUUSD.a,4h,1,0.06,2022-02-04 12:00:00,1811.206574479947,2022-02-04 12:00:00,1798.0775019780874,1798.297363698008,,stop,0,-78.7744350111575,-0.30000000000000004,-1.3191703195236186,0.0,-78.7744350111575,-111.01870879299494,-1.0170313835318405,1.26084969522065,0.2861077708344872,breakout_up
XAUUSD.a,4h,1,0.05,2022-02-07 20:00:00,1820.1812053290962,2022-03-10 04:00:00,1974.2260492872767,1805.3894260973198,,signal,134,770.2242197909027,-0.25,-4.539507127232741,0.0,770.2242197909027,1052.981283977337,10.41422005726354,0.32120580321327125,16.920803829550174,breakout_up
