year,trades,net_acct,win_rate_pct,avg_R,worst_acct
2007,266,-606.45,27.1,-0.016,-172.27
2008,292,1444.56,27.4,0.04,-480.22
2009,285,-3491.53,22.5,-0.097,-149.84
2010,275,-3173.57,26.9,-0.109,-121.96
2011,308,-5351.56,23.1,-0.208,-116.94
2012,269,632.34,23.8,0.046,-98.01
2013,246,9485.88,31.7,0.433,-126.1
2014,276,3480.01,26.4,0.114,-319.93
2015,277,2173.24,29.2,0.068,-872.53
2016,282,5260.63,28.7,0.128,-602.87
2017,277,7418.53,30.3,0.15,-1430.29
2018,315,-10492.08,27.3,-0.177,-340.06
2019,309,-11232.28,21.7,-0.278,-417.95
2020,292,-513.6,25.7,-0.011,-154.54
2021,298,-20.84,25.8,0.007,-130.06
2022,281,8988.23,29.2,0.284,-156.35
2023,304,1871.54,26.3,0.051,-209.61
2024,293,9857.16,23.5,0.208,-319.06
2025,292,4061.2,27.7,0.079,-580.74
2026,171,5114.4,26.9,0.14,-346.45
