year,trades,net_acct,win_rate_pct,avg_R,worst_acct
2007,1,-47.12,0.0,-0.426,-47.12
2008,1,28.73,100.0,0.256,28.73
2009,2,-118.33,0.0,-0.508,-108.02
2010,6,-382.66,16.7,-0.552,-125.14
2011,5,-237.22,20.0,-0.488,-118.84
2012,2,43.77,50.0,0.193,-113.4
2013,4,1207.3,25.0,2.948,-106.6
2014,3,-185.86,0.0,-0.538,-112.83
2015,4,-297.3,0.0,-0.624,-123.81
2016,1,-106.45,0.0,-1.016,-106.45
2017,8,-494.63,12.5,-0.571,-115.47
2018,2,19.88,50.0,0.051,-117.9
2019,3,57.07,33.3,0.15,-46.94
2020,3,-247.52,0.0,-0.82,-110.58
2021,4,-62.65,25.0,-0.108,-111.65
2022,1,2208.34,100.0,22.844,2208.34
2023,2,-178.37,0.0,-0.798,-117.8
2024,2,88.7,50.0,0.378,-14.15
2025,1,146.19,100.0,1.234,146.19
2026,3,-158.89,0.0,-0.501,-99.83
