year,trades,net_acct,win_rate_pct,avg_R,worst_acct
2007,69,-641.16,21.7,-0.083,-134.1
2008,96,-1416.56,21.9,-0.124,-129.18
2009,70,471.74,28.6,0.061,-136.39
2010,78,-2521.55,19.2,-0.3,-122.45
2011,72,-1879.98,18.1,-0.265,-114.42
2012,72,1235.57,29.2,0.211,-113.91
2013,68,2789.98,35.3,0.415,-169.62
2014,59,2279.55,28.8,0.362,-114.35
2015,83,-1771.79,18.1,-0.186,-373.96
2016,68,1199.31,32.4,0.147,-134.7
2017,65,2465.28,38.5,0.306,-138.69
2018,71,461.59,35.2,0.053,-170.38
2019,73,-1836.72,26.0,-0.185,-169.56
2020,79,-668.6,25.3,-0.064,-179.16
2021,60,1788.03,28.3,0.249,-144.19
2022,58,6866.08,34.5,0.868,-173.03
2023,70,16.45,31.4,0.01,-171.21
2024,73,3886.23,30.1,0.308,-179.02
2025,62,984.83,35.5,0.089,-201.54
2026,47,687.84,27.7,0.081,-243.6
