symbol,tf,bars,atr,spread_pts,recorded_pts,spread_R,slip_R,floor_R
XAUUSD.a,1d,1455,29.1983,24.0,5.0,0.0082,0.04,0.0482
USDJPY.a,1d,1463,1.22004,13.0,0.0,0.0107,0.04,0.0507
EURUSD.a,1d,1463,0.00729,12.0,0.0,0.0165,0.04,0.0565
AUDUSD.a,1d,1463,0.00642,13.0,0.0,0.0203,0.04,0.0603
XAUUSD.a,4h,8723,10.89621,24.0,5.0,0.022,0.04,0.062
USDJPY.a,4h,8777,0.43702,13.0,0.0,0.0297,0.04,0.0697
XAUUSD.a,1h,33343,5.4276,24.0,6.0,0.0442,0.04,0.0842
EURUSD.a,4h,8778,0.00269,12.0,0.0,0.0447,0.04,0.0847
AUDUSD.a,4h,8785,0.00248,13.0,0.0,0.0523,0.04,0.0923
USDJPY.a,1h,35091,0.20005,13.0,0.0,0.065,0.04,0.105
XAUUSD.a,15m,133299,2.66138,24.0,8.0,0.0902,0.04,0.1302
EURUSD.a,1h,35097,0.00128,12.0,0.0,0.0938,0.04,0.1338
AUDUSD.a,1h,35097,0.00118,13.0,0.0,0.11,0.04,0.15
USDJPY.a,15m,140330,0.0927,13.0,0.0,0.1402,0.04,0.1802
XAUUSD.a,5m,399669,1.48232,24.0,9.0,0.1619,0.04,0.2019
EURUSD.a,15m,140377,0.00061,12.0,0.0,0.1971,0.04,0.2371
AUDUSD.a,15m,140481,0.00057,13.0,0.0,0.2283,0.04,0.2683
USDJPY.a,5m,420686,0.04955,13.0,0.0,0.2624,0.04,0.3024
EURUSD.a,5m,420804,0.00033,12.0,0.0,0.361,0.04,0.401
XAUUSD.a,1m,1996236,0.61389,24.0,11.0,0.391,0.04,0.431
AUDUSD.a,5m,421098,0.00032,13.0,0.0,0.4118,0.04,0.4518
USDJPY.a,1m,2098205,0.01976,13.0,0.0,0.6578,0.04,0.6978
EURUSD.a,1m,2099325,0.00013,12.0,0.0,0.8893,0.04,0.9293
AUDUSD.a,1m,2100027,0.00013,13.0,0.0,0.9919,0.04,1.0319
