when,truth,ticks,5m,5m_n,1m,1m_n
2025-01-02 00:00:00,stop,966,stop,12,stop,59
2025-01-02 01:00:00,target,1649,target,12,target,60
2025-01-02 02:00:00,stop,1825,stop,12,stop,60
2025-01-02 03:00:00,stop,3386,stop,12,stop,60
2025-01-02 04:00:00,stop,1776,stop,12,stop,60
2025-01-02 05:00:00,stop,1411,stop,12,stop,60
2025-01-02 06:00:00,target,1409,target,12,target,60
2025-01-02 07:00:00,target,1330,target,12,target,60
2025-01-02 08:00:00,stop,1983,stop,12,stop,60
2025-01-02 09:00:00,target,3225,target,12,target,60
2025-01-02 10:00:00,target,4972,target,12,target,60
2025-01-02 11:00:00,target,4010,target,12,target,60
2025-01-02 12:00:00,target,5103,target,12,target,60
2025-01-02 13:00:00,target,4370,target,12,target,60
2025-01-02 14:00:00,target,4161,target,12,target,60
2025-01-02 15:00:00,stop,6165,stop,12,stop,60
2025-01-02 16:00:00,target,5663,target,12,target,60
2025-01-02 17:00:00,target,7097,target,12,target,60
2025-01-02 18:00:00,target,7977,unresolved,12,target,60
2025-01-02 19:00:00,target,5132,target,12,target,60
2025-01-02 20:00:00,target,3381,target,12,target,60
2025-01-02 21:00:00,target,2387,target,12,target,60
2025-01-02 22:00:00,stop,1840,stop,12,stop,60
2025-01-02 23:00:00,stop,1893,stop,12,stop,59
2025-02-05 00:00:00,target,1312,target,12,target,59
2025-02-05 01:00:00,target,2056,target,12,target,60
2025-02-05 02:00:00,stop,4494,stop,12,stop,60
2025-02-05 03:00:00,target,6606,target,12,target,60
2025-02-05 04:00:00,stop,6236,stop,12,stop,60
2025-02-05 05:00:00,target,4369,target,12,target,60
2025-02-05 06:00:00,target,3161,target,12,target,60
2025-02-05 07:00:00,target,3813,target,12,target,60
2025-02-05 08:00:00,stop,5509,stop,12,stop,60
2025-02-05 09:00:00,stop,8732,stop,12,stop,60
2025-02-05 10:00:00,stop,11716,stop,12,stop,60
2025-02-05 11:00:00,target,9973,target,12,target,60
2025-02-05 12:00:00,stop,8668,stop,12,stop,60
2025-02-05 13:00:00,target,6426,target,12,target,60
2025-02-05 14:00:00,stop,6943,stop,12,stop,60
2025-02-05 15:00:00,target,11239,target,12,target,60
2025-02-05 16:00:00,stop,10730,stop,12,stop,60
2025-02-05 17:00:00,target,16222,target,12,target,60
2025-02-05 18:00:00,target,9078,target,12,target,60
2025-02-05 19:00:00,target,5680,target,12,target,60
2025-02-05 20:00:00,target,4631,target,12,target,60
2025-02-05 21:00:00,target,5370,target,12,target,60
2025-02-05 22:00:00,target,4949,target,12,target,60
2025-02-05 23:00:00,target,4131,target,12,target,59
2025-03-11 00:00:00,stop,444,stop,12,stop,58
2025-03-11 01:00:00,target,3387,target,12,target,60
2025-03-11 02:00:00,stop,2987,stop,12,stop,60
2025-03-11 03:00:00,stop,5948,stop,12,stop,60
2025-03-11 04:00:00,stop,7386,stop,12,stop,60
2025-03-11 05:00:00,target,6953,target,12,target,60
2025-03-11 06:00:00,target,4789,target,12,target,60
2025-03-11 07:00:00,stop,3873,stop,12,stop,60
2025-03-11 08:00:00,target,5321,target,12,target,60
2025-03-11 09:00:00,stop,9747,stop,12,stop,60
2025-03-11 10:00:00,stop,13121,stop,12,stop,60
2025-03-11 11:00:00,stop,13531,stop,12,stop,60
2025-03-11 12:00:00,target,10139,target,12,target,60
2025-03-11 14:00:00,stop,7256,stop,12,stop,60
2025-03-11 15:00:00,stop,11173,stop,12,stop,60
2025-03-11 16:00:00,stop,12904,stop,12,stop,60
2025-03-11 17:00:00,target,18137,target,12,target,60
2025-03-11 18:00:00,stop,13260,stop,12,stop,60
2025-03-11 19:00:00,stop,9222,stop,12,stop,60
2025-03-11 20:00:00,stop,9027,stop,12,stop,60
2025-03-11 21:00:00,target,13493,target,12,target,60
2025-03-11 22:00:00,target,9331,target,12,target,60
2025-03-11 23:00:00,target,5143,target,12,target,59
2025-03-28 01:00:00,target,1838,target,12,target,60
2025-03-28 02:00:00,stop,1581,stop,12,stop,60
2025-03-28 03:00:00,target,4413,target,12,target,60
2025-03-28 04:00:00,target,6061,target,12,target,60
2025-03-28 05:00:00,target,4257,target,12,target,60
2025-03-28 06:00:00,target,3290,target,12,target,60
2025-03-28 07:00:00,target,2773,target,12,target,60
2025-03-28 08:00:00,stop,4020,stop,12,stop,60
2025-03-28 09:00:00,target,3946,target,12,target,60
2025-03-28 10:00:00,target,6751,target,12,target,60
2025-03-28 11:00:00,target,8448,target,12,target,60
2025-03-28 12:00:00,target,6560,target,12,target,60
