when,truth,ticks,5m,5m_n,1m,1m_n
2025-01-02 01:00:00,target,2328,target,12,target,59
2025-01-02 02:00:00,stop,3479,stop,12,stop,60
2025-01-02 03:00:00,stop,8438,stop,12,stop,60
2025-01-02 04:00:00,target,6061,target,12,target,60
2025-01-02 05:00:00,target,4650,target,12,target,60
2025-01-02 06:00:00,stop,3340,stop,12,stop,60
2025-01-02 07:00:00,stop,4740,stop,12,stop,60
2025-01-02 08:00:00,stop,5501,stop,12,stop,60
2025-01-02 09:00:00,target,4897,target,12,target,60
2025-01-02 10:00:00,stop,6221,stop,12,stop,60
2025-01-02 11:00:00,target,5846,target,12,target,60
2025-01-02 12:00:00,stop,7581,stop,12,stop,60
2025-01-02 13:00:00,target,5301,target,12,target,60
2025-01-02 14:00:00,stop,6183,stop,12,stop,60
2025-01-02 15:00:00,stop,10347,stop,12,stop,60
2025-01-02 16:00:00,stop,10443,stop,12,stop,60
2025-01-02 17:00:00,stop,11127,stop,12,stop,60
2025-01-02 18:00:00,stop,9630,stop,12,stop,60
2025-01-02 19:00:00,target,7049,target,12,target,60
2025-01-02 20:00:00,target,6691,target,12,target,60
2025-01-02 21:00:00,stop,6347,stop,12,stop,60
2025-01-02 22:00:00,stop,5960,stop,12,stop,60
2025-01-02 23:00:00,target,2112,target,12,target,59
2025-02-05 01:00:00,target,3395,target,12,target,59
2025-02-05 02:00:00,stop,9801,stop,12,stop,60
2025-02-05 03:00:00,target,23889,target,12,target,60
2025-02-05 04:00:00,stop,16455,stop,12,stop,60
2025-02-05 05:00:00,stop,10058,stop,12,stop,60
2025-02-05 06:00:00,stop,7952,stop,12,stop,60
2025-02-05 07:00:00,stop,9396,stop,12,stop,60
2025-02-05 08:00:00,stop,9421,stop,12,stop,60
2025-02-05 09:00:00,stop,13759,stop,12,stop,60
2025-02-05 10:00:00,stop,15415,stop,12,stop,60
2025-02-05 11:00:00,stop,12010,stop,12,stop,60
2025-02-05 12:00:00,target,14291,target,12,target,60
2025-02-05 13:00:00,target,15308,target,12,target,60
2025-02-05 14:00:00,target,12705,target,12,target,60
2025-02-05 15:00:00,target,26293,target,12,target,60
2025-02-05 16:00:00,stop,24483,stop,12,stop,60
2025-02-05 18:00:00,target,24205,target,12,target,60
2025-02-05 19:00:00,target,14091,target,12,target,60
2025-02-05 20:00:00,target,16160,target,12,target,60
2025-02-05 21:00:00,stop,12840,stop,12,stop,60
2025-02-05 22:00:00,target,13388,target,12,target,60
2025-02-05 23:00:00,stop,4415,stop,12,stop,59
2025-03-11 01:00:00,target,3947,target,12,target,59
2025-03-11 02:00:00,target,4859,target,12,target,60
2025-03-11 03:00:00,stop,8457,stop,12,stop,60
2025-03-11 04:00:00,stop,16083,stop,12,stop,60
2025-03-11 05:00:00,stop,13757,stop,12,stop,60
2025-03-11 06:00:00,target,10065,target,12,target,60
2025-03-11 07:00:00,stop,4287,stop,12,stop,60
2025-03-11 08:00:00,target,8033,target,12,target,60
2025-03-11 09:00:00,stop,11019,stop,12,stop,60
2025-03-11 10:00:00,target,11181,target,12,target,60
2025-03-11 11:00:00,stop,13158,stop,12,stop,60
2025-03-11 12:00:00,stop,12085,stop,12,stop,60
2025-03-11 13:00:00,stop,8563,stop,12,stop,60
2025-03-11 14:00:00,stop,10505,stop,12,stop,60
2025-03-11 15:00:00,stop,14003,stop,12,stop,60
2025-03-11 16:00:00,stop,23792,stop,12,stop,60
2025-03-11 17:00:00,target,22721,target,12,target,60
2025-03-11 18:00:00,stop,18792,stop,12,stop,60
2025-03-11 19:00:00,target,12002,target,12,target,60
2025-03-11 20:00:00,target,13223,target,12,target,60
2025-03-11 21:00:00,stop,8728,stop,12,stop,60
2025-03-11 22:00:00,stop,11533,stop,12,stop,60
2025-03-11 23:00:00,target,5243,target,12,target,59
2025-03-28 01:00:00,stop,3730,stop,12,stop,59
2025-03-28 02:00:00,stop,3370,stop,12,stop,60
2025-03-28 03:00:00,stop,8650,stop,12,stop,60
2025-03-28 04:00:00,stop,14963,stop,12,stop,60
2025-03-28 05:00:00,target,11904,target,12,target,60
2025-03-28 06:00:00,stop,9151,stop,12,stop,60
2025-03-28 07:00:00,target,4789,target,12,target,60
2025-03-28 08:00:00,stop,9527,stop,12,stop,60
2025-03-28 09:00:00,stop,12524,stop,12,stop,60
2025-03-28 10:00:00,target,14990,target,12,target,60
2025-03-28 11:00:00,target,19186,target,12,target,60
2025-03-28 12:00:00,stop,14747,stop,12,stop,60
2025-03-28 13:00:00,target,13711,target,12,target,60
2025-03-28 14:00:00,stop,13582,stop,12,stop,60
2025-03-28 15:00:00,stop,19162,stop,12,stop,60
2025-03-28 16:00:00,stop,28698,stop,12,stop,60
2025-03-28 17:00:00,target,33527,target,12,target,60
2025-03-28 18:00:00,stop,23096,stop,12,stop,60
2025-03-28 19:00:00,target,16840,target,12,target,60
2025-03-28 20:00:00,target,15382,target,12,target,60
2025-03-28 21:00:00,target,11826,target,12,target,60
2025-03-28 22:00:00,stop,11859,stop,12,stop,60
2025-04-14 01:00:00,stop,12858,stop,12,stop,59
2025-04-14 02:00:00,stop,7512,stop,12,stop,60
2025-04-14 03:00:00,target,10017,target,12,target,60
2025-04-14 04:00:00,stop,22676,stop,12,stop,60
2025-04-14 05:00:00,target,14071,target,12,target,60
2025-04-14 06:00:00,stop,9046,stop,12,stop,60
2025-04-14 07:00:00,target,7538,target,12,target,60
2025-04-14 08:00:00,stop,11335,stop,12,stop,60
2025-04-14 09:00:00,stop,15682,stop,12,stop,60
2025-04-14 10:00:00,target,14928,target,12,target,60
2025-04-14 11:00:00,stop,17202,stop,12,stop,60
2025-04-14 12:00:00,target,14316,target,12,target,60
2025-04-14 13:00:00,target,20030,target,12,target,60
2025-04-14 14:00:00,stop,16281,stop,12,stop,60
2025-04-14 15:00:00,target,27017,target,12,target,60
2025-04-14 16:00:00,target,36857,target,12,target,60
2025-04-14 17:00:00,stop,25216,stop,12,stop,60
2025-04-14 18:00:00,target,23796,target,12,target,60
2025-04-14 19:00:00,stop,16181,stop,12,stop,60
2025-04-14 20:00:00,stop,13659,stop,12,stop,60
2025-04-14 21:00:00,target,10602,target,12,target,60
2025-04-14 22:00:00,stop,7847,stop,12,stop,60
2025-04-14 23:00:00,target,4319,target,12,target,59
2025-05-01 01:00:00,target,11146,target,12,target,59
2025-05-01 02:00:00,target,9270,target,12,target,60
2025-05-01 03:00:00,target,17605,target,12,target,60
2025-05-01 04:00:00,stop,14035,stop,12,stop,60
2025-05-01 05:00:00,stop,8980,stop,12,stop,60
2025-05-01 06:00:00,target,11963,target,12,target,60
2025-05-01 07:00:00,stop,10215,stop,12,stop,60
2025-05-01 08:00:00,stop,11631,stop,12,stop,60
2025-05-01 09:00:00,target,14795,target,12,target,60
2025-05-01 10:00:00,target,13085,target,12,target,60
2025-05-01 11:00:00,stop,9150,stop,12,stop,60
2025-05-01 12:00:00,target,14231,target,12,target,60
2025-05-01 13:00:00,stop,15570,stop,12,stop,60
2025-05-01 14:00:00,target,16625,target,12,target,60
2025-05-01 15:00:00,stop,24820,stop,12,stop,60
2025-05-01 16:00:00,stop,23646,stop,12,stop,60
2025-05-01 17:00:00,stop,27509,stop,12,stop,60
2025-05-01 18:00:00,target,18325,target,12,target,60
2025-05-01 19:00:00,stop,14061,stop,12,stop,60
2025-05-01 20:00:00,target,14378,target,12,target,60
2025-05-01 21:00:00,stop,11166,stop,12,stop,60
2025-05-01 22:00:00,stop,8753,stop,12,stop,60
2025-05-01 23:00:00,stop,8502,stop,12,stop,59
2025-06-04 01:00:00,stop,3658,stop,12,stop,59
2025-06-04 02:00:00,target,5652,target,12,target,60
2025-06-04 03:00:00,target,14134,target,12,target,60
2025-06-04 04:00:00,stop,20527,stop,12,stop,60
2025-06-04 05:00:00,target,13790,target,12,target,60
2025-06-04 06:00:00,target,10575,target,12,target,60
2025-06-04 07:00:00,target,11416,target,12,target,60
2025-06-04 08:00:00,target,14221,target,12,target,60
2025-06-04 09:00:00,stop,14941,stop,12,stop,60
2025-06-04 10:00:00,target,14690,target,12,target,60
2025-06-04 11:00:00,stop,15288,stop,12,stop,60
2025-06-04 12:00:00,target,13165,target,12,target,60
2025-06-04 13:00:00,target,15032,target,12,target,60
2025-06-04 14:00:00,target,15501,target,12,target,60
2025-06-04 15:00:00,stop,24352,stop,12,stop,60
2025-06-04 16:00:00,target,21450,target,12,target,60
2025-06-04 17:00:00,stop,27288,stop,12,stop,60
2025-06-04 18:00:00,target,17572,target,12,target,60
2025-06-04 19:00:00,stop,11057,stop,12,stop,60
2025-06-04 20:00:00,stop,9317,stop,12,stop,60
2025-06-04 21:00:00,target,7880,target,12,target,60
2025-06-04 22:00:00,target,8897,target,12,target,60
2025-06-04 23:00:00,stop,5062,stop,12,stop,59
2025-07-08 01:00:00,target,5857,target,12,target,59
2025-07-08 02:00:00,target,6017,target,12,target,60
2025-07-08 03:00:00,target,11797,target,12,target,60
2025-07-08 04:00:00,stop,14605,stop,12,stop,60
2025-07-08 05:00:00,stop,10426,stop,12,stop,60
2025-07-08 06:00:00,target,7523,target,12,target,60
2025-07-08 07:00:00,target,7592,target,12,target,60
2025-07-08 08:00:00,stop,9587,stop,12,stop,60
2025-07-08 09:00:00,stop,10010,stop,12,stop,60
2025-07-08 10:00:00,target,12198,target,12,target,60
2025-07-08 12:00:00,target,11465,target,12,target,60
2025-07-08 13:00:00,stop,9418,stop,12,stop,60
2025-07-08 14:00:00,target,11591,target,12,target,60
2025-07-08 15:00:00,stop,14952,stop,12,stop,60
2025-07-08 16:00:00,target,24870,target,12,target,60
2025-07-08 17:00:00,target,31280,target,12,target,60
2025-07-08 18:00:00,stop,23249,stop,12,stop,60
2025-07-08 19:00:00,stop,17332,stop,12,stop,60
2025-07-08 20:00:00,stop,19175,stop,12,stop,60
2025-07-08 21:00:00,target,11481,target,12,target,60
2025-07-08 22:00:00,target,8271,target,12,target,60
2025-07-08 23:00:00,target,4987,target,12,target,59
