entry,exit,atr_mult,OOS_trades,OOS_avg_R,OOS_pf,IS_trades,IS_avg_R,IS_pf,both
12,6,1.5,497,0.1403,1.262,383,0.0712,1.121,True
12,6,2.0,468,0.1105,1.251,347,0.0864,1.18,True
12,6,2.5,447,0.1091,1.309,318,0.0522,1.131,True
12,8,1.5,461,0.1378,1.237,350,0.1416,1.233,True
12,8,2.0,427,0.1174,1.244,311,0.1478,1.29,True
12,8,2.5,400,0.1235,1.321,282,0.1322,1.31,True
12,10,1.5,436,0.1197,1.199,323,0.1654,1.257,True
12,10,2.0,394,0.124,1.248,284,0.1504,1.276,True
12,10,2.5,364,0.1301,1.317,252,0.1517,1.328,True
12,13,1.5,391,0.1485,1.229,288,0.2359,1.349,True
12,13,2.0,343,0.1632,1.3,251,0.2189,1.371,True
12,13,2.5,311,0.1679,1.37,215,0.2501,1.509,True
12,16,1.5,364,0.1108,1.166,271,0.2069,1.3,True
12,16,2.0,322,0.1003,1.173,234,0.1856,1.303,True
12,16,2.5,286,0.1308,1.266,199,0.222,1.426,True
16,6,1.5,444,0.1814,1.349,332,0.1237,1.222,True
16,6,2.0,423,0.1382,1.322,307,0.089,1.19,True
16,6,2.5,410,0.124,1.357,282,0.0633,1.162,True
16,8,1.5,417,0.1678,1.296,306,0.2033,1.348,True
16,8,2.0,393,0.1296,1.274,278,0.1673,1.337,True
16,8,2.5,373,0.1337,1.35,258,0.1232,1.291,True
16,10,1.5,396,0.1448,1.246,283,0.2433,1.393,True
16,10,2.0,365,0.1332,1.271,258,0.1835,1.342,True
16,10,2.5,342,0.1434,1.355,234,0.1596,1.35,True
16,13,1.5,370,0.1283,1.197,259,0.3109,1.47,True
16,13,2.0,330,0.138,1.254,232,0.2545,1.44,True
16,13,2.5,305,0.145,1.312,206,0.2592,1.536,True
16,16,1.5,348,0.0895,1.133,243,0.2937,1.441,True
16,16,2.0,310,0.0825,1.144,216,0.2355,1.398,True
16,16,2.5,280,0.1154,1.233,188,0.2509,1.495,True
20,6,1.5,392,0.1996,1.391,297,0.1074,1.192,True
20,6,2.0,373,0.1696,1.41,276,0.0739,1.158,True
20,6,2.5,365,0.1474,1.44,253,0.0317,1.08,True
20,8,1.5,369,0.1997,1.362,275,0.1856,1.311,True
20,8,2.0,348,0.1764,1.389,253,0.1514,1.299,True
20,8,2.5,336,0.1561,1.421,234,0.1003,1.232,True
20,10,1.5,355,0.1609,1.277,259,0.2109,1.329,True
20,10,2.0,327,0.1743,1.366,232,0.1935,1.357,True
20,10,2.5,315,0.1481,1.371,214,0.1548,1.334,True
20,13,1.5,333,0.1576,1.246,241,0.2741,1.407,True
20,13,2.0,301,0.1815,1.346,209,0.2999,1.526,True
20,13,2.5,285,0.1632,1.36,190,0.2619,1.539,True
20,16,1.5,314,0.1315,1.198,230,0.2425,1.355,True
20,16,2.0,285,0.1291,1.23,199,0.2625,1.45,True
20,16,2.5,268,0.1118,1.226,180,0.22,1.425,True
24,6,1.5,369,0.1548,1.296,271,0.162,1.303,True
24,6,2.0,348,0.1447,1.344,250,0.1524,1.35,True
24,6,2.5,340,0.1252,1.363,235,0.1025,1.282,True
24,8,1.5,350,0.1588,1.281,252,0.2316,1.406,True
24,8,2.0,324,0.1631,1.353,229,0.2223,1.473,True
24,8,2.5,314,0.1391,1.363,213,0.183,1.466,True
24,10,1.5,338,0.1064,1.177,237,0.2673,1.433,True
24,10,2.0,307,0.1504,1.309,210,0.2789,1.55,True
24,10,2.5,295,0.1393,1.341,197,0.2225,1.515,True
24,13,1.5,318,0.1085,1.165,221,0.3315,1.508,True
24,13,2.0,286,0.1461,1.268,192,0.3633,1.669,True
24,13,2.5,270,0.1515,1.326,178,0.305,1.654,True
24,16,1.5,304,0.0737,1.107,215,0.272,1.406,True
24,16,2.0,272,0.098,1.168,187,0.2975,1.526,True
24,16,2.5,256,0.1004,1.197,172,0.2366,1.46,True
28,6,1.5,348,0.1427,1.265,258,0.1571,1.299,True
28,6,2.0,326,0.1431,1.331,238,0.1305,1.305,True
28,6,2.5,319,0.1164,1.326,224,0.0898,1.246,True
28,8,1.5,334,0.138,1.238,242,0.2208,1.395,True
28,8,2.0,308,0.1481,1.308,220,0.2117,1.46,True
28,8,2.5,299,0.1168,1.288,205,0.1764,1.451,True
28,10,1.5,323,0.0847,1.137,226,0.2596,1.428,True
28,10,2.0,293,0.1301,1.255,201,0.2668,1.536,True
28,10,2.5,282,0.1061,1.245,186,0.2282,1.532,True
28,13,1.5,304,0.0989,1.148,209,0.3495,1.549,True
28,13,2.0,273,0.1299,1.228,184,0.3535,1.657,True
28,13,2.5,260,0.1176,1.24,171,0.308,1.66,True
28,16,1.5,291,0.0749,1.108,205,0.2674,1.403,True
28,16,2.0,263,0.077,1.128,179,0.2965,1.529,True
28,16,2.5,248,0.0689,1.131,166,0.2367,1.462,True
32,6,1.5,322,0.1572,1.289,242,0.1417,1.265,True
32,6,2.0,302,0.1438,1.324,224,0.0979,1.221,True
32,6,2.5,298,0.1066,1.288,208,0.0506,1.132,True
32,8,1.5,310,0.1389,1.237,227,0.1987,1.351,True
32,8,2.0,286,0.1394,1.288,208,0.1844,1.395,True
32,8,2.5,279,0.1134,1.279,193,0.1536,1.386,True
32,10,1.5,302,0.0777,1.125,213,0.2447,1.399,True
32,10,2.0,272,0.1245,1.247,192,0.2348,1.461,True
32,10,2.5,263,0.1084,1.254,176,0.2127,1.486,True
32,13,1.5,285,0.0984,1.146,199,0.3114,1.479,True
32,13,2.0,254,0.1353,1.239,179,0.2871,1.519,True
