pattern_id,stop_atr,target_atr,rr,n_events,n_decided,chop_pct,undefined,hold_pct,base_pct,base_flat_pct,fair_pct,dev_pp,edge_R,gross_R,friction_R,net_R,z,p_binom,z_shift,p,p_perm,folds_agree,fold_frac,survives_bh,beats_expected_max
ddddd|cc,0.5,1.0,2.0,3080,3079,0.0,0,28.16,32.26,32.29,33.33,-4.1,-0.1229,-0.1552,0.3932,-0.5484,-4.87,1.1378948298441195e-06,-4.82,1.4191545289568642e-06,0.004975124378109453,0/4,0.0,True,True
ddddd|bc,1.0,1.0,1.0,3283,3275,0.2,0,45.56,49.34,49.29,50.0,-3.79,-0.0757,-0.0889,0.1972,-0.2861,-4.34,1.4491856424478773e-05,-4.75,2.0429921109828785e-06,0.004975124378109453,0/4,0.0,True,True
ddddd|bc,0.5,1.0,2.0,3283,3283,0.0,0,29.0,32.34,32.29,33.33,-3.34,-0.1001,-0.1301,0.3944,-0.5245,-4.09,4.3035182658783536e-05,-4.72,2.3275650860084074e-06,0.004975124378109453,0/4,0.0,True,True
cdddd|bc,1.0,1.0,1.0,997,996,0.1,0,43.17,49.33,49.29,50.0,-6.16,-0.1231,-0.1365,0.2032,-0.3397,-3.89,0.00010134128231416624,-3.89,9.991934559271284e-05,0.004975124378109453,0/4,0.0,True,True
aaaaa|aa,0.5,1.0,2.0,3190,3190,0.0,0,35.52,32.27,32.29,33.33,3.25,0.0974,0.0655,0.3854,-0.3199,3.93,8.658241613073608e-05,3.76,0.00016880029584377372,0.004975124378109453,4/4,1.0,True,True
abbaa|aa,0.5,2.0,4.0,429,427,0.5,0,25.76,19.25,19.3,20.0,6.51,0.3257,0.2881,0.3943,-0.1062,3.42,0.0006364282273264527,3.64,0.00027569169754400704,0.004975124378109453,4/4,1.0,False,True
dddcb|aa,0.5,1.0,2.0,692,692,0.0,0,38.73,32.26,32.29,33.33,6.47,0.1941,0.1618,0.4062,-0.2443,3.64,0.0002698341571305895,3.59,0.0003257100802781781,0.004975124378109453,4/4,1.0,False,True
aaaaa|ba,0.5,1.0,2.0,3135,3135,0.0,0,34.96,32.3,32.29,33.33,2.66,0.0797,0.0488,0.3895,-0.3407,3.18,0.001460603824194261,3.46,0.0005345363593168677,0.004975124378109453,4/4,1.0,False,False
dddcb|aa,1.0,1.0,1.0,692,692,0.0,0,55.64,49.25,49.29,50.0,6.39,0.1277,0.1127,0.2031,-0.0904,3.36,0.0007736320703373436,3.39,0.0006969594026116407,0.004975124378109453,4/4,1.0,False,False
cdddd|bc,0.5,1.0,2.0,997,997,0.0,0,26.78,32.33,32.29,33.33,-5.55,-0.1665,-0.1966,0.4063,-0.6029,-3.75,0.00017893638940404057,-3.34,0.0008381309176717011,0.004975124378109453,0/4,0.0,False,False
bbbbb|aa,1.0,1.0,1.0,311,311,0.0,0,58.2,49.13,49.29,50.0,9.07,0.1814,0.164,0.2177,-0.0538,3.2,0.0013645498832085261,3.31,0.0009206653718058704,0.004975124378109453,4/4,1.0,False,False
