pattern_id,stop_atr,target_atr,rr,n_events,n_decided,chop_pct,undefined,hold_pct,base_pct,base_flat_pct,fair_pct,dev_pp,edge_R,gross_R,friction_R,net_R,z,p_binom,z_shift,p,p_perm,folds_agree,fold_frac,survives_bh,beats_expected_max
ddddd|aa,1.0,1.0,1.0,494,494,0.0,0,59.11,49.63,49.43,50.0,9.48,0.1896,0.1822,0.0994,0.0828,4.22,2.4779410576400506e-05,4.45,8.528077061774353e-06,0.004975124378109453,4/4,1.0,True,True
aaaaa|cc,0.5,2.0,4.0,503,503,0.0,0,12.92,19.46,19.37,20.0,-6.53,-0.3267,-0.3539,0.1992,-0.5531,-3.71,0.00021115431568394236,-4.19,2.7422335011139844e-05,0.004975124378109453,0/4,0.0,True,True
aaaaa|cc,0.5,1.0,2.0,503,503,0.0,0,24.45,32.25,32.15,33.33,-7.79,-0.2338,-0.2664,0.1992,-0.4656,-3.74,0.00018253272304896104,-4.06,4.953895595028568e-05,0.004975124378109453,0/4,0.0,True,True
ddddd|cc,0.5,1.0,2.0,1389,1389,0.0,0,27.36,32.33,32.15,33.33,-4.97,-0.1491,-0.1793,0.2005,-0.3798,-3.96,7.368143470228171e-05,-3.95,7.871555013689758e-05,0.004975124378109453,0/4,0.0,True,True
aaaba|ca,1.0,3.0,3.0,428,428,0.0,0,31.31,24.28,24.3,25.0,7.02,0.2809,0.2523,0.1034,0.1489,3.4,0.0006858886740367927,3.49,0.0004889736612512384,0.004975124378109453,4/4,1.0,True,True
ddddd|cc,0.5,2.0,4.0,1389,1389,0.0,0,16.05,19.5,19.37,20.0,-3.44,-0.1722,-0.1973,0.2005,-0.3978,-3.24,0.0011822053351275862,-3.04,0.0023945959134452086,0.009950248756218905,0/4,0.0,False,False
bbbbb|bb,0.5,2.0,4.0,619,619,0.0,0,24.07,19.28,19.37,20.0,4.79,0.2397,0.2036,0.2243,-0.0207,3.03,0.0024747719525782096,2.94,0.0033113814338092493,0.004975124378109453,3/4,0.75,False,False
aaaba|ca,0.5,3.0,6.0,428,428,0.0,0,17.99,13.67,13.67,14.29,4.32,0.3023,0.2593,0.2068,0.0526,2.6,0.009219335357985477,2.83,0.0045848316957517775,0.009950248756218905,4/4,1.0,False,False
cccbb|ab,0.5,3.0,6.0,389,389,0.0,0,18.77,13.64,13.67,14.29,5.12,0.3587,0.3136,0.2257,0.0879,2.95,0.0032015516794665438,2.83,0.004629109114820375,0.01990049751243781,3/4,0.75,False,False
aaaaa|cc,1.0,2.0,2.0,503,503,0.0,0,27.63,32.78,32.7,33.33,-5.15,-0.1544,-0.171,0.0996,-0.2706,-2.46,0.013771068725854249,-2.8,0.005090165966055884,0.009950248756218905,0/4,0.0,False,False
ddddd|aa,1.0,2.0,2.0,494,493,0.2,0,38.54,32.89,32.7,33.33,5.65,0.1695,0.1562,0.0994,0.0568,2.67,0.00749342888557673,2.74,0.006154811124055631,0.004975124378109453,4/4,1.0,False,False
aaaaa|cc,0.5,3.0,6.0,503,503,0.0,0,9.54,13.59,13.67,14.29,-4.05,-0.2834,-0.332,0.1992,-0.5312,-2.65,0.007997453198539773,-2.71,0.006818074541148527,0.009950248756218905,0/4,0.0,False,False
ddddd|cc,0.5,3.0,6.0,1389,1387,0.1,0,11.03,13.69,13.67,14.29,-2.66,-0.1859,-0.2278,0.2005,-0.4283,-2.88,0.003977646429798462,-2.69,0.0071468108231242874,0.009950248756218905,1/4,0.25,False,False
baaaa|aa,0.5,2.0,4.0,407,407,0.0,0,24.08,19.36,19.37,20.0,4.72,0.2361,0.2039,0.2002,0.0037,2.41,0.015832605536183205,2.61,0.008926246209261057,0.009950248756218905,4/4,1.0,False,False
aaaba|ca,0.5,1.0,2.0,428,428,0.0,0,38.08,32.26,32.15,33.33,5.83,0.1748,0.1425,0.2068,-0.0643,2.58,0.009866563960352152,2.61,0.009117854265315048,0.014925373134328358,4/4,1.0,False,False
aaaaa|cb,1.0,2.0,2.0,935,934,0.0,1,36.4,32.63,32.7,33.33,3.78,0.1133,0.0921,0.0997,-0.0076,2.46,0.013750006201295326,2.6,0.009420667345869395,0.01990049751243781,4/4,1.0,False,False
cccbb|ab,1.0,3.0,3.0,389,389,0.0,0,30.08,24.12,24.3,25.0,5.96,0.2383,0.2031,0.1129,0.0902,2.75,0.005922480979093392,2.59,0.009492495614233555,0.004975124378109453,3/4,0.75,False,False
aaaaa|bc,1.0,3.0,3.0,904,891,1.4,0,20.09,24.13,24.3,25.0,-4.04,-0.1618,-0.1964,0.1009,-0.2973,-2.83,0.004695330999191417,-2.58,0.00974499592388501,0.009950248756218905,1/4,0.25,False,False
aaaaa|cb,1.0,1.0,1.0,935,934,0.0,1,53.32,49.49,49.43,50.0,3.83,0.0766,0.0664,0.0997,-0.0333,2.34,0.01920061514511723,2.46,0.01376622736685106,0.03482587064676617,4/4,1.0,False,False
aaaaa|cc,1.0,1.0,1.0,503,503,0.0,0,43.94,49.52,49.43,50.0,-5.59,-0.1118,-0.1213,0.0996,-0.2209,-2.51,0.012119355008337475,-2.44,0.014513877592584467,0.009950248756218905,1/4,0.25,False,False
cccbb|ab,0.5,2.0,4.0,389,389,0.0,0,24.16,19.24,19.37,20.0,4.92,0.246,0.2082,0.2257,-0.0175,2.46,0.013767258681704466,2.38,0.017377633340952325,0.014925373134328358,3/4,0.75,False,False
aaaba|ca,1.0,2.0,2.0,428,428,0.0,0,38.08,32.77,32.7,33.33,5.32,0.1595,0.1425,0.1034,0.0391,2.35,0.018988140841109395,2.36,0.018037498029100582,0.029850746268656716,4/4,1.0,False,False
aaaba|ca,0.5,2.0,4.0,428,428,0.0,0,23.83,19.43,19.37,20.0,4.4,0.2202,0.1916,0.2068,-0.0152,2.3,0.021193429499213958,2.35,0.018757165696943842,0.009950248756218905,4/4,1.0,False,False
aaaba|ca,1.0,1.0,1.0,428,428,0.0,0,55.14,49.53,49.43,50.0,5.61,0.1121,0.1028,0.1034,-0.0006,2.32,0.020240950955767698,2.33,0.019750442754608168,0.03482587064676617,3/4,0.75,False,False
baaaa|aa,0.5,3.0,6.0,407,406,0.2,0,17.24,13.63,13.67,14.29,3.61,0.2529,0.2069,0.2002,0.0067,2.12,0.033675895290412795,2.32,0.02045876875048758,0.029850746268656716,4/4,1.0,False,False
aaaaa|ac,0.5,1.0,2.0,1502,1502,0.0,0,30.03,32.27,32.15,33.33,-2.24,-0.0673,-0.0992,0.1991,-0.2983,-1.86,0.06283840835657856,-2.25,0.024345163214663724,0.024875621890547265,0/4,0.0,False,False
ddddd|ba,0.5,3.0,6.0,933,931,0.2,0,16.11,13.67,13.67,14.29,2.44,0.1709,0.1278,0.2005,-0.0727,2.17,0.029961190761317914,2.25,0.02423797016565647,0.024875621890547265,4/4,1.0,False,False
aaaab|cc,1.0,3.0,3.0,376,376,0.0,0,29.79,24.4,24.3,25.0,5.39,0.2156,0.1915,0.102,0.0895,2.44,0.01475938621628682,2.24,0.025343517569232265,0.024875621890547265,4/4,1.0,False,False
ccccb|ba,1.0,1.0,1.0,405,405,0.0,0,54.57,49.3,49.43,50.0,5.27,0.1054,0.0914,0.1142,-0.0228,2.12,0.0337609083062933,2.18,0.029412554604407743,0.029850746268656716,4/4,1.0,False,False
cbbbb|bb,1.0,1.0,1.0,350,350,0.0,0,55.14,49.26,49.43,50.0,5.89,0.1177,0.1029,0.1105,-0.0077,2.2,0.02751234393310733,2.16,0.031142832552384883,0.03980099502487562,4/4,1.0,False,False
ddddd|bc,0.5,1.0,2.0,1482,1482,0.0,0,29.82,32.24,32.15,33.33,-2.42,-0.0726,-0.1053,0.2048,-0.31,-1.99,0.046131034114990026,-2.11,0.034494411775122566,0.05472636815920398,1/4,0.25,False,False
cccbb|ab,1.0,2.0,2.0,389,389,0.0,0,37.53,32.45,32.7,33.33,5.08,0.1523,0.126,0.1129,0.0131,2.14,0.032248231151513984,2.06,0.039382669316802794,0.024875621890547265,3/4,0.75,False,False
aaaaa|cc,1.0,3.0,3.0,503,497,1.2,0,20.52,24.21,24.3,25.0,-3.69,-0.1476,-0.1791,0.0996,-0.2787,-1.92,0.054324411460042334,-2.05,0.04047627357931043,0.03482587064676617,0/4,0.0,False,False
ddddc|ba,1.0,1.0,1.0,539,539,0.0,0,54.36,49.51,49.43,50.0,4.85,0.0969,0.0872,0.1041,-0.0169,2.25,0.02427814435201395,2.04,0.040940252863423544,0.03482587064676617,4/4,1.0,False,False
