pattern_id,stop_atr,target_atr,rr,n_events,n_decided,chop_pct,undefined,hold_pct,base_pct,base_flat_pct,fair_pct,dev_pp,edge_R,z,p_binom,z_shift,p,p_perm,folds_agree,fold_frac,survives_bh,beats_expected_max
tl_approach_resistance,1.0,3.0,3.0,663,662,0.2,0,15.26,25.62,25.69,25.0,-10.37,-0.4146,-6.14,8.41686246628509e-10,-2.98,0.0028988753210656814,0.004987531172069825,0/4,0.0,False,True
tl_approach_support,0.6,1.6,2.67,789,789,0.0,0,34.98,26.3,26.01,27.27,8.68,0.3183,5.55,2.826374438812997e-08,2.74,0.006181981168852939,0.007481296758104738,4/4,1.0,False,True
tl_approach_support,0.8,1.6,2.0,789,789,0.0,0,40.43,32.19,31.71,33.33,8.24,0.2472,4.97,6.738385944948242e-07,2.49,0.01289595121084353,0.017456359102244388,3/4,0.75,False,True
tl_approach_resistance,0.8,3.0,3.75,663,662,0.2,0,13.75,21.6,21.67,21.05,-7.85,-0.3731,-4.93,8.181535496011204e-07,-2.45,0.014482362019820817,0.0199501246882793,0/4,0.0,False,True
tl_approach_support,0.6,1.2,2.0,789,789,0.0,0,39.04,31.85,31.55,33.33,7.19,0.2156,4.34,1.4082481436124885e-05,2.09,0.03641019299112708,0.03740648379052369,3/4,0.75,False,False
tl_approach_resistance,0.6,3.0,5.0,663,662,0.2,0,11.03,17.1,17.19,16.67,-6.07,-0.3643,-4.16,3.152015661571673e-05,-1.98,0.04771083722290334,0.0399002493765586,0/4,0.0,False,False
tl_approach_support,1.0,1.2,1.2,789,789,0.0,0,51.08,44.24,43.69,45.45,6.84,0.1504,3.88,0.00010459949242261414,1.96,0.049538386880323027,0.06483790523690773,3/4,0.75,False,False
tl_approach_support,0.8,1.2,1.5,789,789,0.0,0,45.37,38.63,38.17,40.0,6.75,0.1687,3.9,9.493707638211225e-05,1.92,0.05442999261703493,0.07231920199501247,3/4,0.75,False,False
tl_approach_support,1.0,1.6,1.6,789,789,0.0,0,43.73,37.45,36.9,38.46,6.27,0.1631,3.65,0.0002576843592123748,1.89,0.05875146020859803,0.06483790523690773,3/4,0.75,False,False
tl_approach_resistance,0.4,3.0,7.5,663,663,0.0,0,7.54,12.1,12.19,11.76,-4.56,-0.3877,-3.61,0.0003054054119075693,-1.68,0.09295913311535312,0.10473815461346633,0/4,0.0,False,False
tl_approach_support,0.6,2.0,3.33,789,789,0.0,0,26.87,22.43,22.05,23.08,4.44,0.1925,3.0,0.0026895315399931433,1.54,0.12326334171384128,0.13216957605985039,2/4,0.5,False,False
tl_approach_support,0.6,0.8,1.33,789,789,0.0,0,46.01,40.52,40.23,42.86,5.49,0.128,3.14,0.0016646326343058965,1.53,0.12483458017487771,0.1396508728179551,3/4,0.75,False,False
tl_approach_support,1.5,1.2,0.8,789,789,0.0,0,59.82,54.54,53.62,55.56,5.29,0.0952,3.0,0.0027191821030542536,1.51,0.12998484381680514,0.12468827930174564,2/4,0.5,False,False
tl_approach_resistance,1.0,1.2,1.2,663,663,0.0,0,40.27,45.77,45.86,45.45,-5.5,-0.121,-2.85,0.004366512847851143,-1.39,0.16544519738147068,0.18703241895261846,1/4,0.25,False,False
tl_approach_support,1.5,1.6,1.07,789,789,0.0,0,51.84,47.2,46.33,48.39,4.64,0.0958,2.63,0.008629262688649093,1.37,0.16989580199032514,0.16209476309226933,2/4,0.5,False,False
tl_approach_support,0.4,1.6,4.0,789,789,0.0,0,22.43,18.98,18.77,20.0,3.46,0.1728,2.48,0.013124258233074431,1.25,0.21082015835282605,0.20698254364089774,3/4,0.75,False,False
tl_approach_resistance,1.0,2.0,2.0,663,663,0.0,0,30.17,34.56,34.55,33.33,-4.4,-0.1319,-2.39,0.016850179351816773,-1.21,0.22736709122484838,0.22194513715710723,1/4,0.25,False,False
tl_approach_support,0.6,3.0,5.0,789,786,0.4,0,19.59,16.52,16.13,16.67,3.07,0.1844,2.33,0.01976793970883812,1.21,0.22461000428986638,0.20448877805486285,2/4,0.5,False,False
tl_approach_support,1.0,0.8,0.8,789,789,0.0,0,58.05,53.95,53.5,55.56,4.09,0.0737,2.31,0.020766087565299202,1.16,0.24699260203953693,0.2743142144638404,2/4,0.5,False,False
tl_approach_support,0.8,0.8,1.0,789,789,0.0,0,52.34,48.08,47.67,50.0,4.27,0.0853,2.4,0.01629813202330489,1.16,0.2462743133534943,0.24189526184538654,2/4,0.5,False,False
tl_approach_resistance,0.8,1.2,1.5,663,663,0.0,0,35.6,39.91,40.04,40.0,-4.32,-0.1079,-2.27,0.022922201425572566,-1.1,0.2699745622765998,0.26932668329177056,0/4,0.0,False,False
tl_approach_resistance,1.5,3.0,2.0,663,662,0.2,0,29.61,33.67,33.67,33.33,-4.07,-0.122,-2.23,0.0258559161490443,-1.08,0.2807217230693817,0.29925187032418954,1/4,0.25,False,False
tl_approach_support,0.8,3.0,3.75,789,786,0.4,0,23.54,20.77,20.23,21.05,2.77,0.1316,1.93,0.054221150604728575,1.05,0.29155394979768723,0.30673316708229426,2/4,0.5,False,False
tl_approach_support,0.8,2.0,2.5,789,789,0.0,0,30.54,27.56,26.98,28.57,2.98,0.1044,1.88,0.05980200584900933,1.01,0.31283912181083384,0.30423940149625933,2/4,0.5,False,False
tl_approach_support,1.0,3.0,3.0,789,786,0.4,0,27.74,24.81,24.29,25.0,2.92,0.1168,1.91,0.0563610099837088,1.01,0.3108195221771566,0.3092269326683292,2/4,0.5,False,False
