pattern_id,stop_atr,target_atr,rr,n_events,n_decided,chop_pct,undefined,hold_pct,base_pct,base_flat_pct,fair_pct,dev_pp,edge_R,z,p_binom,z_shift,p,p_perm,folds_agree,fold_frac,survives_bh,beats_expected_max
tl_approach_support,0.4,0.8,2.0,691,691,0.0,0,21.85,31.18,31.25,33.33,-9.33,-0.28,-5.3,1.1348797760521686e-07,-2.81,0.005006688166578709,0.004987531172069825,1/4,0.25,False,True
tl_approach_support,0.6,0.8,1.33,691,691,0.0,0,32.13,41.44,41.68,42.86,-9.31,-0.2173,-4.98,6.460916057177593e-07,-2.49,0.012843825557457136,0.00997506234413965,0/4,0.0,False,True
tl_approach_support,0.4,1.2,3.0,691,691,0.0,0,17.8,24.67,24.74,25.0,-6.87,-0.2747,-4.2,2.71476098991363e-05,-2.18,0.02918713487517225,0.034912718204488775,1/4,0.25,False,False
tl_approach_support,0.8,0.8,1.0,691,691,0.0,0,41.24,49.37,49.63,50.0,-8.12,-0.1624,-4.28,1.8967523329858073e-05,-2.08,0.03715566697050147,0.032418952618453865,0/4,0.0,False,False
tl_approach_support,0.6,1.6,2.67,691,691,0.0,0,21.42,28.23,28.44,27.27,-6.82,-0.2499,-3.99,6.607646954030008e-05,-2.02,0.042878357291343865,0.0399002493765586,0/4,0.0,False,False
tl_approach_support,0.4,1.6,4.0,691,691,0.0,0,14.91,20.42,20.44,20.0,-5.51,-0.2755,-3.6,0.0003165238958422084,-1.9,0.05721426419703297,0.06982543640897755,1/4,0.25,False,False
tl_approach_support,0.6,1.2,2.0,691,691,0.0,0,26.77,33.64,33.91,33.33,-6.86,-0.2059,-3.83,0.00012936655413124405,-1.88,0.059679696883286705,0.06982543640897755,0/4,0.0,False,False
tl_approach_support,1.0,0.8,0.8,691,691,0.0,0,48.19,55.28,55.64,55.56,-7.09,-0.1277,-3.76,0.0001727556395191867,-1.83,0.06760765500940251,0.059850374064837904,1/4,0.25,False,False
tl_approach_support,0.6,2.0,3.33,691,691,0.0,0,18.67,24.42,24.72,23.08,-5.75,-0.2493,-3.53,0.000417208405340399,-1.74,0.08206524534800301,0.08229426433915212,0/4,0.0,False,False
tl_approach_support,0.8,1.6,2.0,691,691,0.0,0,28.8,34.55,34.88,33.33,-5.75,-0.1724,-3.19,0.0014444257380211028,-1.57,0.11544720244471464,0.1172069825436409,0/4,0.0,False,False
tl_approach_support,0.8,2.0,2.5,691,691,0.0,0,24.46,29.93,30.36,28.57,-5.48,-0.1916,-3.15,0.0016227751872738263,-1.55,0.12152959135838046,0.12967581047381546,0/4,0.0,False,False
tl_approach_support,0.8,1.2,1.5,691,691,0.0,0,35.31,40.78,41.13,40.0,-5.47,-0.1368,-2.93,0.003337298374020566,-1.41,0.1588161934728961,0.16458852867830423,1/4,0.25,False,False
tl_approach_support,0.6,3.0,5.0,691,691,0.0,0,14.47,18.2,18.57,16.67,-3.73,-0.224,-2.55,0.010684846625855705,-1.3,0.193049647037772,0.20947630922693267,0/4,0.0,False,False
tl_approach_resistance,1.0,2.0,2.0,588,586,0.0,2,26.28,31.58,31.23,33.33,-5.3,-0.159,-2.77,0.005561379294717206,-1.29,0.19835208833242193,0.2194513715710723,1/4,0.25,False,False
tl_approach_support,0.4,2.0,5.0,691,691,0.0,0,14.04,17.59,17.71,16.67,-3.55,-0.2129,-2.46,0.014076309247610457,-1.29,0.19856921167527936,0.18952618453865336,1/4,0.25,False,False
tl_approach_resistance,0.6,0.8,1.33,588,588,0.0,0,45.58,41.23,40.73,42.86,4.35,0.1015,2.15,0.03189353425365091,1.16,0.2459606652545343,0.24688279301745636,3/4,0.75,False,False
