pattern_id,stop_atr,target_atr,rr,n_events,n_decided,chop_pct,undefined,hold_pct,base_pct,base_flat_pct,fair_pct,dev_pp,edge_R,z,p_binom,z_shift,p,p_perm,folds_agree,fold_frac,survives_bh,beats_expected_max
tl_approach_resistance,1.5,1.2,0.8,605,605,0.0,0,42.64,54.03,53.08,55.56,-11.38,-0.2049,-5.64,1.664917836663066e-08,-2.62,0.008916279424688195,0.00997506234413965,0/4,0.0,False,True
tl_approach_resistance,1.5,0.8,0.53,605,605,0.0,0,54.05,63.49,62.6,65.22,-9.44,-0.1447,-4.84,1.3090403644572356e-06,-2.37,0.017577761377885245,0.017456359102244388,1/4,0.25,False,True
tl_approach_resistance,1.5,1.6,1.07,605,605,0.0,0,38.35,46.98,45.77,48.39,-8.63,-0.1784,-4.28,1.862775322871543e-05,-1.94,0.052460210258485615,0.06234413965087282,1/4,0.25,False,False
tl_approach_support,0.8,1.6,2.0,697,697,0.0,0,27.83,34.46,34.8,33.33,-6.63,-0.1989,-3.69,0.0002212184182580947,-1.9,0.05707274341217996,0.06982543640897755,0/4,0.0,False,False
tl_approach_support,0.8,1.2,1.5,697,697,0.0,0,34.15,40.78,41.06,40.0,-6.64,-0.1659,-3.57,0.00035095770042507704,-1.87,0.06106795553791949,0.05236907730673317,0/4,0.0,False,False
tl_approach_support,0.8,2.0,2.5,697,697,0.0,0,24.1,30.15,30.62,28.57,-6.05,-0.2117,-3.49,0.0004789388233509491,-1.72,0.08573748967003435,0.08478802992518704,0/4,0.0,False,False
tl_approach_resistance,1.5,2.0,1.33,605,605,0.0,0,33.55,40.97,39.64,42.86,-7.42,-0.173,-3.74,0.00018671110168501031,-1.69,0.0911545631018802,0.09975062344139651,0/4,0.0,False,False
tl_approach_support,0.6,1.2,2.0,697,697,0.0,0,28.55,34.17,34.36,33.33,-5.62,-0.1687,-3.14,0.0017116396331775196,-1.67,0.0958142105250073,0.10224438902743142,0/4,0.0,False,False
tl_approach_support,0.6,1.6,2.67,697,697,0.0,0,23.24,28.57,28.71,27.27,-5.33,-0.1954,-3.12,0.0017866241557440736,-1.62,0.10521729431457066,0.09476309226932668,0/4,0.0,False,False
tl_approach_resistance,0.4,1.2,3.0,605,605,0.0,0,19.01,23.98,23.49,25.0,-4.97,-0.1989,-2.87,0.004094244409395521,-1.58,0.11461719244803115,0.12219451371571072,1/4,0.25,False,False
tl_approach_resistance,0.4,0.8,2.0,605,605,0.0,0,26.12,31.16,30.5,33.33,-5.05,-0.1514,-2.69,0.007246341465612406,-1.55,0.12041679960414917,0.14214463840399003,0/4,0.0,False,False
tl_approach_support,0.8,0.8,1.0,697,697,0.0,0,44.05,49.37,49.72,50.0,-5.33,-0.1065,-2.82,0.004813333950169118,-1.49,0.13558806087193717,0.13216957605985039,0/4,0.0,False,False
tl_approach_support,0.6,0.8,1.33,697,697,0.0,0,37.16,42.4,42.6,42.86,-5.24,-0.1222,-2.8,0.0050745496714741005,-1.47,0.14134799665984685,0.14713216957605985,0/4,0.0,False,False
tl_approach_support,1.0,1.6,1.6,697,697,0.0,0,34.58,39.82,40.25,38.46,-5.24,-0.1364,-2.84,0.004535894205059932,-1.43,0.1520741136138164,0.15211970074812967,0/4,0.0,False,False
tl_approach_support,1.0,1.2,1.2,697,697,0.0,0,41.18,46.47,46.81,45.45,-5.29,-0.1164,-2.81,0.004978665516185162,-1.41,0.15813078107520862,0.1546134663341646,0/4,0.0,False,False
tl_approach_resistance,0.4,1.6,4.0,605,605,0.0,0,15.04,19.18,18.59,20.0,-4.14,-0.2068,-2.59,0.009595520930643002,-1.38,0.1679993299289824,0.17955112219451372,1/4,0.25,False,False
tl_approach_support,0.6,2.0,3.33,697,697,0.0,0,20.52,24.79,25.1,23.08,-4.27,-0.1852,-2.62,0.00874184557963716,-1.33,0.18275914719659314,0.20947630922693267,0/4,0.0,False,False
tl_approach_resistance,1.0,1.2,1.2,605,605,0.0,0,38.18,43.74,43.03,45.45,-5.56,-0.1224,-2.77,0.005677176987510312,-1.33,0.1836170481303506,0.18703241895261846,1/4,0.25,False,False
tl_approach_resistance,0.6,0.8,1.33,605,605,0.0,0,36.36,41.11,40.4,42.86,-4.74,-0.1107,-2.38,0.01749689799564232,-1.27,0.20446314395121482,0.23192019950124687,1/4,0.25,False,False
tl_approach_support,1.0,2.0,2.0,697,697,0.0,0,30.56,35.1,35.72,33.33,-4.54,-0.1362,-2.52,0.011679452712439871,-1.24,0.21356041417491245,0.2194513715710723,0/4,0.0,False,False
tl_approach_support,1.5,1.2,0.8,697,697,0.0,0,52.08,56.62,57.04,55.56,-4.54,-0.0817,-2.43,0.01515791600470264,-1.21,0.22773421438611846,0.24688279301745636,0/4,0.0,False,False
tl_approach_resistance,1.5,3.0,2.0,605,601,0.7,0,26.12,30.95,29.34,33.33,-4.83,-0.1449,-2.59,0.009578342799632347,-1.2,0.22925710052046605,0.22194513715710723,1/4,0.25,False,False
tl_approach_resistance,1.0,0.8,0.8,605,605,0.0,0,48.93,53.51,52.66,55.56,-4.59,-0.0825,-2.27,0.023396516011314327,-1.11,0.265513470153237,0.2593516209476309,1/4,0.25,False,False
tl_approach_resistance,0.6,1.2,2.0,605,605,0.0,0,27.93,32.2,31.66,33.33,-4.27,-0.1281,-2.25,0.024267982188067493,-1.11,0.2660096924369393,0.26184538653366585,1/4,0.25,False,False
tl_approach_resistance,0.6,2.0,3.33,605,605,0.0,0,18.35,22.04,21.48,23.08,-3.69,-0.1601,-2.2,0.027832276251843296,-1.08,0.280744367390682,0.286783042394015,1/4,0.25,False,False
tl_approach_resistance,0.4,2.0,5.0,605,605,0.0,0,12.89,15.98,15.46,16.67,-3.08,-0.1851,-2.08,0.0378428172677174,-1.08,0.2815638095405171,0.28428927680798005,1/4,0.25,False,False
tl_approach_resistance,0.8,0.8,1.0,605,605,0.0,0,43.64,47.89,47.16,50.0,-4.25,-0.085,-2.1,0.03604760902781452,-1.07,0.2846679743562345,0.286783042394015,2/4,0.5,False,False
tl_approach_resistance,0.8,1.2,1.5,605,605,0.0,0,34.05,38.19,37.54,40.0,-4.14,-0.1036,-2.1,0.03551622535221013,-1.02,0.3078718757995602,0.30673316708229426,1/4,0.25,False,False
tl_approach_resistance,0.6,3.0,5.0,605,605,0.0,0,13.06,15.73,15.14,16.67,-2.67,-0.1601,-1.81,0.07021598886691595,-0.92,0.35517748770900437,0.39650872817955113,1/4,0.25,False,False
tl_approach_support,0.4,1.6,4.0,697,697,0.0,0,18.36,20.94,20.98,20.0,-2.57,-0.1285,-1.67,0.09464904990854868,-0.88,0.3802555066292109,0.38403990024937656,1/4,0.25,False,False
tl_approach_resistance,0.4,3.0,7.5,605,605,0.0,0,9.09,11.2,10.72,11.76,-2.11,-0.1792,-1.65,0.09906206125807035,-0.88,0.38107358101409977,0.3940149625935162,1/4,0.25,False,False
tl_approach_support,1.5,1.6,1.07,697,697,0.0,0,46.92,50.13,50.53,48.39,-3.22,-0.0665,-1.71,0.087735076191905,-0.87,0.3818306565360039,0.4114713216957606,0/4,0.0,False,False
tl_approach_support,1.0,0.8,0.8,697,697,0.0,0,52.37,55.38,55.77,55.56,-3.02,-0.0543,-1.61,0.10846058988265553,-0.83,0.4037535062151425,0.44389027431421446,1/4,0.25,False,False
tl_approach_resistance,0.6,1.6,2.67,605,605,0.0,0,23.14,26.16,25.54,27.27,-3.02,-0.1108,-1.7,0.08998372707170149,-0.81,0.4156547442207579,0.4314214463840399,2/4,0.5,False,False
