stop_atr,target_atr,rr,n,hold_line,hold_placebo,gross_R,placebo_R,friction_R,net_R,net_vs_placebo,t,n_paired,paired_R,paired_t,paired_p,ambiguous,settled_by_subbars,gave_up_to_stop,survives_bh
0.4,0.8,0.98,1452,48.3,47.0,-0.046,-0.0719,0.1329,-0.179,0.0259,-6.91,1452,0.0259,0.75,0.4516331930103331,0,0,0,False
0.4,1.2,1.63,1452,41.0,45.2,0.0814,0.1903,0.1329,-0.0515,-0.1089,-1.51,1452,-0.1089,-2.42,0.015624224216783934,0,0,0,True
0.4,1.6,2.29,1452,34.6,41.0,0.1386,0.3518,0.1329,0.0056,-0.2132,0.14,1452,-0.2132,-3.94,8.279385658640458e-05,0,0,0,True
0.4,2.0,2.95,1452,29.5,36.2,0.1649,0.4289,0.1329,0.032,-0.264,0.68,1452,-0.264,-4.37,1.2465494327718357e-05,0,0,0,True
0.4,3.0,4.6,1452,20.5,27.2,0.1452,0.523,0.1329,0.0122,-0.3779,0.21,1452,-0.3779,-4.96,6.883378405478143e-07,0,0,0,True
0.6,0.8,0.73,1452,52.2,48.2,-0.0947,-0.164,0.1,-0.1947,0.0693,-8.56,1452,0.0693,2.3,0.021674665737818608,0,0,0,True
0.6,1.2,1.23,1452,44.8,46.6,-0.0003,0.0396,0.1,-0.1003,-0.0399,-3.45,1452,-0.0399,-1.04,0.29716314617793727,0,0,0,False
0.6,1.6,1.73,1452,37.9,42.3,0.0322,0.1524,0.1,-0.0678,-0.1201,-1.95,1452,-0.1201,-2.65,0.008066121527054736,0,0,0,True
0.6,2.0,2.22,1452,32.4,37.3,0.0447,0.2,0.1,-0.0553,-0.1553,-1.4,1452,-0.1553,-3.13,0.0017632269606250887,0,0,0,True
0.6,3.0,3.46,1452,22.7,28.5,0.0104,0.2715,0.1,-0.0896,-0.261,-1.83,1452,-0.261,-4.26,2.052804559638056e-05,0,0,0,True
0.8,0.8,0.59,1452,55.4,49.4,-0.1194,-0.2146,0.0801,-0.1995,0.0952,-9.63,1452,0.0952,3.49,0.0004769110354714881,0,0,0,True
0.8,1.2,0.99,1452,48.2,47.7,-0.0428,-0.0524,0.0801,-0.1229,0.0096,-4.72,1452,0.0096,0.28,0.7774545452437098,0,0,0,False
0.8,1.6,1.38,1452,40.8,43.5,-0.0269,0.0354,0.0801,-0.1071,-0.0624,-3.48,1452,-0.0624,-1.58,0.11441069288801389,0,0,0,False
0.8,2.0,1.78,1452,35.3,38.6,-0.0179,0.0721,0.0801,-0.0981,-0.09,-2.81,1452,-0.09,-2.1,0.03552908069273162,0,0,0,False
0.8,3.0,2.77,1452,25.1,29.8,-0.0517,0.125,0.0801,-0.1318,-0.1767,-3.07,1452,-0.1767,-3.4,0.0006643765816050214,0,0,0,True
1.0,0.8,0.49,1452,57.3,50.6,-0.1457,-0.2463,0.0669,-0.2126,0.1006,-10.98,1452,0.1006,3.98,6.844557944339675e-05,0,0,0,True
1.0,1.2,0.82,1452,49.9,48.7,-0.0914,-0.1127,0.0669,-0.1583,0.0213,-6.62,1452,0.0213,0.69,0.48738291250802074,0,0,0,False
1.0,1.6,1.15,1452,42.7,44.3,-0.0804,-0.0463,0.0669,-0.1473,-0.0341,-5.27,1452,-0.0341,-0.96,0.3349522798838412,0,0,0,False
1.0,2.0,1.48,1452,37.1,39.5,-0.0776,-0.0177,0.0669,-0.1445,-0.0599,-4.58,1452,-0.0599,-1.57,0.115502925434358,0,0,0,False
1.0,3.0,2.31,1452,26.4,30.9,-0.1238,0.0222,0.0669,-0.1907,-0.146,-4.97,1452,-0.146,-3.23,0.001217434099086488,0,0,0,True
1.5,0.8,0.35,1452,60.9,55.9,-0.1798,-0.2476,0.0473,-0.2271,0.0677,-13.16,1452,0.0677,3.17,0.0015462740831687976,0,0,0,True
1.5,1.2,0.58,1452,54.0,53.4,-0.1461,-0.1559,0.0473,-0.1934,0.0098,-9.35,1452,0.0098,0.39,0.6962018047238999,0,0,0,False
1.5,1.6,0.82,1452,46.8,48.7,-0.1497,-0.1159,0.0473,-0.1969,-0.0338,-8.28,1452,-0.0338,-1.19,0.23224909367401864,0,0,0,False
1.5,2.0,1.05,1452,40.8,43.8,-0.1642,-0.1021,0.0473,-0.2115,-0.0621,-8.0,1452,-0.0621,-2.07,0.038701271853621176,0,0,0,False
1.5,3.0,1.64,1452,29.5,34.8,-0.2231,-0.0833,0.0473,-0.2704,-0.1398,-8.57,1452,-0.1398,-4.06,4.845090910352999e-05,0,0,0,True
