stop_atr,target_atr,rr,n,hold_line,hold_placebo,gross_R,placebo_R,friction_R,net_R,net_vs_placebo,t,n_paired,paired_R,paired_t,paired_p,ambiguous,settled_by_subbars,gave_up_to_stop,survives_bh
0.4,0.8,0.98,1452,47.1,47.9,-0.0692,-0.0528,0.1329,-0.2021,-0.0163,-7.81,1452,-0.0163,-0.45,0.6520876649167785,216,210,6,False
0.4,1.2,1.63,1452,36.0,47.8,-0.051,0.2592,0.1329,-0.184,-0.3103,-5.54,1452,-0.3103,-6.55,5.7098245075980995e-11,103,97,6,True
0.4,1.6,2.29,1452,30.4,46.6,0.0025,0.5355,0.1329,-0.1304,-0.533,-3.28,1452,-0.533,-9.17,4.940891737549107e-20,62,57,5,True
0.4,2.0,2.95,1452,24.7,39.8,-0.0256,0.5731,0.1329,-0.1586,-0.5988,-3.55,1452,-0.5988,-9.26,2.1420561896160736e-20,31,28,3,True
0.4,3.0,4.6,1452,16.0,27.1,-0.1016,0.5192,0.1329,-0.2345,-0.6208,-4.35,1452,-0.6208,-8.2,2.3856044199394977e-16,15,15,0,True
0.6,0.8,0.73,1452,54.1,47.9,-0.0613,-0.1687,0.1,-0.1613,0.1075,-7.11,1452,0.1075,3.37,0.0007626340478001342,154,144,10,True
0.6,1.2,1.23,1452,41.9,47.8,-0.0664,0.0657,0.1,-0.1664,-0.1321,-5.76,1452,-0.1321,-3.26,0.0011091743337417333,86,78,8,True
0.6,1.6,1.73,1452,35.9,46.7,-0.0222,0.2725,0.1,-0.1222,-0.2947,-3.56,1452,-0.2947,-6.0,1.9626092920028843e-09,55,50,5,True
0.6,2.0,2.22,1452,28.9,40.3,-0.0706,0.2976,0.1,-0.1706,-0.3682,-4.46,1452,-0.3682,-6.87,6.307761816591801e-12,31,28,3,True
0.6,3.0,3.46,1452,18.9,28.0,-0.1585,0.25,0.1,-0.2585,-0.4085,-5.65,1452,-0.4085,-6.58,4.844791127127044e-11,14,14,0,True
0.8,0.8,0.59,1452,59.4,47.9,-0.057,-0.2386,0.0801,-0.1372,0.1816,-6.7,1452,0.1816,6.17,6.769388610413508e-10,123,112,11,True
0.8,1.2,0.99,1452,46.7,47.8,-0.0729,-0.051,0.0801,-0.153,-0.0219,-5.89,1452,-0.0219,-0.6,0.5488441351583695,69,63,6,False
0.8,1.6,1.38,1452,40.4,46.7,-0.0368,0.1125,0.0801,-0.1169,-0.1493,-3.81,1452,-0.1493,-3.43,0.0006030835374386257,37,34,3,True
0.8,2.0,1.78,1452,32.4,40.8,-0.0983,0.1333,0.0801,-0.1785,-0.2316,-5.23,1452,-0.2316,-4.93,8.042424192800163e-07,20,17,3,True
0.8,3.0,2.77,1452,21.7,28.9,-0.1816,0.0886,0.0801,-0.2617,-0.2702,-6.41,1452,-0.2702,-4.99,6.123664441875428e-07,13,13,0,True
1.0,0.8,0.49,1452,63.1,47.9,-0.0594,-0.2853,0.0669,-0.1263,0.2259,-6.69,1452,0.2259,8.26,1.440098678239795e-16,84,74,10,True
1.0,1.2,0.82,1452,51.0,47.8,-0.0701,-0.129,0.0669,-0.1369,0.059,-5.73,1452,0.059,1.76,0.07816432658893044,50,48,2,False
1.0,1.6,1.15,1452,44.3,46.7,-0.0463,0.0056,0.0669,-0.1132,-0.0519,-4.03,1452,-0.0519,-1.31,0.19045048381113228,31,29,2,False
1.0,2.0,1.48,1452,36.1,41.1,-0.1033,0.0217,0.0669,-0.1701,-0.1249,-5.43,1452,-0.1249,-2.93,0.0033643348315002064,15,12,3,True
1.0,3.0,2.31,1452,24.7,29.6,-0.1831,-0.0188,0.0669,-0.25,-0.1643,-6.67,1452,-0.1643,-3.39,0.0006955566896993322,13,13,0,True
1.5,0.8,0.35,1452,69.6,52.8,-0.0629,-0.2884,0.0473,-0.1102,0.2255,-6.77,1452,0.2255,9.63,5.988069060430431e-22,50,47,3,True
1.5,1.2,0.58,1452,58.2,51.9,-0.0797,-0.1799,0.0473,-0.127,0.1002,-6.2,1452,0.1002,3.6,0.0003166476322518958,35,35,0,True
1.5,1.6,0.82,1452,51.2,50.6,-0.0696,-0.0821,0.0473,-0.1169,0.0125,-4.91,1452,0.0125,0.39,0.6984758686974977,32,30,2,False
1.5,2.0,1.05,1452,42.6,45.0,-0.1261,-0.0766,0.0473,-0.1733,-0.0494,-6.52,1452,-0.0494,-1.45,0.1484168942401134,18,15,3,False
1.5,3.0,1.64,1452,30.2,34.4,-0.2049,-0.0942,0.0473,-0.2522,-0.1107,-7.94,1452,-0.1107,-2.91,0.003588521235720716,15,15,0,True
