stop_atr,target_atr,rr,n,hold_line,hold_placebo,gross_R,placebo_R,friction_R,net_R,net_vs_placebo,t
0.4,0.8,2.0,751,40.1,39.1,0.2024,0.1727,0.2027,-0.0003,0.0297,-0.01
0.4,1.2,3.0,856,34.3,33.5,0.3738,0.3417,0.2024,0.1714,0.0321,2.64
0.4,1.6,4.0,950,27.9,29.4,0.3947,0.472,0.2021,0.1926,-0.0772,2.65
0.4,2.0,5.0,1024,23.5,25.8,0.4121,0.5486,0.2024,0.2097,-0.1365,2.64
0.4,3.0,7.5,1148,18.4,19.7,0.5623,0.6725,0.2023,0.3599,-0.1102,3.7
0.6,0.8,1.33,694,44.2,46.7,0.0322,0.0891,0.1357,-0.1035,-0.0569,-2.35
0.6,1.2,2.0,801,38.3,40.0,0.1498,0.2,0.1355,0.0143,-0.0502,0.28
0.6,1.6,2.67,902,32.9,35.7,0.2073,0.3083,0.1351,0.0723,-0.101,1.26
0.6,2.0,3.33,980,28.5,31.5,0.2337,0.3667,0.135,0.0987,-0.133,1.58
0.6,3.0,5.0,1106,21.8,24.9,0.3074,0.4956,0.135,0.1724,-0.1882,2.31
0.8,0.8,1.0,647,54.6,51.1,0.0912,0.0218,0.1017,-0.0105,0.0694,-0.27
0.8,1.2,1.5,752,47.3,42.8,0.1835,0.0705,0.1018,0.0817,0.113,1.8
0.8,1.6,2.0,858,40.9,38.1,0.2273,0.1437,0.1014,0.1259,0.0835,2.5
0.8,2.0,2.5,936,36.3,33.8,0.2714,0.1824,0.1013,0.17,0.089,3.09
0.8,3.0,3.75,1066,29.4,27.2,0.3947,0.2908,0.1014,0.2933,0.1039,4.43
1.0,0.8,0.8,620,59.5,53.5,0.0713,-0.0373,0.0813,-0.01,0.1086,-0.28
1.0,1.2,1.2,728,51.2,45.6,0.1272,0.004,0.0814,0.0458,0.1232,1.12
1.0,1.6,1.6,831,45.0,40.4,0.1702,0.0509,0.081,0.0891,0.1192,1.99
1.0,2.0,2.0,910,38.9,36.1,0.167,0.0844,0.081,0.086,0.0827,1.77
1.0,3.0,3.0,1044,33.0,30.0,0.3218,0.2008,0.0811,0.2407,0.121,4.13
1.5,0.8,0.53,568,66.0,61.5,0.0123,-0.0575,0.0542,-0.0419,0.0698,-1.37
1.5,1.2,0.8,667,56.2,56.4,0.012,0.0157,0.0541,-0.0421,-0.0037,-1.22
1.5,1.6,1.07,768,49.1,50.4,0.0145,0.0417,0.0539,-0.0394,-0.0272,-1.06
1.5,2.0,1.33,851,44.9,45.7,0.0474,0.0661,0.054,-0.0066,-0.0187,-0.16
1.5,3.0,2.0,981,36.3,34.8,0.0887,0.0442,0.0541,0.0346,0.0445,0.75
