stop_atr,target_atr,rr,n,hold_line,hold_placebo,gross_R,placebo_R,friction_R,net_R,net_vs_placebo,t,n_paired,paired_R,paired_t,paired_p,ambiguous,settled_by_subbars,gave_up_to_stop,survives_bh
0.4,0.8,2.0,751,40.1,39.1,0.2024,0.1727,0.2027,-0.0003,0.0297,-0.01,442,-0.4344,-5.35,8.752351348058718e-08,0,0,0,True
0.4,1.2,3.0,856,34.3,33.5,0.3738,0.3417,0.2024,0.1714,0.0321,2.64,517,-0.4101,-4.25,2.184087177786692e-05,0,0,0,True
0.4,1.6,4.0,950,27.9,29.4,0.3947,0.472,0.2021,0.1926,-0.0772,2.65,615,-0.4146,-3.85,0.00011590581615331704,0,0,0,True
0.4,2.0,5.0,1024,23.5,25.8,0.4121,0.5486,0.2024,0.2097,-0.1365,2.64,725,-0.2897,-2.53,0.011448244181235391,0,0,0,True
0.4,3.0,7.5,1148,18.4,19.7,0.5623,0.6725,0.2023,0.3599,-0.1102,3.7,900,-0.1889,-1.49,0.13577089652507904,0,0,0,False
0.6,0.8,1.33,694,44.2,46.7,0.0322,0.0891,0.1357,-0.1035,-0.0569,-2.35,403,-0.5095,-7.87,3.60399113687502e-15,0,0,0,True
0.6,1.2,2.0,801,38.3,40.0,0.1498,0.2,0.1355,0.0143,-0.0502,0.28,477,-0.4969,-6.58,4.7571453834803575e-11,0,0,0,True
0.6,1.6,2.67,902,32.9,35.7,0.2073,0.3083,0.1351,0.0723,-0.101,1.26,577,-0.4766,-5.57,2.6063730810831948e-08,0,0,0,True
0.6,2.0,3.33,980,28.5,31.5,0.2337,0.3667,0.135,0.0987,-0.133,1.58,692,-0.3194,-3.51,0.0004541397530200813,0,0,0,True
0.6,3.0,5.0,1106,21.8,24.9,0.3074,0.4956,0.135,0.1724,-0.1882,2.31,865,-0.2844,-2.78,0.005414350263483278,0,0,0,True
0.8,0.8,1.0,647,54.6,51.1,0.0912,0.0218,0.1017,-0.0105,0.0694,-0.27,378,-0.4233,-7.72,1.1526324852360885e-14,0,0,0,True
0.8,1.2,1.5,752,47.3,42.8,0.1835,0.0705,0.1018,0.0817,0.113,1.8,449,-0.412,-6.34,2.2540718041757721e-10,0,0,0,True
0.8,1.6,2.0,858,40.9,38.1,0.2273,0.1437,0.1014,0.1259,0.0835,2.5,550,-0.2564,-3.55,0.00038552294396970857,0,0,0,True
0.8,2.0,2.5,936,36.3,33.8,0.2714,0.1824,0.1013,0.17,0.089,3.09,663,-0.0739,-0.94,0.34527081481768906,0,0,0,False
0.8,3.0,3.75,1066,29.4,27.2,0.3947,0.2908,0.1014,0.2933,0.1039,4.43,837,0.017,0.2,0.8415703137261147,0,0,0,False
1.0,0.8,0.8,620,59.5,53.5,0.0713,-0.0373,0.0813,-0.01,0.1086,-0.28,363,-0.3719,-7.51,5.98996290219037e-14,0,0,0,True
1.0,1.2,1.2,728,51.2,45.6,0.1272,0.004,0.0814,0.0458,0.1232,1.12,437,-0.3675,-6.28,3.381969311593169e-10,0,0,0,True
1.0,1.6,1.6,831,45.0,40.4,0.1702,0.0509,0.081,0.0891,0.1192,1.99,536,-0.1698,-2.65,0.008158462964094833,0,0,0,True
1.0,2.0,2.0,910,38.9,36.1,0.167,0.0844,0.081,0.086,0.0827,1.77,646,-0.0697,-1.05,0.29476547118093827,0,0,0,False
1.0,3.0,3.0,1044,33.0,30.0,0.3218,0.2008,0.0811,0.2407,0.121,4.13,821,0.0049,0.07,0.9454056696084165,0,0,0,False
1.5,0.8,0.53,568,66.0,61.5,0.0123,-0.0575,0.0542,-0.0419,0.0698,-1.37,337,-0.2866,-6.74,1.6317553027351652e-11,0,0,0,True
1.5,1.2,0.8,667,56.2,56.4,0.012,0.0157,0.0541,-0.0421,-0.0037,-1.22,406,-0.3325,-6.86,6.762901272010985e-12,0,0,0,True
1.5,1.6,1.07,768,49.1,50.4,0.0145,0.0417,0.0539,-0.0394,-0.0272,-1.06,502,-0.1853,-3.52,0.0004290714359374738,0,0,0,True
1.5,2.0,1.33,851,44.9,45.7,0.0474,0.0661,0.054,-0.0066,-0.0187,-0.16,605,-0.0848,-1.63,0.1024704348597495,0,0,0,False
1.5,3.0,2.0,981,36.3,34.8,0.0887,0.0442,0.0541,0.0346,0.0445,0.75,771,-0.0311,-0.58,0.563871569175275,0,0,0,False
