stop_atr,target_atr,rr,n,hold_line,hold_placebo,gross_R,placebo_R,friction_R,net_R,net_vs_placebo,t,n_paired,paired_R,paired_t,paired_p,ambiguous,settled_by_subbars,gave_up_to_stop,survives_bh
0.4,0.8,2.0,768,28.4,32.9,-0.1484,-0.0119,0.2013,-0.3498,-0.1365,-7.17,408,-0.4044,-6.59,4.542465908518507e-11,300,294,6,True
0.4,1.2,3.0,929,22.8,25.2,-0.0872,0.0079,0.2021,-0.2893,-0.0951,-5.25,493,-0.4381,-5.88,4.030859369708088e-09,171,162,9,True
0.4,1.6,4.0,1010,15.4,20.0,-0.2277,0.0,0.2017,-0.4295,-0.2277,-7.55,545,-0.5505,-6.34,2.2959535187117905e-10,94,86,8,True
0.4,2.0,5.0,1094,12.9,16.0,-0.2267,-0.0389,0.202,-0.4287,-0.1878,-7.05,685,-0.3328,-3.56,0.0003735277955985956,50,44,6,True
0.4,3.0,7.5,1219,10.7,11.3,-0.0865,-0.0359,0.2016,-0.2882,-0.0506,-3.82,937,-0.0272,-0.26,0.7948610499510478,16,16,0,False
0.6,0.8,1.33,666,39.3,41.9,-0.0821,-0.0216,0.1344,-0.2164,-0.0605,-4.9,351,-0.4321,-7.04,1.8987572463985008e-12,222,210,12,True
0.6,1.2,2.0,844,31.0,34.0,-0.0687,0.0211,0.135,-0.2037,-0.0898,-4.26,451,-0.5255,-6.94,3.825247885316627e-12,126,117,9,True
0.6,1.6,2.67,931,26.0,28.4,-0.0469,0.0422,0.1347,-0.1816,-0.0891,-3.45,502,-0.504,-6.1,1.0327041784695643e-09,83,75,8,True
0.6,2.0,3.33,1033,20.4,22.8,-0.1149,-0.0104,0.1349,-0.2497,-0.1045,-4.59,649,-0.3138,-3.72,0.000201199739591319,55,49,6,True
0.6,3.0,5.0,1178,17.3,17.3,0.039,0.0392,0.1344,-0.0954,-0.0002,-1.44,901,-0.0599,-0.66,0.5105779583558447,20,20,0,False
0.8,0.8,1.0,590,48.8,50.7,-0.0237,0.0132,0.101,-0.1247,-0.037,-3.03,302,-0.5232,-9.27,1.8047376608587573e-20,173,161,12,True
0.8,1.2,1.5,774,38.8,42.1,-0.031,0.0521,0.1016,-0.1326,-0.0831,-3.03,410,-0.6159,-9.28,1.6670373392139966e-20,92,86,6,True
0.8,1.6,2.0,865,33.4,35.8,0.0023,0.0736,0.1014,-0.099,-0.0713,-2.06,465,-0.6,-8.14,4.1072294946475226e-16,55,52,3,True
0.8,2.0,2.5,981,26.5,30.5,-0.0724,0.0663,0.1014,-0.1738,-0.1387,-3.52,615,-0.4382,-5.68,1.3328568814496552e-08,29,26,3,True
0.8,3.0,3.75,1133,20.3,21.9,-0.0357,0.0392,0.101,-0.1368,-0.075,-2.41,861,-0.1324,-1.67,0.0957502744046004,15,15,0,False
1.0,0.8,0.8,536,55.2,56.7,-0.006,0.0214,0.0812,-0.0872,-0.0274,-2.25,275,-0.4582,-9.16,5.1716501601072915e-20,116,104,12,True
1.0,1.2,1.2,711,46.4,48.0,0.0211,0.0565,0.0816,-0.0605,-0.0354,-1.47,378,-0.5762,-9.65,5.143921872249935e-22,59,57,2,True
1.0,1.6,1.6,809,41.5,41.3,0.0799,0.0749,0.0813,-0.0014,0.0049,-0.03,434,-0.5212,-7.88,3.2280400622648448e-15,41,39,2,True
1.0,2.0,2.0,928,34.7,35.6,0.0409,0.0667,0.0812,-0.0403,-0.0257,-0.86,580,-0.331,-4.68,2.9126775177382283e-06,22,19,3,True
1.0,3.0,3.0,1088,26.1,25.6,0.0441,0.0254,0.0809,-0.0368,0.0187,-0.69,827,-0.0726,-1.01,0.31296492457342767,14,14,0,False
1.5,0.8,0.53,442,68.1,63.9,0.0442,-0.0196,0.054,-0.0098,0.0638,-0.29,225,-0.3339,-7.51,5.70510281518685e-14,59,55,4,True
1.5,1.2,0.8,607,60.6,57.2,0.0913,0.03,0.0544,0.0368,0.0612,1.03,324,-0.4556,-9.08,1.0542265770235232e-19,43,43,0,True
1.5,1.6,1.07,708,53.2,50.4,0.1005,0.042,0.0541,0.0464,0.0585,1.2,380,-0.4949,-8.86,7.984896969051834e-19,43,41,2,True
1.5,2.0,1.33,832,48.0,44.1,0.119,0.0292,0.0541,0.0649,0.0898,1.61,522,-0.2101,-3.45,0.0005515963099012679,25,22,3,True
1.5,3.0,2.0,1003,36.5,33.7,0.0947,0.0116,0.0539,0.0408,0.0831,0.89,756,0.0119,0.2,0.8449436884022592,17,17,0,False
