stop_atr,target_atr,rr,n,hold_line,hold_placebo,gross_R,placebo_R,friction_R,net_R,net_vs_placebo,t
0.4,0.8,2.0,505,42.4,42.0,0.2713,0.2585,0.2033,0.068,0.0128,1.03
0.4,1.2,3.0,582,34.4,35.4,0.3746,0.4172,0.2027,0.1719,-0.0427,2.18
0.4,1.6,4.0,654,30.4,30.7,0.5214,0.5368,0.202,0.3194,-0.0154,3.55
0.4,2.0,5.0,699,27.6,26.7,0.6567,0.6008,0.2026,0.454,0.0559,4.48
0.4,3.0,7.5,799,22.2,20.5,0.883,0.7447,0.2025,0.6805,0.1383,5.45
0.6,0.8,1.33,427,52.5,49.6,0.224,0.1577,0.1359,0.0881,0.0664,1.56
0.6,1.2,2.0,504,40.9,43.3,0.2262,0.2995,0.1354,0.0908,-0.0733,1.38
0.6,1.6,2.67,574,35.4,38.8,0.2967,0.4236,0.1347,0.162,-0.1269,2.21
0.6,2.0,3.33,616,32.1,34.8,0.3929,0.5065,0.1349,0.2579,-0.1136,3.16
0.6,3.0,5.0,708,25.6,26.1,0.5339,0.5634,0.1348,0.3991,-0.0295,4.06
0.8,0.8,1.0,362,56.6,55.0,0.1326,0.0997,0.1015,0.0311,0.0329,0.6
0.8,1.2,1.5,435,44.6,49.7,0.1149,0.2435,0.1015,0.0135,-0.1286,0.23
0.8,1.6,2.0,505,39.0,45.1,0.1703,0.3532,0.1011,0.0692,-0.1829,1.06
0.8,2.0,2.5,541,36.2,41.4,0.268,0.4488,0.1013,0.1667,-0.1808,2.31
0.8,3.0,3.75,624,27.7,32.1,0.3169,0.5265,0.1011,0.2158,-0.2096,2.54
1.0,0.8,0.8,307,59.3,57.6,0.0671,0.0375,0.0814,-0.0143,0.0296,-0.28
1.0,1.2,1.2,378,44.7,51.8,-0.0164,0.1394,0.0813,-0.0977,-0.1558,-1.74
1.0,1.6,1.6,444,38.7,47.2,0.0072,0.227,0.0808,-0.0736,-0.2198,-1.22
1.0,2.0,2.0,479,36.5,44.4,0.096,0.331,0.0811,0.015,-0.235,0.23
1.0,3.0,3.0,560,29.1,34.1,0.1643,0.3633,0.0809,0.0834,-0.199,1.09
1.5,0.8,0.53,228,64.0,63.9,-0.0181,-0.0209,0.0539,-0.072,0.0028,-1.48
1.5,1.2,0.8,285,54.4,58.8,-0.0211,0.0584,0.0535,-0.0746,-0.0795,-1.4
1.5,1.6,1.07,340,50.6,53.2,0.0455,0.0994,0.0532,-0.0077,-0.0539,-0.14
1.5,2.0,1.33,372,44.9,50.3,0.0475,0.174,0.0534,-0.0059,-0.1265,-0.1
1.5,3.0,2.0,437,32.0,40.4,-0.0389,0.2128,0.0534,-0.0923,-0.2517,-1.38
