stop_atr,target_atr,rr,n,hold_line,hold_placebo,gross_R,placebo_R,friction_R,net_R,net_vs_placebo,t
0.4,0.8,0.98,1452,48.3,47.0,-0.046,-0.0719,0.1329,-0.179,0.0259,-6.91
0.4,1.2,1.63,1452,41.0,45.2,0.0814,0.1903,0.1329,-0.0515,-0.1089,-1.51
0.4,1.6,2.29,1452,34.6,41.0,0.1386,0.3518,0.1329,0.0056,-0.2132,0.14
0.4,2.0,2.95,1452,29.5,36.2,0.1649,0.4289,0.1329,0.032,-0.264,0.68
0.4,3.0,4.6,1452,20.5,27.2,0.1452,0.523,0.1329,0.0122,-0.3779,0.21
0.6,0.8,0.73,1452,52.2,48.2,-0.0947,-0.164,0.1,-0.1947,0.0693,-8.56
0.6,1.2,1.23,1452,44.8,46.6,-0.0003,0.0396,0.1,-0.1003,-0.0399,-3.45
0.6,1.6,1.73,1452,37.9,42.3,0.0322,0.1524,0.1,-0.0678,-0.1201,-1.95
0.6,2.0,2.22,1452,32.4,37.3,0.0447,0.2,0.1,-0.0553,-0.1553,-1.4
0.6,3.0,3.46,1452,22.7,28.5,0.0104,0.2715,0.1,-0.0896,-0.261,-1.83
0.8,0.8,0.59,1452,55.4,49.4,-0.1194,-0.2146,0.0801,-0.1995,0.0952,-9.63
0.8,1.2,0.99,1452,48.2,47.7,-0.0428,-0.0524,0.0801,-0.1229,0.0096,-4.72
0.8,1.6,1.38,1452,40.8,43.5,-0.0269,0.0354,0.0801,-0.1071,-0.0624,-3.48
0.8,2.0,1.78,1452,35.3,38.6,-0.0179,0.0721,0.0801,-0.0981,-0.09,-2.81
0.8,3.0,2.77,1452,25.1,29.8,-0.0517,0.125,0.0801,-0.1318,-0.1767,-3.07
1.0,0.8,0.49,1452,57.3,50.6,-0.1457,-0.2463,0.0669,-0.2126,0.1006,-10.98
1.0,1.2,0.82,1452,49.9,48.7,-0.0914,-0.1127,0.0669,-0.1583,0.0213,-6.62
1.0,1.6,1.15,1452,42.7,44.3,-0.0804,-0.0463,0.0669,-0.1473,-0.0341,-5.27
1.0,2.0,1.48,1452,37.1,39.5,-0.0776,-0.0177,0.0669,-0.1445,-0.0599,-4.58
1.0,3.0,2.31,1452,26.4,30.9,-0.1238,0.0222,0.0669,-0.1907,-0.146,-4.97
1.5,0.8,0.35,1452,60.9,55.9,-0.1798,-0.2476,0.0473,-0.2271,0.0677,-13.16
1.5,1.2,0.58,1452,54.0,53.4,-0.1461,-0.1559,0.0473,-0.1934,0.0098,-9.35
1.5,1.6,0.82,1452,46.8,48.7,-0.1497,-0.1159,0.0473,-0.1969,-0.0338,-8.28
1.5,2.0,1.05,1452,40.8,43.8,-0.1642,-0.1021,0.0473,-0.2115,-0.0621,-8.0
1.5,3.0,1.64,1452,29.5,34.8,-0.2231,-0.0833,0.0473,-0.2704,-0.1398,-8.57
