stop_atr,target_atr,rr,n,hold_line,hold_placebo,gross_R,placebo_R,friction_R,net_R,net_vs_placebo,t
0.4,0.8,2.0,745,47.1,42.5,0.4134,0.2748,0.1425,0.2709,0.1386,4.94
0.4,1.2,3.0,859,37.4,35.0,0.4948,0.3983,0.1426,0.3521,0.0965,5.33
0.4,1.6,4.0,936,33.2,30.2,0.6613,0.5102,0.1428,0.5185,0.1511,6.74
0.4,2.0,5.0,984,29.3,28.6,0.7561,0.7174,0.143,0.6131,0.0387,7.04
0.4,3.0,7.5,1055,21.0,22.1,0.7886,0.875,0.1431,0.6455,-0.0864,6.05
0.6,0.8,1.33,696,56.2,48.6,0.3108,0.1344,0.0952,0.2156,0.1765,4.91
0.6,1.2,2.0,819,44.7,41.9,0.3407,0.2569,0.0952,0.2454,0.0837,4.71
0.6,1.6,2.67,897,38.0,37.1,0.3939,0.3597,0.0951,0.2988,0.0342,5.03
0.6,2.0,3.33,944,33.5,34.7,0.4506,0.5021,0.0952,0.3554,-0.0515,5.34
0.6,3.0,5.0,1019,22.8,24.7,0.366,0.4839,0.0952,0.2709,-0.1179,3.44
0.8,0.8,1.0,664,57.5,56.3,0.1506,0.126,0.0713,0.0793,0.0246,2.07
0.8,1.2,1.5,789,47.5,49.0,0.1882,0.2243,0.0713,0.1169,-0.0361,2.63
0.8,1.6,2.0,864,40.3,43.5,0.2083,0.3049,0.0712,0.1371,-0.0966,2.74
0.8,2.0,2.5,910,36.8,41.1,0.2885,0.4396,0.0712,0.2172,-0.1512,3.88
0.8,3.0,3.75,985,25.7,30.4,0.2201,0.443,0.0714,0.1486,-0.2229,2.25
1.0,0.8,0.8,624,59.0,57.6,0.0615,0.0364,0.0571,0.0044,0.0252,0.12
1.0,1.2,1.2,754,50.1,51.0,0.1029,0.1216,0.0572,0.0457,-0.0187,1.14
1.0,1.6,1.6,824,42.8,45.7,0.1138,0.1883,0.0572,0.0567,-0.0744,1.26
1.0,2.0,2.0,870,40.1,43.4,0.2034,0.3017,0.0572,0.1463,-0.0982,2.93
1.0,3.0,3.0,945,27.2,31.9,0.0878,0.2777,0.0573,0.0305,-0.1899,0.53
1.5,0.8,0.53,555,64.1,65.6,-0.0165,0.0057,0.0378,-0.0543,-0.0221,-1.74
1.5,1.2,0.8,669,58.7,58.5,0.0574,0.0524,0.0379,0.0195,0.005,0.57
1.5,1.6,1.07,738,47.2,53.0,-0.0255,0.0943,0.038,-0.0635,-0.1198,-1.67
1.5,2.0,1.33,788,43.8,47.4,0.0216,0.1064,0.0381,-0.0165,-0.0849,-0.4
1.5,3.0,2.0,867,30.7,35.8,-0.0796,0.0739,0.0382,-0.1178,-0.1535,-2.51
