stop_atr,target_atr,rr,n,hold_line,hold_placebo,gross_R,placebo_R,friction_R,net_R,net_vs_placebo,t,n_paired,paired_R,paired_t,paired_p,ambiguous,settled_by_subbars,gave_up_to_stop,survives_bh
0.4,0.8,2.0,745,47.1,42.5,0.4134,0.2748,0.1425,0.2709,0.1386,4.94,417,-0.3165,-4.28,1.856128785214501e-05,0,0,0,True
0.4,1.2,3.0,859,37.4,35.0,0.4948,0.3983,0.1426,0.3521,0.0965,5.33,503,-0.2147,-2.51,0.012098502304328362,0,0,0,True
0.4,1.6,4.0,936,33.2,30.2,0.6613,0.5102,0.1428,0.5185,0.1511,6.74,577,-0.026,-0.27,0.788612905326727,0,0,0,False
0.4,2.0,5.0,984,29.3,28.6,0.7561,0.7174,0.143,0.6131,0.0387,7.04,686,-0.0087,-0.08,0.9397865908585846,0,0,0,False
0.4,3.0,7.5,1055,21.0,22.1,0.7886,0.875,0.1431,0.6455,-0.0864,6.05,851,-0.03,-0.23,0.8143269799388466,0,0,0,False
0.6,0.8,1.33,696,56.2,48.6,0.3108,0.1344,0.0952,0.2156,0.1765,4.91,394,-0.2487,-4.05,5.22637436223211e-05,0,0,0,True
0.6,1.2,2.0,819,44.7,41.9,0.3407,0.2569,0.0952,0.2454,0.0837,4.71,484,-0.2417,-3.27,0.0010714253524581165,0,0,0,True
0.6,1.6,2.67,897,38.0,37.1,0.3939,0.3597,0.0951,0.2988,0.0342,5.03,555,-0.1652,-2.03,0.04268479541213677,0,0,0,False
0.6,2.0,3.33,944,33.5,34.7,0.4506,0.5021,0.0952,0.3554,-0.0515,5.34,657,-0.1055,-1.12,0.2625255520783766,0,0,0,False
0.6,3.0,5.0,1019,22.8,24.7,0.366,0.4839,0.0952,0.2709,-0.1179,3.44,822,-0.1241,-1.22,0.22093048621622244,0,0,0,False
0.8,0.8,1.0,664,57.5,56.3,0.1506,0.126,0.0713,0.0793,0.0246,2.07,378,-0.3492,-7.01,2.4282676829164807e-12,0,0,0,True
0.8,1.2,1.5,789,47.5,49.0,0.1882,0.2243,0.0713,0.1169,-0.0361,2.63,466,-0.3916,-6.41,1.490026705481194e-10,0,0,0,True
0.8,1.6,2.0,864,40.3,43.5,0.2083,0.3049,0.0712,0.1371,-0.0966,2.74,534,-0.3539,-5.29,1.2234730753737986e-07,0,0,0,True
0.8,2.0,2.5,910,36.8,41.1,0.2885,0.4396,0.0712,0.2172,-0.1512,3.88,632,-0.2769,-3.61,0.00031195183649465196,0,0,0,True
0.8,3.0,3.75,985,25.7,30.4,0.2201,0.443,0.0714,0.1486,-0.2229,2.25,797,-0.292,-3.41,0.0006449917858212512,0,0,0,True
1.0,0.8,0.8,624,59.0,57.6,0.0615,0.0364,0.0571,0.0044,0.0252,0.12,362,-0.353,-7.51,5.803731819096325e-14,0,0,0,True
1.0,1.2,1.2,754,50.1,51.0,0.1029,0.1216,0.0572,0.0457,-0.0187,1.14,450,-0.3471,-6.18,6.507494596620619e-10,0,0,0,True
1.0,1.6,1.6,824,42.8,45.7,0.1138,0.1883,0.0572,0.0567,-0.0744,1.26,518,-0.3012,-4.98,6.455880457279535e-07,0,0,0,True
1.0,2.0,2.0,870,40.1,43.4,0.2034,0.3017,0.0572,0.1463,-0.0982,2.93,615,-0.2244,-3.3,0.0009836061127683593,0,0,0,True
1.0,3.0,3.0,945,27.2,31.9,0.0878,0.2777,0.0573,0.0305,-0.1899,0.53,776,-0.2732,-3.68,0.00023506575926210665,0,0,0,True
1.5,0.8,0.53,555,64.1,65.6,-0.0165,0.0057,0.0378,-0.0543,-0.0221,-1.74,329,-0.2377,-5.39,6.855711130602758e-08,0,0,0,True
1.5,1.2,0.8,669,58.7,58.5,0.0574,0.0524,0.0379,0.0195,0.005,0.57,411,-0.2365,-5.12,3.032698152328876e-07,0,0,0,True
1.5,1.6,1.07,738,47.2,53.0,-0.0255,0.0943,0.038,-0.0635,-0.1198,-1.67,477,-0.3466,-6.89,5.629068075414204e-12,0,0,0,True
1.5,2.0,1.33,788,43.8,47.4,0.0216,0.1064,0.0381,-0.0165,-0.0849,-0.4,574,-0.2195,-4.39,1.1241936742258553e-05,0,0,0,True
1.5,3.0,2.0,867,30.7,35.8,-0.0796,0.0739,0.0382,-0.1178,-0.1535,-2.51,726,-0.2769,-4.98,6.386076253487447e-07,0,0,0,True
