stop_atr,target_atr,rr,n,hold_line,hold_placebo,gross_R,placebo_R,friction_R,net_R,net_vs_placebo,t,n_paired,paired_R,paired_t,paired_p,ambiguous,settled_by_subbars,gave_up_to_stop,survives_bh
0.4,0.8,2.0,727,36.9,33.3,0.1059,-0.0015,0.1426,-0.0367,0.1075,-0.68,362,-0.116,-1.99,0.04681664037438972,259,256,3,False
0.4,1.2,3.0,888,30.5,28.0,0.2207,0.1217,0.143,0.0777,0.099,1.26,445,-0.1258,-1.63,0.1029965164783502,159,154,5,False
0.4,1.6,4.0,980,25.3,23.8,0.2653,0.188,0.1434,0.1219,0.0773,1.76,501,-0.0998,-1.08,0.2808092024524199,99,93,6,False
0.4,2.0,5.0,1048,23.4,19.0,0.4027,0.1429,0.1439,0.2588,0.2598,3.3,628,0.3822,3.89,9.937267394185738e-05,74,74,0,True
0.4,3.0,7.5,1135,16.4,13.5,0.393,0.1434,0.1439,0.2491,0.2496,2.67,878,0.3872,3.22,0.0012837003366275752,6,6,0,True
0.6,0.8,1.33,647,46.8,44.7,0.0927,0.0426,0.0945,-0.0017,0.0501,-0.04,330,-0.2263,-4.67,3.0753994600551253e-06,202,199,3,True
0.6,1.2,2.0,815,38.2,38.4,0.1448,0.151,0.0953,0.0495,-0.0062,0.97,412,-0.3714,-6.33,2.398753969543975e-10,110,105,5,True
0.6,1.6,2.67,913,32.4,33.4,0.1888,0.2241,0.0954,0.0933,-0.0353,1.64,473,-0.3333,-4.45,8.50737877563647e-06,87,84,3,True
0.6,2.0,3.33,991,30.5,28.9,0.3206,0.2538,0.0958,0.2248,0.0668,3.55,602,0.0288,0.35,0.7279144946477587,74,74,0,False
0.6,3.0,5.0,1091,21.4,20.5,0.2814,0.2295,0.0959,0.1855,0.0519,2.49,841,0.1284,1.4,0.16215417151917597,4,4,0,False
0.8,0.8,1.0,577,57.4,50.0,0.1473,0.0,0.0706,0.0767,0.1473,1.86,296,-0.1622,-3.61,0.0003064301074315519,133,130,3,True
0.8,1.2,1.5,742,45.7,42.0,0.1422,0.0494,0.0711,0.0711,0.0928,1.56,378,-0.3704,-6.6,3.98776747861651e-11,76,75,1,True
0.8,1.6,2.0,853,39.7,37.7,0.1923,0.1323,0.0711,0.1211,0.0599,2.41,446,-0.3363,-4.8,1.6097971302623051e-06,64,64,0,True
0.8,2.0,2.5,931,35.9,32.4,0.2556,0.1337,0.0714,0.1842,0.1219,3.35,569,0.0,0.0,1.0,58,58,0,False
0.8,3.0,3.75,1031,24.9,22.9,0.184,0.0886,0.0715,0.1125,0.0954,1.76,798,0.0952,1.18,0.23806969882086415,7,7,0,False
1.0,0.8,0.8,522,59.8,56.9,0.0759,0.025,0.0563,0.0196,0.0509,0.51,272,-0.3375,-7.55,4.2855728225244223e-14,113,109,4,True
1.0,1.2,1.2,692,47.7,48.8,0.0491,0.0728,0.0567,-0.0076,-0.0237,-0.18,358,-0.5223,-9.33,1.0877687198037388e-20,69,68,1,True
1.0,1.6,1.6,811,43.0,44.5,0.1189,0.1573,0.0568,0.0621,-0.0384,1.37,430,-0.526,-7.89,3.0968844249510413e-15,59,59,0,True
1.0,2.0,2.0,891,38.0,38.9,0.1414,0.1685,0.057,0.0844,-0.027,1.73,551,-0.2341,-3.28,0.001041257202051658,44,44,0,True
1.0,3.0,3.0,997,26.7,29.4,0.0672,0.1765,0.057,0.0102,-0.1093,0.18,778,-0.1748,-2.33,0.019763708867120748,4,4,0,True
1.5,0.8,0.53,458,61.6,68.1,-0.0559,0.0436,0.0374,-0.0933,-0.0995,-2.68,242,-0.3802,-8.21,2.1218860605662648e-16,74,71,3,True
1.5,1.2,0.8,621,53.1,61.4,-0.0435,0.105,0.0378,-0.0813,-0.1484,-2.26,328,-0.5598,-10.96,5.673916443074532e-28,44,44,0,True
1.5,1.6,1.07,737,49.3,55.2,0.0179,0.1416,0.0378,-0.0199,-0.1237,-0.52,398,-0.5141,-9.5,2.1425447589616055e-21,26,26,0,True
1.5,2.0,1.33,815,46.1,50.5,0.0765,0.1784,0.0379,0.0386,-0.1019,0.95,507,-0.3314,-5.73,1.025619038233032e-08,17,17,0,True
1.5,3.0,2.0,912,31.1,37.5,-0.0658,0.1237,0.0381,-0.1039,-0.1895,-2.26,722,-0.2784,-4.66,3.223461142929295e-06,1,1,0,True
