stop_atr,target_atr,rr,n,hold_line,hold_placebo,gross_R,placebo_R,friction_R,net_R,net_vs_placebo,t
0.4,0.8,2.0,449,40.1,42.8,0.2027,0.2833,0.1465,0.0562,-0.0806,0.81
0.4,1.2,3.0,524,28.6,38.0,0.145,0.5198,0.1471,-0.0021,-0.3748,-0.03
0.4,1.6,4.0,567,25.0,31.5,0.2522,0.5757,0.1471,0.1051,-0.3235,1.15
0.4,2.0,5.0,601,22.6,26.0,0.3577,0.56,0.1469,0.2108,-0.2023,2.06
0.4,3.0,7.5,639,18.2,17.4,0.543,0.4824,0.1468,0.3962,0.0607,3.06
0.6,0.8,1.33,395,45.6,49.7,0.0633,0.1597,0.0987,-0.0354,-0.0964,-0.6
0.6,1.2,2.0,472,36.0,47.1,0.0805,0.4127,0.099,-0.0185,-0.3322,-0.28
0.6,1.6,2.67,514,32.9,40.4,0.2056,0.4821,0.0985,0.1071,-0.2765,1.41
0.6,2.0,3.33,542,30.6,33.0,0.3272,0.4308,0.0983,0.2289,-0.1036,2.67
0.6,3.0,5.0,579,24.9,22.4,0.4922,0.3412,0.0979,0.3943,0.1511,3.66
0.8,0.8,1.0,350,49.7,53.5,-0.0057,0.0708,0.074,-0.0797,-0.0765,-1.49
0.8,1.2,1.5,419,38.2,50.9,-0.0453,0.2714,0.0746,-0.12,-0.3168,-2.02
0.8,1.6,2.0,456,35.7,44.3,0.0724,0.3288,0.0741,-0.0017,-0.2564,-0.03
0.8,2.0,2.5,483,33.5,39.2,0.1739,0.3722,0.0739,0.1,-0.1983,1.33
0.8,3.0,3.75,519,27.0,26.8,0.2813,0.2713,0.0739,0.2074,0.01,2.24
1.0,0.8,0.8,304,52.6,57.4,-0.0526,0.0328,0.0594,-0.1121,-0.0854,-2.17
1.0,1.2,1.2,371,41.8,53.2,-0.0809,0.1711,0.06,-0.1409,-0.2519,-2.5
1.0,1.6,1.6,399,39.6,45.9,0.0296,0.1936,0.0598,-0.0302,-0.164,-0.48
1.0,2.0,2.0,424,37.3,40.4,0.1179,0.2128,0.0596,0.0583,-0.0948,0.83
1.0,3.0,3.0,456,28.9,28.9,0.1579,0.1554,0.0595,0.0984,0.0025,1.16
1.5,0.8,0.53,218,58.3,62.6,-0.1067,-0.0401,0.0387,-0.1455,-0.0666,-2.84
1.5,1.2,0.8,259,49.8,57.1,-0.1035,0.0276,0.0388,-0.1423,-0.1311,-2.54
1.5,1.6,1.07,286,44.4,49.3,-0.0823,0.0184,0.0391,-0.1213,-0.1006,-2.0
1.5,2.0,1.33,311,40.2,42.8,-0.0622,-0.0022,0.039,-0.1012,-0.06,-1.56
1.5,3.0,2.0,345,31.3,29.4,-0.0609,-0.1176,0.039,-0.0999,0.0568,-1.33
