stop_atr,target_atr,rr,n,hold_line,hold_placebo,gross_R,placebo_R,friction_R,net_R,net_vs_placebo,t,n_paired,paired_R,paired_t,paired_p,ambiguous,settled_by_subbars,gave_up_to_stop,survives_bh
0.4,0.8,2.0,532,34.4,31.5,0.032,-0.0544,0.1435,-0.1115,0.0864,-1.81,127,-0.5669,-3.47,0.0005207616210921713,206,203,3,True
0.4,1.2,3.0,641,26.7,25.8,0.0671,0.0315,0.1445,-0.0775,0.0356,-1.11,160,-0.725,-3.8,0.00014215886761631845,116,111,5,True
0.4,1.6,4.0,715,21.0,21.3,0.049,0.0635,0.1452,-0.0962,-0.0146,-1.26,185,-0.9189,-4.31,1.5961775386806013e-05,78,72,6,True
0.4,2.0,5.0,757,17.2,15.5,0.0304,-0.0714,0.1456,-0.1152,0.1018,-1.4,243,-0.3704,-1.69,0.09024380583593754,47,47,0,False
0.4,3.0,7.5,819,13.2,9.3,0.1209,-0.2124,0.1456,-0.0247,0.3333,-0.25,390,0.2615,1.36,0.17376265156673737,7,7,0,False
0.6,0.8,1.33,449,40.8,42.7,-0.049,-0.0038,0.0955,-0.1445,-0.0452,-2.67,105,-0.6222,-4.38,1.2033874263799816e-05,137,135,2,True
0.6,1.2,2.0,566,34.8,37.0,0.0442,0.1089,0.0968,-0.0526,-0.0647,-0.88,137,-0.6569,-4.01,5.9516054836686296e-05,84,79,5,True
0.6,1.6,2.67,635,29.8,29.6,0.0913,0.0838,0.097,-0.0057,0.0075,-0.09,162,-0.7016,-3.95,7.663925830525851e-05,62,58,4,True
0.6,2.0,3.33,679,25.0,22.5,0.0849,-0.0232,0.0973,-0.0124,0.1081,-0.17,215,-0.3426,-2.0,0.045113005855032855,50,50,0,False
0.6,3.0,5.0,748,19.3,15.4,0.1551,-0.0778,0.0974,0.0577,0.2328,0.67,341,0.1584,1.0,0.31731050786291415,6,6,0,False
0.8,0.8,1.0,368,45.9,50.6,-0.0815,0.0115,0.0727,-0.1542,-0.093,-2.97,86,-0.7209,-5.3,1.1639681120805368e-07,98,96,2,True
0.8,1.2,1.5,474,39.2,45.1,-0.019,0.1279,0.0734,-0.0924,-0.1469,-1.65,116,-0.9698,-6.64,3.1521439271562066e-11,60,59,1,True
0.8,1.6,2.0,548,35.4,37.4,0.062,0.1219,0.0734,-0.0113,-0.0598,-0.18,142,-0.9507,-5.95,2.6328220107793994e-09,47,47,0,True
0.8,2.0,2.5,588,30.4,31.5,0.0655,0.1039,0.0735,-0.0081,-0.0384,-0.12,185,-0.7,-4.36,1.2957533871562065e-05,41,41,0,True
0.8,3.0,3.75,654,24.2,20.5,0.1476,-0.0252,0.0735,0.074,0.1727,0.93,296,0.016,0.1,0.9175488954971295,6,6,0,False
1.0,0.8,0.8,312,48.7,59.2,-0.1231,0.0655,0.0581,-0.1812,-0.1886,-3.56,78,-0.6923,-5.59,2.308297770917324e-08,85,83,2,True
1.0,1.2,1.2,416,42.3,53.2,-0.0692,0.1695,0.0586,-0.1278,-0.2388,-2.4,104,-1.0365,-7.92,2.3834377576909276e-15,57,56,1,True
1.0,1.6,1.6,489,36.4,46.4,-0.0536,0.2061,0.0589,-0.1125,-0.2597,-1.99,127,-1.1465,-8.29,1.163077864813216e-16,44,44,0,True
1.0,2.0,2.0,529,31.9,40.4,-0.0416,0.2118,0.059,-0.1006,-0.2534,-1.65,165,-0.9636,-6.82,8.923107179857845e-12,36,36,0,True
1.0,3.0,3.0,595,25.2,26.9,0.0084,0.0769,0.0588,-0.0504,-0.0685,-0.71,267,-0.2397,-1.54,0.1226896428730091,3,3,0,False
1.5,0.8,0.53,224,58.9,63.6,-0.0964,-0.0247,0.0386,-0.135,-0.0717,-2.68,57,-0.4573,-3.6,0.0003204003483446955,67,65,2,True
1.5,1.2,0.8,311,49.8,57.7,-0.1029,0.0389,0.0393,-0.1422,-0.1418,-2.79,79,-0.7975,-6.2,5.750434607451834e-10,46,46,0,True
1.5,1.6,1.07,369,41.2,52.6,-0.1487,0.0867,0.0394,-0.1881,-0.2354,-3.55,94,-1.0113,-7.91,2.6481652243906238e-15,25,25,0,True
1.5,2.0,1.33,401,37.4,45.2,-0.1272,0.0544,0.0394,-0.1666,-0.1816,-2.96,116,-0.9454,-7.6,3.05941535845833e-14,16,16,0,True
1.5,3.0,2.0,456,32.0,31.0,-0.0395,-0.0701,0.0395,-0.0789,0.0307,-1.2,194,-0.3557,-2.59,0.009514842682435068,1,1,0,True
