trades,gate_sample,avg_R,pf,control_runs,control_avgR_p50,control_avgR_p95,percentile_vs_control,gate_beats_control,net_p05,net_p50,net_p95,prob_net_negative,dd_historical,dd_p50,dd_p95,symbol,tf,strategy,span,bars,ctrl_max_bars,secs
4272,True,-0.0165,0.94,60,-0.0321,-0.0002,78.3,False,-22501.37,-10235.08,2390.43,0.905,-15698.72,-14345.01,-25016.06,XAUUSD.a,15m,donchian,2021-01-04..2026-08-21,133299,14,129.2
1602,True,0.0191,1.012,60,-0.0174,0.0522,81.7,False,-11917.67,857.11,14420.86,0.454,-9319.8,-8593.83,-16379.51,XAUUSD.a,15m,ema_cross,2021-01-04..2026-08-21,133299,25,81.4
232,True,0.1935,1.356,60,-0.0117,0.1457,96.7,True,-278.54,4986.12,11125.69,0.067,-1975.88,-1958.01,-3707.47,XAUUSD.a,4h,donchian,2021-01-04..2026-08-21,8723,15,6.2
92,False,-0.2135,0.696,60,-0.0041,0.1813,1.7,False,-4429.41,-1959.98,1041.33,0.87,-2981.77,-2862.06,-4770.28,XAUUSD.a,4h,ema_cross,2021-01-04..2026-08-21,8723,16,4.7
35,False,0.169,1.29,60,0.0811,0.404,66.7,False,-1101.54,394.15,2422.73,0.346,-612.01,-697.47,-1426.93,XAUUSD.a,1d,donchian,2021-01-04..2026-08-21,1455,14,1.2
8,False,1.4243,7.322,60,0.4541,1.6178,85.0,False,-106.62,1053.72,3012.45,0.11,-123.88,-100.51,-225.67,XAUUSD.a,1d,ema_cross,2021-01-04..2026-08-21,1455,49,0.9
4487,True,0.0124,1.005,60,-0.0167,0.0204,90.0,False,-26216.05,2593.3,30458.99,0.447,-16322.61,-18434.62,-35744.65,USDJPY.a,15m,donchian,2021-01-04..2026-08-21,140330,14,107.7
1652,True,0.1306,1.209,60,-0.0045,0.0708,100.0,True,8716.63,39786.4,73068.69,0.017,-9492.37,-10421.07,-19054.94,USDJPY.a,15m,ema_cross,2021-01-04..2026-08-21,140330,26,78.5
275,True,0.0013,0.983,60,0.0323,0.1336,40.0,False,-5499.39,-357.82,5356.87,0.539,-3580.57,-3559.12,-6974.25,USDJPY.a,4h,donchian,2021-01-04..2026-08-21,8777,15,6.6
114,False,-0.0535,0.908,60,0.0029,0.1814,33.3,False,-4690.7,-995.65,3474.17,0.641,-3560.63,-3064.37,-5648.85,USDJPY.a,4h,ema_cross,2021-01-04..2026-08-21,8777,19,4.7
44,False,0.1623,1.27,60,0.0507,0.2921,80.0,False,-1312.99,640.07,3044.46,0.323,-745.3,-954.27,-1944.31,USDJPY.a,1d,donchian,2021-01-04..2026-08-21,1463,17,1.3
13,False,1.4738,3.622,60,-0.1649,0.5865,100.0,True,-809.67,1718.6,6218.16,0.322,-308.66,-438.28,-879.06,USDJPY.a,1d,ema_cross,2021-01-04..2026-08-21,1463,22,0.8
