tol_atr,symbol,tf,approaches,line_hold_pct,placebo_hold_pct,edge_pp,z,p,rank,bh_crit,survives_bh
0.1,EURUSD,15m,18614,53.07,51.53,1.55,2.99,0.002789774470984501,3,0.005555555555555557,True
0.1,EURUSD,1h,4949,55.16,52.07,3.09,3.09,0.002001564953228022,2,0.003703703703703704,True
0.1,EURUSD,4h,1452,53.86,49.66,4.2,2.27,0.02320758304380708,6,0.011111111111111113,False
0.1,USDJPY,15m,17282,52.12,51.37,0.76,1.41,0.15853968290678483,13,0.024074074074074074,False
0.1,USDJPY,1h,4593,53.43,53.97,-0.54,-0.52,0.6030635750939324,25,0.046296296296296294,False
0.1,USDJPY,4h,1279,52.54,50.2,2.35,1.19,0.23404639204621752,17,0.031481481481481485,False
0.1,XAUUSD,15m,17691,53.11,51.74,1.37,2.58,0.009880031515541296,4,0.007407407407407408,False
0.1,XAUUSD,1h,4434,51.04,50.18,0.86,0.81,0.4179401757432032,22,0.040740740740740744,False
0.1,XAUUSD,4h,1302,46.31,50.54,-4.22,-2.16,0.030772669567850915,8,0.014814814814814815,False
0.2,EURUSD,15m,26585,52.03,51.13,0.9,2.08,0.037525532869875526,9,0.016666666666666666,False
0.2,EURUSD,1h,6849,53.72,51.57,2.15,2.52,0.011735483430665132,5,0.009259259259259259,False
0.2,EURUSD,4h,2015,51.81,50.32,1.49,0.95,0.3421122526169637,18,0.03333333333333333,False
0.2,USDJPY,15m,24114,50.16,51.02,-0.85,-1.88,0.06010807792239963,11,0.020370370370370372,False
0.2,USDJPY,1h,6447,50.81,51.61,-0.79,-0.9,0.36812025069351906,19,0.03518518518518519,False
0.2,USDJPY,4h,1850,50.05,49.41,0.65,0.39,0.6965365469280353,26,0.04814814814814815,False
0.2,XAUUSD,15m,24732,52.07,52.34,-0.27,-0.61,0.5418618075660113,24,0.04444444444444445,False
0.2,XAUUSD,1h,6443,50.83,51.5,-0.67,-0.76,0.4472545848751989,23,0.0425925925925926,False
0.2,XAUUSD,4h,1819,46.78,50.41,-3.63,-2.19,0.028524236821337767,7,0.012962962962962964,False
0.32,EURUSD,15m,34274,50.93,50.32,0.61,1.6,0.10959858339911599,12,0.022222222222222227,False
0.32,EURUSD,1h,8950,52.68,51.23,1.45,1.95,0.051176119043277256,10,0.018518518518518517,False
0.32,EURUSD,4h,2582,51.24,51.63,-0.39,-0.28,0.7794775048884055,27,0.05,False
0.32,USDJPY,15m,32047,49.28,50.54,-1.25,-3.17,0.0015243893761344727,1,0.001851851851851852,True
0.32,USDJPY,1h,8414,50.17,50.82,-0.65,-0.85,0.39532508624538487,21,0.03888888888888889,False
0.32,USDJPY,4h,2382,46.73,48.7,-1.97,-1.36,0.17382992389417007,14,0.02592592592592593,False
0.32,XAUUSD,15m,32366,51.12,51.63,-0.51,-1.3,0.1936009691712207,15,0.027777777777777776,False
0.32,XAUUSD,1h,8626,49.84,50.51,-0.67,-0.88,0.37885930955342423,20,0.037037037037037035,False
0.32,XAUUSD,4h,2442,47.38,49.14,-1.76,-1.23,0.21869710485138388,16,0.02962962962962963,False
