bar,line_id,role,quality,touches,atr,tf,arm,outcome,symbol
54,4h-S-12,support,58.6,3,5.201440532220088,4h,line,break,XAUUSD.a
54,4h-S-12,support,58.6,3,5.201440532220088,4h,placebo,break,XAUUSD.a
9119,4h-S-12,support,58.6,3,5.201440532220088,4h,random,break,XAUUSD.a
70,4h-S-13,support,80.5,4,4.999307406551288,4h,line,break,XAUUSD.a
70,4h-S-13,support,80.5,4,4.999307406551288,4h,placebo,hold,XAUUSD.a
11952,4h-S-13,support,80.5,4,4.999307406551288,4h,random,hold,XAUUSD.a
84,4h-S-38,support,81.36,4,4.833681211933614,4h,line,hold,XAUUSD.a
84,4h-S-38,support,81.36,4,4.833681211933614,4h,placebo,break,XAUUSD.a
758,4h-S-38,support,81.36,4,4.833681211933614,4h,random,hold,XAUUSD.a
85,4h-S-9,support,76.47,5,4.769846839652645,4h,line,hold,XAUUSD.a
85,4h-S-9,support,76.47,5,4.769846839652645,4h,placebo,hold,XAUUSD.a
4012,4h-S-9,support,76.47,5,4.769846839652645,4h,random,hold,XAUUSD.a
115,4h-S-38,support,74.15,7,5.9099540334447695,4h,line,break,XAUUSD.a
115,4h-S-38,support,74.15,7,5.9099540334447695,4h,placebo,break,XAUUSD.a
6667,4h-S-38,support,74.15,7,5.9099540334447695,4h,random,break,XAUUSD.a
118,4h-S-56,support,81.92,4,6.027783896311299,4h,line,break,XAUUSD.a
118,4h-S-56,support,81.92,4,6.027783896311299,4h,placebo,hold,XAUUSD.a
10942,4h-S-56,support,81.92,4,6.027783896311299,4h,random,hold,XAUUSD.a
118,4h-S-9,support,73.99,8,6.027783896311299,4h,line,break,XAUUSD.a
118,4h-S-9,support,73.99,8,6.027783896311299,4h,placebo,break,XAUUSD.a
10878,4h-S-9,support,73.99,8,6.027783896311299,4h,random,hold,XAUUSD.a
120,4h-S-53,support,83.39,4,5.826456522839848,4h,line,hold,XAUUSD.a
120,4h-S-53,support,83.39,4,5.826456522839848,4h,placebo,break,XAUUSD.a
4050,4h-S-53,support,83.39,4,5.826456522839848,4h,random,hold,XAUUSD.a
121,4h-S-36,support,81.76,5,5.8809953426370125,4h,line,hold,XAUUSD.a
121,4h-S-36,support,81.76,5,5.8809953426370125,4h,placebo,break,XAUUSD.a
13193,4h-S-36,support,81.76,5,5.8809953426370125,4h,random,break,XAUUSD.a
125,4h-S-36,support,81.93,6,6.28910058259725,4h,line,hold,XAUUSD.a
125,4h-S-36,support,81.93,6,6.28910058259725,4h,placebo,hold,XAUUSD.a
5939,4h-S-36,support,81.93,6,6.28910058259725,4h,random,break,XAUUSD.a
137,4h-R-102,resistance,88.81,4,6.264833964901924,4h,line,hold,XAUUSD.a
