bar,occurred_at,dist_atr,line_id,role,quality,touches,atr,tf,arm,outcome,symbol
56,2018-01-04 09:00:00,0.1837818865042245,1h-R-3,resistance,60.23,3,0.0011719577999857857,1h,line,break,EURUSD.a
56,2018-01-04 09:00:00,0.1837818865042245,1h-R-3,resistance,60.23,3,0.0011719577999857857,1h,placebo,break,EURUSD.a
36757,2023-11-24 23:00:00,,1h-R-3,resistance,60.23,3,0.0011719577999857857,1h,random,break,EURUSD.a
147,2018-01-10 04:00:00,0.12923789313734088,1h-R-115,resistance,63.63,3,0.0010987489547586583,1h,line,hold,EURUSD.a
147,2018-01-10 04:00:00,0.12923789313734088,1h-R-115,resistance,63.63,3,0.0010987489547586583,1h,placebo,break,EURUSD.a
48195,2025-09-29 19:00:00,,1h-R-115,resistance,63.63,3,0.0010987489547586583,1h,random,hold,EURUSD.a
147,2018-01-10 04:00:00,0.3862099929642347,1h-R-86,resistance,60.29,3,0.0010987489547586583,1h,line,hold,EURUSD.a
147,2018-01-10 04:00:00,0.3862099929642347,1h-R-86,resistance,60.29,3,0.0010987489547586583,1h,placebo,hold,EURUSD.a
3001,2018-06-26 04:00:00,,1h-R-86,resistance,60.29,3,0.0010987489547586583,1h,random,hold,EURUSD.a
148,2018-01-10 05:00:00,0.19123533023657746,1h-R-113,resistance,65.36,3,0.0010795526008473175,1h,line,hold,EURUSD.a
148,2018-01-10 05:00:00,0.19123533023657746,1h-R-113,resistance,65.36,3,0.0010795526008473175,1h,placebo,break,EURUSD.a
16137,2020-08-05 14:00:00,,1h-R-113,resistance,65.36,3,0.0010795526008473175,1h,random,break,EURUSD.a
154,2018-01-10 11:00:00,0.056255507294730646,1h-R-116,resistance,63.61,3,0.0011858192018396763,1h,line,break,EURUSD.a
154,2018-01-10 11:00:00,0.056255507294730646,1h-R-116,resistance,63.61,3,0.0011858192018396763,1h,placebo,hold,EURUSD.a
26856,2022-04-26 05:00:00,,1h-R-116,resistance,63.61,3,0.0011858192018396763,1h,random,hold,EURUSD.a
245,2018-01-16 06:00:00,0.3996232906600004,1h-S-374,support,61.17,3,0.0018155256031023926,1h,line,break,EURUSD.a
245,2018-01-16 06:00:00,0.3996232906600004,1h-S-374,support,61.17,3,0.0018155256031023926,1h,placebo,hold,EURUSD.a
