bar,line_id,role,quality,touches,atr,tf,arm,outcome,symbol
50,15m-S-1,support,52.8,3,0.9835071013851434,15m,line,hold,XAUUSD.a
50,15m-S-1,support,52.8,3,0.9835071013851434,15m,placebo,hold,XAUUSD.a
139622,15m-S-1,support,52.8,3,0.9835071013851434,15m,random,hold,XAUUSD.a
102,15m-S-30,support,65.76,3,1.4134661102501318,15m,line,hold,XAUUSD.a
102,15m-S-30,support,65.76,3,1.4134661102501318,15m,placebo,hold,XAUUSD.a
183090,15m-S-30,support,65.76,3,1.4134661102501318,15m,random,break,XAUUSD.a
119,15m-S-50,support,86.7,4,1.122747371681268,15m,line,hold,XAUUSD.a
119,15m-S-50,support,86.7,4,1.122747371681268,15m,placebo,break,XAUUSD.a
11350,15m-S-50,support,86.7,4,1.122747371681268,15m,random,break,XAUUSD.a
119,15m-S-51,support,86.3,4,1.122747371681268,15m,line,hold,XAUUSD.a
119,15m-S-51,support,86.3,4,1.122747371681268,15m,placebo,hold,XAUUSD.a
61266,15m-S-51,support,86.3,4,1.122747371681268,15m,random,break,XAUUSD.a
119,15m-S-52,support,71.8,3,1.122747371681268,15m,line,hold,XAUUSD.a
119,15m-S-52,support,71.8,3,1.122747371681268,15m,placebo,break,XAUUSD.a
101997,15m-S-52,support,71.8,3,1.122747371681268,15m,random,hold,XAUUSD.a
152,15m-S-110,support,66.25,3,1.3714592380588475,15m,line,break,XAUUSD.a
152,15m-S-110,support,66.25,3,1.3714592380588475,15m,placebo,hold,XAUUSD.a
167585,15m-S-110,support,66.25,3,1.3714592380588475,15m,random,hold,XAUUSD.a
162,15m-S-101,support,84.45,4,1.1722710835727381,15m,line,hold,XAUUSD.a
162,15m-S-101,support,84.45,4,1.1722710835727381,15m,placebo,break,XAUUSD.a
166613,15m-S-101,support,84.45,4,1.1722710835727381,15m,random,break,XAUUSD.a
163,15m-S-102,support,84.29,4,1.1421088633175425,15m,line,hold,XAUUSD.a
163,15m-S-102,support,84.29,4,1.1421088633175425,15m,placebo,break,XAUUSD.a
61851,15m-S-102,support,84.29,4,1.1421088633175425,15m,random,hold,XAUUSD.a
253,15m-R-160,resistance,84.15,4,1.5394286154801495,15m,line,hold,XAUUSD.a
253,15m-R-160,resistance,84.15,4,1.5394286154801495,15m,placebo,hold,XAUUSD.a
202116,15m-R-160,resistance,84.15,4,1.5394286154801495,15m,random,hold,XAUUSD.a
259,15m-R-158,resistance,77.8,4,1.60353987364655,15m,line,hold,XAUUSD.a
259,15m-R-158,resistance,77.8,4,1.60353987364655,15m,placebo,hold,XAUUSD.a
90834,15m-R-158,resistance,77.8,4,1.60353987364655,15m,random,hold,XAUUSD.a
264,15m-S-475,support,84.61,4,1.623856522404823,15m,line,break,XAUUSD.a
264,15m-S-475,support,84.61,4,1.623856522404823,15m,placebo,hold,XAUUSD.a
103969,15m-S-475,support,84.61,4,1.623856522404823,15m,random,break,XAUUSD.a
274,15m-S-551,support,96.63,4,1.3033705001684155,15m,line,break,XAUUSD.a
274,15m-S-551,support,96.63,4,1.3033705001684155,15m,placebo,hold,XAUUSD.a
203144,15m-S-551,support,96.63,4,1.3033705001684155,15m,random,break,XAUUSD.a
274,15m-S-552,support,96.13,4,1.3033705001684155,15m,line,break,XAUUSD.a
274,15m-S-552,support,96.13,4,1.3033705001684155,15m,placebo,hold,XAUUSD.a
69603,15m-S-552,support,96.13,4,1.3033705001684155,15m,random,break,XAUUSD.a
274,15m-S-553,support,95.63,4,1.3033705001684155,15m,line,break,XAUUSD.a
274,15m-S-553,support,95.63,4,1.3033705001684155,15m,placebo,break,XAUUSD.a
201810,15m-S-553,support,95.63,4,1.3033705001684155,15m,random,hold,XAUUSD.a
274,15m-S-555,support,94.83,4,1.3033705001684155,15m,line,break,XAUUSD.a
