window,bars,market_pct,fx_trades,fx_avg_R,fx_pf,fx_net_R,ad_trades,ad_avg_R,ad_pf,ad_net_R,ad_params
1999-2000,3210,-20.1,87,-0.0456,0.904,-3.96,,,,,
2001-2002,3235,11.4,83,-0.0406,0.923,-3.37,79.0,-0.1491,0.791,-11.78,"entry=24,exit=16,atr_mult=1.5"
2003-2004,3242,29.3,92,0.0048,1.009,0.44,80.0,0.005,1.008,0.4,"entry=20,exit=16,atr_mult=2.0"
2005-2006,3206,-2.8,104,-0.1535,0.739,-15.96,89.0,-0.1865,0.715,-16.6,"entry=20,exit=16,atr_mult=2.0"
2007-2008,3106,5.7,86,0.2571,1.488,22.11,72.0,0.1786,1.371,12.86,"entry=32,exit=10,atr_mult=2.5"
2009-2010,3134,-3.5,98,0.0082,1.016,0.81,79.0,-0.1083,0.836,-8.56,"entry=32,exit=16,atr_mult=1.5"
2011-2012,3190,-0.6,106,-0.0641,0.878,-6.79,89.0,-0.0246,0.962,-2.19,"entry=28,exit=13,atr_mult=1.5"
2013-2014,3119,-8.8,93,-0.129,0.782,-12.0,105.0,-0.1372,0.822,-14.41,"entry=12,exit=16,atr_mult=1.5"
2015-2016,3206,-12.8,104,-0.1097,0.812,-11.41,76.0,-0.1541,0.719,-11.71,"entry=28,exit=16,atr_mult=2.5"
2017-2018,3140,9.0,110,-0.1818,0.704,-20.0,78.0,-0.187,0.672,-14.59,"entry=28,exit=16,atr_mult=2.5"
2019-2020,3114,6.7,93,0.0719,1.152,6.69,94.0,0.0721,1.202,6.77,"entry=24,exit=6,atr_mult=2.5"
2021-2022,3114,-12.7,97,-0.006,0.989,-0.58,127.0,0.0708,1.154,9.0,"entry=12,exit=6,atr_mult=2.0"
2023-2024,3114,-3.2,105,-0.2005,0.65,-21.05,145.0,-0.1829,0.663,-26.53,"entry=12,exit=6,atr_mult=2.0"
2025-2026,2550,12.7,80,0.0268,1.048,2.14,105.0,0.0493,1.127,5.18,"entry=12,exit=6,atr_mult=2.5"
