window,bars,market_pct,fx_trades,fx_avg_R,fx_pf,fx_net_R,ad_trades,ad_avg_R,ad_pf,ad_net_R,ad_params
2007-2008,560,38.2,15,0.3291,1.75,4.94,19,0.1315,1.403,2.5,"entry=20,exit=6,atr_mult=2.5"
2009-2010,519,61.9,16,0.0233,1.046,0.37,16,0.1917,1.356,3.07,"entry=12,exit=13,atr_mult=2.0"
2011-2012,518,17.5,12,0.7256,4.595,8.71,13,0.234,1.392,3.04,"entry=32,exit=16,atr_mult=1.5"
2013-2014,518,-29.9,16,0.1947,1.352,3.11,13,0.3878,1.53,5.04,"entry=28,exit=16,atr_mult=1.5"
2015-2016,1627,-3.1,47,0.1332,1.312,6.26,43,-0.0935,0.871,-4.02,"entry=28,exit=16,atr_mult=1.5"
2017-2018,3090,10.9,89,0.0565,1.116,5.03,119,0.0944,1.182,11.23,"entry=16,exit=6,atr_mult=1.5"
2019-2020,3098,48.3,81,0.3982,1.837,32.26,79,0.0198,1.037,1.56,"entry=12,exit=16,atr_mult=2.5"
2021-2022,3090,-4.8,86,0.0757,1.13,6.51,110,-0.0658,0.895,-7.24,"entry=20,exit=6,atr_mult=1.5"
2023-2024,3096,43.5,87,0.1385,1.25,12.05,100,0.1584,1.256,15.84,"entry=20,exit=8,atr_mult=1.5"
2025-2026,2537,74.3,56,0.5088,2.133,28.49,52,0.473,2.113,24.59,"entry=24,exit=10,atr_mult=2.0"
